Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,05/05/2014,1st,-,Kolkata Knight Riders,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
2,,11/05/2014,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
3,1,23/05/2014,2nd,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c Karanveer Singh b A R Patel,16,13,123.08,,16,13,16.00,123.08
4,,21/04/2015,1st,-,Punjab Kings,Narendra Modi Stadium,did not bat,-,-,-,,16,13,16.00,123.08
5,2,09/05/2017,1st,8,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,not out,15*,8,187.50,,31,21,31.00,147.62
6,,11/05/2017,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,31,21,31.00,147.62
7,3,14/05/2017,1st,5,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c J D Unadkat b S N Thakur,4,3,133.33,,35,24,17.50,145.83
8,4,08/04/2018,1st,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,lbw b R Ashwin,9,7,128.57,,44,31,14.67,141.94
9,,11/04/2018,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,44,31,14.67,141.94
10,,14/04/2018,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,44,31,14.67,141.94
11,5,16/04/2018,2nd,6,Kolkata Knight Riders,Eden Gardens,c A D Russell b T K Curran,1,2,50.00,,45,33,11.25,136.36
12,6,21/04/2018,1st,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,13*,9,144.44,,58,42,14.50,138.10
13,7,23/04/2018,2nd,7,Punjab Kings,Arun Jaitley Stadium,c †K L Rahul b A J Tye,24,21,114.29,,82,63,16.40,130.16
14,,27/04/2018,1st,-,Kolkata Knight Riders,Arun Jaitley Stadium,did not bat,-,-,-,,82,63,16.40,130.16
15,8,30/04/2018,2nd,7,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,3*,4,75.00,,85,67,17.00,126.87
16,9,24/03/2019,1st,8,Mumbai Indians,Wankhede Stadium,not out,9*,4,225.00,,94,71,18.80,132.39
17,10,26/03/2019,1st,8,Chennai Super Kings,Arun Jaitley Stadium,not out,11*,9,122.22,,105,80,21.00,131.25
18,11,04/04/2019,1st,5,Sunrisers Hyderabad,Arun Jaitley Stadium,c Mohammad Nabi b Sandeep Sharma,5,7,71.43,,110,87,18.33,126.44
19,12,07/04/2019,2nd,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,1*,2,50.00,,111,89,18.50,124.72
20,,12/04/2019,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,111,89,18.50,124.72
21,13,22/09/2020,1st,6,Chennai Super Kings,Sharjah Cricket Stadium,lbw b S M Curran,10,8,125.00,,121,97,17.29,124.74
22,14,27/09/2020,2nd,4,Punjab Kings,Sharjah Cricket Stadium,c M A Agarwal b Mohammed Shami,53,31,170.97,,174,128,21.75,135.94
23,15,30/09/2020,2nd,6,Kolkata Knight Riders,Dubai International Cricket Stadium,b C V Varun,14,10,140.00,,188,138,20.89,136.23
24,16,03/10/2020,1st,7,Royal Challengers Bengaluru,Sheikh Zayed Stadium,not out,24*,12,200.00,,212,150,23.56,141.33
25,17,06/10/2020,2nd,7,Mumbai Indians,Sheikh Zayed Stadium,b J J Bumrah,5,6,83.33,,217,156,21.70,139.10
26,18,09/10/2020,2nd,6,Delhi Capitals,Sharjah Cricket Stadium,b K Rabada,38,29,131.03,,255,185,23.18,137.84
27,19,11/10/2020,2nd,7,Sunrisers Hyderabad,Dubai International Cricket Stadium,not out,45*,28,160.71,,300,213,27.27,140.85
28,20,14/10/2020,2nd,7,Delhi Capitals,Dubai International Cricket Stadium,not out,14*,18,77.78,,314,231,28.55,135.93
29,21,17/10/2020,1st,6,Royal Challengers Bengaluru,Dubai International Cricket Stadium,not out,19*,11,172.73,,333,242,30.27,137.60
30,,19/10/2020,2nd,-,Chennai Super Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,333,242,30.27,137.60
31,22,22/10/2020,1st,7,Sunrisers Hyderabad,Dubai International Cricket Stadium,not out,2*,3,66.67,,335,245,30.45,136.73
32,,25/10/2020,2nd,-,Mumbai Indians,Sheikh Zayed Stadium,did not bat,-,-,-,,335,245,30.45,136.73
33,,30/10/2020,2nd,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,335,245,30.45,136.73
34,23,01/11/2020,2nd,7,Kolkata Knight Riders,Dubai International Cricket Stadium,c †K D Karthik b C V Varun,31,27,114.81,,366,272,30.50,134.56
35,24,12/04/2021,2nd,7,Punjab Kings,Wankhede Stadium,c †K L Rahul b R P Meredith,2,4,50.00,,368,276,28.31,133.33
36,25,15/04/2021,2nd,7,Delhi Capitals,Wankhede Stadium,c Lalit Yadav b K Rabada,19,17,111.76,,387,293,27.64,132.08
37,26,19/04/2021,2nd,7,Chennai Super Kings,Wankhede Stadium,c R D Gaikwad b D J J Bravo,20,15,133.33,,407,308,27.13,132.14
38,27,22/04/2021,1st,7,Royal Challengers Bengaluru,Wankhede Stadium,c Shahbaz Ahmed b Mohammed Siraj,40,23,173.91,,447,331,27.94,135.05
39,28,24/04/2021,2nd,5,Kolkata Knight Riders,Wankhede Stadium,c sub b M Prasidh Krishna,5,8,62.50,,452,339,26.59,133.33
40,,29/04/2021,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,-,,452,339,26.59,133.33
41,,02/05/2021,1st,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,452,339,26.59,133.33
42,29,21/09/2021,1st,7,Punjab Kings,Dubai International Cricket Stadium,b Mohammed Shami,2,5,40.00,,454,344,25.22,131.98
43,30,25/09/2021,2nd,7,Delhi Capitals,Sheikh Zayed Stadium,c S O Hetmeyer b A Nortje,9,15,60.00,,463,359,24.37,128.97
44,31,27/09/2021,1st,7,Sunrisers Hyderabad,Dubai International Cricket Stadium,not out,0*,1,0.00,,463,360,24.37,128.61
45,32,29/09/2021,1st,6,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c D Padikkal b Shahbaz Ahmed,2,3,66.67,,465,363,23.25,128.10
46,,02/10/2021,2nd,-,Chennai Super Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,465,363,23.25,128.10
47,33,05/10/2021,1st,7,Mumbai Indians,Sharjah Cricket Stadium,c †Ishan Kishan b J D S Neesham,12,20,60.00,,477,383,22.71,124.54
48,34,07/10/2021,2nd,7,Kolkata Knight Riders,Sharjah Cricket Stadium,b Shivam Mavi,44,36,122.22,,521,419,23.68,124.34
49,35,28/03/2022,2nd,6,Lucknow Super Giants,Wankhede Stadium,not out,40*,24,166.67,,561,443,25.50,126.64
50,36,02/04/2022,1st,6,Delhi Capitals,Maharashtra Cricket Association Stadium,c S N Thakur b Mustafizur Rahman,14,8,175.00,,575,451,25.00,127.49
51,37,08/04/2022,2nd,6,Punjab Kings,Brabourne Stadium,not out,13*,3,433.33,,588,454,25.57,129.52
52,38,11/04/2022,1st,7,Sunrisers Hyderabad,Dr DY Patil Sports Academy,run out,6,4,150.00,,594,458,24.75,129.69
53,,14/04/2022,1st,-,Rajasthan Royals,Dr DY Patil Sports Academy,did not bat,-,-,-,,594,458,24.75,129.69
54,39,17/04/2022,2nd,6,Chennai Super Kings,Maharashtra Cricket Association Stadium,c R A Jadeja b D J J Bravo,6,14,42.86,,600,472,24.00,127.12
55,40,23/04/2022,1st,5,Kolkata Knight Riders,Dr DY Patil Sports Academy,c Rinku Singh b A D Russell,17,12,141.67,,617,484,23.73,127.48
56,41,27/04/2022,2nd,5,Sunrisers Hyderabad,Wankhede Stadium,not out,40*,21,190.48,,657,505,25.27,130.10
57,42,30/04/2022,2nd,6,Royal Challengers Bengaluru,Brabourne Stadium,not out,43*,25,172.00,,700,530,26.92,132.08
58,43,03/05/2022,1st,6,Punjab Kings,Dr DY Patil Sports Academy,c Sandeep Sharma b K Rabada,11,13,84.62,,711,543,26.33,130.94
59,44,06/05/2022,2nd,6,Mumbai Indians,Brabourne Stadium,run out,3,4,75.00,,714,547,25.50,130.53
60,45,10/05/2022,1st,6,Lucknow Super Giants,Maharashtra Cricket Association Stadium,not out,22*,16,137.50,,736,563,26.29,130.73
61,,15/05/2022,2nd,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,-,,736,563,26.29,130.73
62,46,19/05/2022,1st,6,Royal Challengers Bengaluru,Wankhede Stadium,c †K D Karthik b J R Hazlewood,2,3,66.67,,738,566,25.45,130.39
63,,24/05/2022,2nd,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,738,566,25.45,130.39
64,,29/05/2022,2nd,-,Rajasthan Royals,Narendra Modi Stadium,did not bat,-,-,-,,738,566,25.45,130.39
65,47,31/03/2023,2nd,6,Chennai Super Kings,Narendra Modi Stadium,not out,15*,14,107.14,,753,580,25.97,129.83
66,,04/04/2023,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,753,580,25.97,129.83
67,,09/04/2023,1st,-,Kolkata Knight Riders,Narendra Modi Stadium,did not bat,-,-,-,,753,580,25.97,129.83
68,48,13/04/2023,2nd,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,5*,2,250.00,,758,582,26.14,130.24
69,49,16/04/2023,1st,7,Rajasthan Royals,Narendra Modi Stadium,not out,1*,1,100.00,,759,583,26.17,130.19
70,50,22/04/2023,1st,7,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,not out,2*,2,100.00,,761,585,26.24,130.09
71,51,25/04/2023,1st,7,Mumbai Indians,Narendra Modi Stadium,not out,20*,5,400.00,,781,590,26.93,132.37
72,,29/04/2023,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,781,590,26.93,132.37
73,52,02/05/2023,2nd,7,Delhi Capitals,Narendra Modi Stadium,c R R Rossouw b I Sharma,20,7,285.71,,801,597,26.70,134.17
74,,05/05/2023,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,801,597,26.70,134.17
75,,07/05/2023,1st,-,Lucknow Super Giants,Narendra Modi Stadium,did not bat,-,-,-,,801,597,26.70,134.17
76,53,12/05/2023,2nd,7,Mumbai Indians,Wankhede Stadium,c C Green b P P Chawla,14,13,107.69,,815,610,26.29,133.61
77,54,15/05/2023,1st,6,Sunrisers Hyderabad,Narendra Modi Stadium,c M Jansen b Fazalhaq Farooqi,3,3,100.00,,818,613,25.56,133.44
