Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,11/04/2017,2nd,4,Delhi Capitals,Maharashtra Cricket Association Stadium,c S Nadeem b C H Morris,10,5,200.00,,10,5,10.00,200.00
2,2,14/04/2017,1st,2,Gujarat Lions,Saurashtra Cricket Association Stadium,c A J Finch b A J Tye,33,17,194.12,,43,22,21.50,195.45
3,3,16/04/2017,1st,2,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c V Kohli b P Negi,31,23,134.78,,74,45,24.67,164.44
4,4,22/04/2017,2nd,2,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,run out,59,41,143.90,,133,86,33.25,154.65
5,5,24/04/2017,1st,2,Mumbai Indians,Wankhede Stadium,c K A Pollard b K V Sharma,45,31,145.16,,178,117,35.60,152.14
6,6,26/04/2017,1st,2,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,b P P Chawla,38,23,165.22,,216,140,36.00,154.29
7,7,29/04/2017,1st,2,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,c †K M Jadhav b P Negi,37,28,132.14,,253,168,36.14,150.60
8,8,01/05/2017,2nd,2,Gujarat Lions,Maharashtra Cricket Association Stadium,run out,6,7,85.71,,259,175,32.38,148.00
9,9,03/05/2017,2nd,2,Kolkata Knight Riders,Eden Gardens,c sub b C R Woakes,93,52,178.85,,352,227,39.11,155.07
10,10,06/05/2017,1st,2,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,1,4,25.00,,353,231,35.30,152.81
11,11,12/05/2017,2nd,2,Delhi Capitals,Arun Jaitley Stadium,c †R R Pant b Z Khan,7,6,116.67,,360,237,32.73,151.90
12,12,14/05/2017,2nd,2,Punjab Kings,Maharashtra Cricket Association Stadium,b A R Patel,28,20,140.00,,388,257,32.33,150.97
13,13,16/05/2017,1st,2,Mumbai Indians,Wankhede Stadium,b M J McClenaghan,0,2,0.00,,388,259,29.85,149.81
14,14,21/05/2017,2nd,2,Mumbai Indians,Rajiv Gandhi International Stadium,lbw b J J Bumrah,3,8,37.50,,391,267,27.93,146.44
15,15,09/04/2018,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M K Pandey b Shakib Al Hasan,17,15,113.33,,408,282,27.20,144.68
16,16,11/04/2018,1st,6,Delhi Capitals,Sawai Mansingh Stadium,not out,15*,11,136.36,,423,293,28.20,144.37
17,17,15/04/2018,1st,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,14*,5,280.00,,437,298,29.13,146.64
18,18,18/04/2018,1st,4,Kolkata Knight Riders,Sawai Mansingh Stadium,c A D Russell b Kuldeep Yadav,15,11,136.36,,452,309,28.25,146.28
19,19,20/04/2018,2nd,6,Chennai Super Kings,Maharashtra Cricket Association Stadium,c S W Billings b D J J Bravo,5,5,100.00,,457,314,26.88,145.54
20,20,22/04/2018,2nd,2,Mumbai Indians,Sawai Mansingh Stadium,c S A Yadav b K H Pandya,9,8,112.50,,466,322,25.89,144.72
