Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,19/04/2008,1st,6,Delhi Capitals,Arun Jaitley Stadium,b D L Vettori,29,23,126.09,,29,23,29.00,126.09
2,2,21/04/2008,2nd,6,Punjab Kings,Sawai Mansingh Stadium,not out,36*,25,144.00,,65,48,65.00,135.42
3,3,24/04/2008,2nd,6,Deccan Chargers,Rajiv Gandhi International Stadium,b R P Singh,1,3,33.33,,66,51,33.00,129.41
4,,26/04/2008,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,66,51,33.00,129.41
5,4,01/05/2008,1st,6,Kolkata Knight Riders,Sawai Mansingh Stadium,b L R Shukla,33,19,173.68,,99,70,33.00,141.43
6,,04/05/2008,2nd,-,Chennai Super Kings,Sawai Mansingh Stadium,did not bat,-,-,-,,99,70,33.00,141.43
7,5,07/05/2008,1st,6,Mumbai Indians,Dr DY Patil Sports Academy,c †Y V  Takawale b D S Kulkarni,0,1,0.00,,99,71,24.75,139.44
8,,09/05/2008,2nd,-,Deccan Chargers,Sawai Mansingh Stadium,did not bat,-,-,-,,99,71,24.75,139.44
9,6,11/05/2008,2nd,5,Delhi Capitals,Sawai Mansingh Stadium,b A Mishra,6,6,100.00,,105,77,21.00,136.36
10,,17/05/2008,1st,-,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bat,-,-,-,,105,77,21.00,136.36
11,,20/05/2008,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,105,77,21.00,136.36
12,7,26/05/2008,2nd,6,Mumbai Indians,Sawai Mansingh Stadium,not out,23*,20,115.00,,128,97,25.60,131.96
13,8,30/05/2008,1st,7,Delhi Capitals,Wankhede Stadium,c M F Maharoof b V Y  Mahesh,7,5,140.00,,135,102,22.50,132.35
14,9,01/06/2008,2nd,7,Chennai Super Kings,Dr DY Patil Sports Academy,c C K Kapugedera b J A Morkel,0,1,0.00,,135,103,19.29,131.07
15,10,18/04/2009,2nd,7,Royal Challengers Bengaluru,Newlands,c V Kohli b A Kumble,11,10,110.00,,146,113,18.25,129.20
16,11,23/04/2009,1st,5,Kolkata Knight Riders,Newlands,c Yashpal Singh b I Sharma,22,26,84.62,,168,139,18.67,120.86
17,12,26/04/2009,2nd,6,Punjab Kings,Newlands,b Y A Abdulla,37,44,84.09,,205,183,20.50,112.02
18,13,28/04/2009,2nd,5,Delhi Capitals,SuperSport Park,c P J Sangwan b A Mishra,16,13,123.08,,221,196,20.09,112.76
19,14,30/04/2009,2nd,4,Chennai Super Kings,Buffalo Park,c M L Hayden b L Balaji,37,33,112.12,,258,229,21.50,112.66
20,15,02/05/2009,2nd,5,Deccan Chargers,St George's Park,c D R Smith b Y Venugopal Rao,12,17,70.59,,270,246,20.77,109.76
21,16,05/05/2009,1st,4,Punjab Kings,Kingsmead,c D P M D Jayawardene b I K Pathan,33,12,275.00,,303,258,21.64,117.44
22,17,07/05/2009,2nd,5,Royal Challengers Bengaluru,SuperSport Park,not out,1*,3,33.33,,304,261,21.71,116.48
23,18,09/05/2009,1st,4,Chennai Super Kings,Diamond Oval,c S K Raina b L Balaji,27,19,142.11,,331,280,22.07,118.21
24,19,11/05/2009,2nd,6,Deccan Chargers,Diamond Oval,not out,19*,20,95.00,,350,300,23.33,116.67
25,20,14/05/2009,1st,4,Mumbai Indians,Kingsmead,c D J J Bravo b S T Jayasuriya,42,32,131.25,,392,332,24.50,118.07
26,21,17/05/2009,2nd,5,Delhi Capitals,Mangaung Oval,c †K D Karthik b A M Salvi,24,18,133.33,,416,350,24.47,118.86
27,22,20/05/2009,1st,7,Kolkata Knight Riders,Kingsmead,b S S  Sarkar,14,19,73.68,,430,369,23.89,116.53
28,23,09/04/2011,1st,5,Royal Challengers Bengaluru,Nehru Stadium (Kochi),not out,23*,16,143.75,,453,385,25.17,117.66
29,24,13/04/2011,1st,6,Pune Warriors,Dr DY Patil Sports Academy,c W D Parnell b J D Ryder,47,33,142.42,,500,418,26.32,119.62
30,25,15/04/2011,2nd,3,Mumbai Indians,Barabati Stadium,not out,25*,11,227.27,,525,429,27.63,122.38
31,26,18/04/2011,2nd,5,Chennai Super Kings,Nehru Stadium (Kochi),not out,16*,6,266.67,,541,435,28.47,124.37
32,27,20/04/2011,1st,5,Kolkata Knight Riders,Eden Gardens,c Y K Pathan b B Lee,29,18,161.11,,570,453,28.50,125.83
33,28,24/04/2011,1st,5,Rajasthan Royals,Sawai Mansingh Stadium,c & b S K Warne,22,23,95.65,,592,476,28.19,124.37
34,29,27/04/2011,2nd,7,Deccan Chargers,Nehru Stadium (Kochi),c D T Christian b A Mishra,23,35,65.71,,615,511,27.95,120.35
35,30,30/04/2011,2nd,6,Delhi Capitals,Nehru Stadium (Kochi),c R E van der Merwe b A B Agarkar,31,22,140.91,,646,533,28.09,121.20
36,,02/05/2011,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,646,533,28.09,121.20
37,31,05/05/2011,1st,5,Kolkata Knight Riders,Nehru Stadium (Kochi),c Y K Pathan b R Bhatia,8,11,72.73,,654,544,27.25,120.22
38,32,08/05/2011,1st,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c M Kaif b A Mithun,23,22,104.55,,677,566,27.08,119.61
39,33,13/05/2011,1st,3,Punjab Kings,Holkar Cricket Stadium,lbw b P P Chawla,17,18,94.44,,694,584,26.69,118.84
40,,15/05/2011,2nd,-,Rajasthan Royals,Holkar Cricket Stadium,did not bat,-,-,-,,694,584,26.69,118.84
41,34,18/05/2011,2nd,5,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b D E Bollinger,19,13,146.15,,713,597,26.41,119.43
42,35,04/04/2012,1st,8,Mumbai Indians,MA Chidambaram Stadium,b S L Malinga,3,5,60.00,,716,602,25.57,118.94
43,36,07/04/2012,1st,5,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,hit wicket b D W Steyn,48,29,165.52,,764,631,26.34,121.08
44,37,10/04/2012,1st,5,Delhi Capitals,Arun Jaitley Stadium,c †N V Ojha b I K Pathan,13,17,76.47,,777,648,25.90,119.91
45,38,12/04/2012,2nd,7,Royal Challengers Bengaluru,MA Chidambaram Stadium,not out,4*,1,400.00,,781,649,26.03,120.34
46,39,14/04/2012,1st,5,Pune Warriors,Maharashtra Cricket Association Stadium,c S P D Smith b A Nehra,44,26,169.23,,825,675,26.61,122.22
47,40,19/04/2012,1st,6,Pune Warriors,MA Chidambaram Stadium,c R Sharma b M N Samuels,7,3,233.33,,832,678,26.00,122.71
48,,21/04/2012,2nd,-,Rajasthan Royals,MA Chidambaram Stadium,did not bat,-,-,-,,832,678,26.00,122.71
49,,25/04/2012,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,832,678,26.00,122.71
50,41,28/04/2012,2nd,5,Punjab Kings,MA Chidambaram Stadium,c D J Hussey b P P Chawla,17,11,154.55,,849,689,25.73,123.22
51,42,30/04/2012,1st,6,Kolkata Knight Riders,MA Chidambaram Stadium,c D B  Das b S P Narine,9,13,69.23,,858,702,25.24,122.22
52,43,04/05/2012,1st,6,Deccan Chargers,MA Chidambaram Stadium,c K C Sangakkara b A Ashish Reddy,4,9,44.44,,862,711,24.63,121.24
53,44,06/05/2012,1st,7,Mumbai Indians,Wankhede Stadium,c J E C Franklin b S L Malinga,9,6,150.00,,871,717,24.19,121.48
54,45,10/05/2012,2nd,6,Rajasthan Royals,Sawai Mansingh Stadium,c J Botha b Pankaj Singh,16,13,123.08,,887,730,23.97,121.51
55,,12/05/2012,2nd,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,-,,887,730,23.97,121.51
56,46,14/05/2012,2nd,7,Kolkata Knight Riders,Eden Gardens,not out,3*,2,150.00,,890,732,24.05,121.58
57,47,17/05/2012,1st,6,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c N  Saini b P Awana,13,14,92.86,,903,746,23.76,121.05
58,48,23/05/2012,1st,6,Mumbai Indians,M Chinnaswamy Stadium,c R G Sharma b D S Kulkarni,1,2,50.00,,904,748,23.18,120.86
59,,25/05/2012,1st,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,-,,904,748,23.18,120.86
60,,27/05/2012,1st,-,Kolkata Knight Riders,MA Chidambaram Stadium,did not bat,-,-,-,,904,748,23.18,120.86
61,49,06/04/2013,2nd,7,Mumbai Indians,MA Chidambaram Stadium,b M M Patel,16,11,145.45,,920,759,23.00,121.21
62,,10/04/2013,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,920,759,23.00,121.21
63,50,13/04/2013,2nd,6,Royal Challengers Bengaluru,MA Chidambaram Stadium,not out,38*,20,190.00,,958,779,23.95,122.98
64,51,15/04/2013,2nd,5,Pune Warriors,MA Chidambaram Stadium,c A B Dinda b M R Marsh,27,22,122.73,,985,801,24.02,122.97
65,,18/04/2013,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,985,801,24.02,122.97
66,52,20/04/2013,2nd,7,Kolkata Knight Riders,Eden Gardens,not out,36*,14,257.14,,1021,815,24.90,125.28
67,53,22/04/2013,2nd,5,Rajasthan Royals,MA Chidambaram Stadium,b J P Faulkner,0,2,0.00,,1021,817,24.31,124.97
68,54,25/04/2013,2nd,6,Sunrisers Hyderabad,MA Chidambaram Stadium,c A Mishra b D W Steyn,1,4,25.00,,1022,821,23.77,124.48
69,55,28/04/2013,1st,5,Kolkata Knight Riders,MA Chidambaram Stadium,not out,1*,1,100.00,,1023,822,23.79,124.45
70,,30/04/2013,1st,-,Pune Warriors,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,1023,822,23.79,124.45
71,56,02/05/2013,1st,6,Punjab Kings,MA Chidambaram Stadium,not out,5*,2,250.00,,1028,824,23.91,124.76
72,57,05/05/2013,2nd,8,Mumbai Indians,Wankhede Stadium,c A T Rayudu b P P Ojha,20,16,125.00,,1048,840,23.82,124.76
73,58,08/05/2013,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,14*,6,233.33,,1062,846,24.14,125.53
74,59,12/05/2013,1st,5,Rajasthan Royals,Sawai Mansingh Stadium,not out,12*,14,85.71,,1074,860,24.41,124.88
75,60,14/05/2013,1st,5,Delhi Capitals,MA Chidambaram Stadium,b U T Yadav,24,17,141.18,,1098,877,24.40,125.20
76,61,18/05/2013,2nd,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c & b Z Khan,7,4,175.00,,1105,881,24.02,125.43
77,,21/05/2013,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,-,,1105,881,24.02,125.43
78,62,26/05/2013,2nd,6,Mumbai Indians,Eden Gardens,c K A Pollard b Harbhajan Singh,0,2,0.00,,1105,883,23.51,125.14
79,,18/04/2014,1st,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,1105,883,23.51,125.14
80,63,21/04/2014,1st,6,Delhi Capitals,Sheikh Zayed Stadium,c †K D Karthik b J D Unadkat,7,3,233.33,,1112,886,23.17,125.51
81,64,23/04/2014,1st,6,Rajasthan Royals,Dubai International Cricket Stadium,not out,36*,33,109.09,,1148,919,23.92,124.92
82,,25/04/2014,2nd,-,Mumbai Indians,Dubai International Cricket Stadium,did not bat,-,-,-,,1148,919,23.92,124.92
83,65,27/04/2014,2nd,6,Sunrisers Hyderabad,Sharjah Cricket Stadium,b I Sharma,6,9,66.67,,1154,928,23.55,124.35
84,66,02/05/2014,1st,5,Kolkata Knight Riders,JSCA International Stadium Complex,not out,17*,10,170.00,,1171,938,23.90,124.84
85,,05/05/2014,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,1171,938,23.90,124.84
86,67,07/05/2014,2nd,4,Punjab Kings,Barabati Stadium,b R Dhawan,17,8,212.50,,1188,946,23.76,125.58
87,68,10/05/2014,2nd,6,Mumbai Indians,Wankhede Stadium,b S L Malinga,6,7,85.71,,1194,953,23.41,125.29
88,69,13/05/2014,2nd,7,Rajasthan Royals,JSCA International Stadium Complex,not out,11*,6,183.33,,1205,959,23.63,125.65
89,70,18/05/2014,1st,6,Royal Challengers Bengaluru,JSCA International Stadium Complex,not out,10*,9,111.11,,1215,968,23.82,125.52
90,71,20/05/2014,1st,6,Kolkata Knight Riders,Eden Gardens,not out,9*,4,225.00,,1224,972,24.00,125.93
91,,22/05/2014,1st,-,Sunrisers Hyderabad,JSCA International Stadium Complex,did not bat,-,-,-,,1224,972,24.00,125.93
92,,24/05/2014,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,1224,972,24.00,125.93
93,,28/05/2014,2nd,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,-,,1224,972,24.00,125.93
94,72,30/05/2014,2nd,5,Punjab Kings,Wankhede Stadium,c M G Johnson b P Awana,27,21,128.57,,1251,993,24.06,125.98
