Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,27/04/2016,2nd,5,Gujarat Lions,Arun Jaitley Stadium,c P Kumar b J P Faulkner,20,17,117.65,,20,17,20.00,117.65
2,2,30/04/2016,1st,8,Kolkata Knight Riders,Arun Jaitley Stadium,run out,4,4,100.00,,24,21,12.00,114.29
3,3,03/05/2016,2nd,2,Gujarat Lions,Saurashtra Cricket Association Stadium,c †K D Karthik b R A Jadeja,69,40,172.50,,93,61,31.00,152.46
4,4,05/05/2016,1st,1,Rising Pune Supergiant,Arun Jaitley Stadium,b A B Dinda,2,8,25.00,,95,69,23.75,137.68
5,5,07/05/2016,2nd,7,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,4*,3,133.33,,99,72,24.75,137.50
6,6,12/05/2016,2nd,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,39*,26,150.00,,138,98,34.50,140.82
7,7,15/05/2016,2nd,5,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,b J J Bumrah,23,17,135.29,,161,115,32.20,140.00
8,8,17/05/2016,1st,5,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,c N L T C Perera b A Zampa,4,9,44.44,,165,124,27.50,133.06
9,9,20/05/2016,2nd,2,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,run out,32,26,123.08,,197,150,28.14,131.33
10,10,22/05/2016,1st,2,Royal Challengers Bengaluru,Shaheed Veer Narayan Sing International Stadium,c †K L Rahul b S Aravind,1,2,50.00,,198,152,24.75,130.26
11  (k),11,08/04/2017,2nd,5,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b P Negi,57,36,158.33,,255,188,28.33,135.64
12  (k),12,11/04/2017,1st,4,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,run out,31,22,140.91,,286,210,28.60,136.19
13  (k),13,15/04/2017,1st,5,Punjab Kings,Arun Jaitley Stadium,c E J G Morgan b V R Aaron,15,9,166.67,,301,219,27.36,137.44
14  (k),14,17/04/2017,1st,5,Kolkata Knight Riders,Arun Jaitley Stadium,c G Gambhir b N M Coulter-Nile,38,16,237.50,,339,235,28.25,144.26
15  (k),15,19/04/2017,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D A Warner b Yuvraj Singh,0,1,0.00,,339,236,26.08,143.64
16  (k),16,22/04/2017,2nd,6,Mumbai Indians,Wankhede Stadium,c Harbhajan Singh b J J Bumrah,0,3,0.00,,339,239,24.21,141.84
17  (k),17,28/04/2017,1st,4,Kolkata Knight Riders,Eden Gardens,lbw b N M Coulter-Nile,6,4,150.00,,345,243,23.00,141.98
18  (k),18,30/04/2017,1st,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,lbw b G J Maxwell,3,6,50.00,,348,249,21.75,139.76
19  (k),19,02/05/2017,2nd,3,Sunrisers Hyderabad,Arun Jaitley Stadium,b Mohammed Siraj,34,20,170.00,,382,269,22.47,142.01
20  (k),20,04/05/2017,2nd,3,Gujarat Lions,Arun Jaitley Stadium,c †K D Karthik b Basil Thampi,97,43,225.58,,479,312,26.61,153.53
21  (k),21,06/05/2017,2nd,4,Mumbai Indians,Barabati Stadium,c L M P Simmons b J J Bumrah,0,3,0.00,,479,315,25.21,152.06
22  (k),22,10/05/2017,2nd,3,Gujarat Lions,Green Park,run out,4,2,200.00,,483,317,24.15,152.37
23  (k),23,12/05/2017,1st,4,Rising Pune Supergiant,Arun Jaitley Stadium,c D T Christian b A Zampa,36,22,163.64,,519,339,24.71,153.10
24  (k),24,14/05/2017,2nd,4,Royal Challengers Bengaluru,Arun Jaitley Stadium,b H V Patel,45,34,132.35,,564,373,25.64,151.21
25  (k),25,08/04/2018,1st,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c A J Tye b Mujeeb Ur Rahman,28,13,215.38,,592,386,25.74,153.37
26  (k),26,11/04/2018,2nd,3,Rajasthan Royals,Sawai Mansingh Stadium,c K Gowtham b J D Unadkat,20,14,142.86,,612,400,25.50,153.00
27  (k),27,14/04/2018,2nd,3,Mumbai Indians,Wankhede Stadium,c K A Pollard b K H Pandya,47,25,188.00,,659,425,26.36,155.06
28  (k),28,16/04/2018,2nd,4,Kolkata Knight Riders,Eden Gardens,c P P Chawla b Kuldeep Yadav,43,26,165.38,,702,451,27.00,155.65
29  (k),29,21/04/2018,1st,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c A B de Villiers b C J Anderson,85,48,177.08,,787,499,29.15,157.72
30  (k),30,23/04/2018,2nd,5,Punjab Kings,Arun Jaitley Stadium,b Mujeeb Ur Rahman,4,7,57.14,,791,506,28.25,156.32
31  (k),31,27/04/2018,1st,4,Kolkata Knight Riders,Arun Jaitley Stadium,c †K D Karthik b A D Russell,0,1,0.00,,791,507,27.28,156.02
32  (k),32,30/04/2018,2nd,4,Chennai Super Kings,Maharashtra Cricket Association Stadium,c R A Jadeja b L Ngidi,79,45,175.56,,870,552,29.00,157.61
33  (k),33,02/05/2018,1st,4,Rajasthan Royals,Arun Jaitley Stadium,c B A Stokes b J D Unadkat,69,29,237.93,,939,581,30.29,161.62
34  (k),34,05/05/2018,1st,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lbw b Rashid Khan,18,19,94.74,,957,600,29.91,159.50
35  (k),35,10/05/2018,1st,4,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,128*,63,203.17,,1085,663,33.91,163.65
36  (k),36,12/05/2018,1st,4,Royal Challengers Bengaluru,Arun Jaitley Stadium,c A B de Villiers b Moeen Ali,61,34,179.41,,1146,697,34.73,164.42
