Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,11/04/2019,1st,7,Chennai Super Kings,Sawai Mansingh Stadium,c †M S Dhoni b S N Thakur,16,14,114.29,,16,14,16.00,114.29
2,2,20/04/2019,2nd,5,Mumbai Indians,Sawai Mansingh Stadium,run out,43,29,148.28,,59,43,29.50,137.21
3,3,22/04/2019,1st,7,Delhi Capitals,Sawai Mansingh Stadium,b K Rabada,4,3,133.33,,63,46,21.00,136.96
4,4,25/04/2019,2nd,5,Kolkata Knight Riders,Eden Gardens,hit wicket b A D Russell,47,31,151.61,,110,77,27.50,142.86
5,,27/04/2019,2nd,-,Sunrisers Hyderabad,Sawai Mansingh Stadium,did not bat,-,-,-,,110,77,27.50,142.86
6,,30/04/2019,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,110,77,27.50,142.86
7,5,04/05/2019,1st,6,Delhi Capitals,Arun Jaitley Stadium,c S E Rutherford b T A Boult,50,49,102.04,,160,126,32.00,126.98
8,6,22/09/2020,1st,7,Chennai Super Kings,Sharjah Cricket Stadium,c †M S Dhoni b S M Curran,6,4,150.00,,166,130,27.67,127.69
9,7,27/09/2020,2nd,7,Punjab Kings,Sharjah Cricket Stadium,b M Ashwin,0,2,0.00,,166,132,23.71,125.76
10,8,30/09/2020,2nd,5,Kolkata Knight Riders,Dubai International Cricket Stadium,c Shubman Gill b K L Nagarkoti,1,6,16.67,,167,138,20.88,121.01
11,9,03/10/2020,1st,6,Royal Challengers Bengaluru,Sheikh Zayed Stadium,c A J Finch b I Udana,16,18,88.89,,183,156,20.33,117.31
12,10,11/10/2020,2nd,6,Sunrisers Hyderabad,Dubai International Cricket Stadium,not out,42*,26,161.54,,225,182,25.00,123.63
13,11,14/10/2020,2nd,6,Delhi Capitals,Dubai International Cricket Stadium,run out,1,2,50.00,,226,184,22.60,122.83
14,,17/10/2020,1st,-,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bat,-,-,-,,226,184,22.60,122.83
15,,19/10/2020,2nd,-,Chennai Super Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,226,184,22.60,122.83
16,12,22/10/2020,1st,6,Sunrisers Hyderabad,Dubai International Cricket Stadium,c D A Warner b J O Holder,20,12,166.67,,246,196,22.36,125.51
17,,25/10/2020,2nd,-,Mumbai Indians,Sheikh Zayed Stadium,did not bat,-,-,-,,246,196,22.36,125.51
18,,30/10/2020,2nd,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,246,196,22.36,125.51
19,13,01/11/2020,2nd,6,Kolkata Knight Riders,Dubai International Cricket Stadium,c †K D Karthik b P J Cummins,0,7,0.00,,246,203,20.50,121.18
20,14,12/04/2021,2nd,6,Punjab Kings,Wankhede Stadium,c †K L Rahul b Mohammed Shami,25,11,227.27,,271,214,20.85,126.64
21,15,15/04/2021,2nd,6,Delhi Capitals,Wankhede Stadium,c S Dhawan b Avesh Khan,2,5,40.00,,273,219,19.50,124.66
22,16,19/04/2021,2nd,6,Chennai Super Kings,Wankhede Stadium,c R A Jadeja b M M Ali,3,7,42.86,,276,226,18.40,122.12
