Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,20/04/2008,1st,5,Kolkata Knight Riders,Eden Gardens,c †W P Saha b M Kartik,0,3,0.00,,0,3,0.00,0.00
2,2,22/04/2008,1st,5,Delhi Capitals,Rajiv Gandhi International Stadium,c G D McGrath b R Bhatia,66,36,183.33,,66,39,33.00,169.23
3,3,24/04/2008,1st,5,Rajasthan Royals,Rajiv Gandhi International Stadium,c D Salunkhe b S K Warne,36,30,120.00,,102,69,34.00,147.83
4,,27/04/2008,2nd,-,Mumbai Indians,Dr DY Patil Sports Academy,did not bat,-,-,-,,102,69,34.00,147.83
5,4,01/05/2008,1st,4,Punjab Kings,Rajiv Gandhi International Stadium,not out,76*,42,180.95,,178,111,59.33,160.36
6,5,03/05/2008,2nd,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c W Jaffer b J H Kallis,57,42,135.71,,235,153,58.75,153.59
7,6,06/05/2008,2nd,4,Chennai Super Kings,MA Chidambaram Stadium,c S Badrinath b M Muralitharan,23,17,135.29,,258,170,51.60,151.76
8,7,09/05/2008,1st,4,Rajasthan Royals,Sawai Mansingh Stadium,run out,5,8,62.50,,263,178,43.83,147.75
9,8,11/05/2008,2nd,4,Kolkata Knight Riders,Rajiv Gandhi International Stadium,c S C Ganguly b A B Dinda,33,24,137.50,,296,202,42.29,146.53
10,9,15/05/2008,2nd,4,Delhi Capitals,Arun Jaitley Stadium,b M F Maharoof,35,18,194.44,,331,220,41.38,150.45
11,10,18/05/2008,2nd,3,Mumbai Indians,Rajiv Gandhi International Stadium,lbw b C R D Fernando,6,10,60.00,,337,230,37.44,146.52
12,11,23/05/2008,1st,3,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b V R Singh,50,27,185.19,,387,257,38.70,150.58
13,12,25/05/2008,1st,3,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,c D W Steyn b R Vinay Kumar,17,16,106.25,,404,273,36.73,147.99
14,13,19/04/2009,2nd,4,Kolkata Knight Riders,Newlands,not out,36*,32,112.50,,440,305,40.00,144.26
15,14,22/04/2009,1st,4,Royal Challengers Bengaluru,Newlands,c K P Pietersen b D W Steyn,52,30,173.33,,492,335,41.00,146.87
16,15,25/04/2009,1st,4,Mumbai Indians,Kingsmead,c S Dhawan b D J J Bravo,3,5,60.00,,495,340,38.08,145.59
17,16,27/04/2009,2nd,4,Chennai Super Kings,Kingsmead,c †M S Dhoni b L Balaji,18,19,94.74,,513,359,36.64,142.90
18,17,30/04/2009,1st,4,Delhi Capitals,SuperSport Park,c M  Manhas b A Mishra,17,20,85.00,,530,379,35.33,139.84
19,18,02/05/2009,1st,4,Rajasthan Royals,St George's Park,c S K Warne b S K  Trivedi,38,32,118.75,,568,411,35.50,138.20
20,19,04/05/2009,2nd,4,Chennai Super Kings,Buffalo Park,c S Badrinath b S B Jakati,21,20,105.00,,589,431,34.65,136.66
21,20,06/05/2009,1st,4,Mumbai Indians,SuperSport Park,c D J J Bravo b S L Malinga,38,36,105.56,,627,467,34.83,134.26
22,21,09/05/2009,1st,4,Punjab Kings,Diamond Oval,c †K C Sangakkara b B Lee,9,15,60.00,,636,482,33.47,131.95
23,22,11/05/2009,1st,3,Rajasthan Royals,Diamond Oval,st N V Ojha b R A Jadeja,9,14,64.29,,645,496,32.25,130.04
24,23,13/05/2009,2nd,3,Delhi Capitals,Kingsmead,c D A Warner b P J Sangwan,6,7,85.71,,651,503,31.00,129.42
25,24,16/05/2009,2nd,5,Kolkata Knight Riders,Wanderers Stadium,not out,32*,13,246.15,,683,516,32.52,132.36
26,25,17/05/2009,2nd,5,Punjab Kings,Wanderers Stadium,b I K Pathan,42,26,161.54,,725,542,32.95,133.76
27,26,21/05/2009,2nd,5,Royal Challengers Bengaluru,SuperSport Park,c V Kohli b A Kumble,12,12,100.00,,737,554,32.04,133.03
28,27,22/05/2009,2nd,6,Delhi Capitals,SuperSport Park,not out,5*,11,45.45,,742,565,32.26,131.33
29,28,24/05/2009,1st,5,Royal Challengers Bengaluru,Wanderers Stadium,c M K Pandey b A Kumble,24,23,104.35,,766,588,31.92,130.27
30,29,12/03/2010,2nd,5,Kolkata Knight Riders,Dr DY Patil Sports Academy,c B J Hodge b A D Mathews,13,12,108.33,,779,600,31.16,129.83
31,30,14/03/2010,1st,5,Chennai Super Kings,MA Chidambaram Stadium,not out,19*,10,190.00,,798,610,31.92,130.82
32,31,19/03/2010,1st,5,Punjab Kings,Barabati Stadium,run out,1,2,50.00,,799,612,30.73,130.56
33,32,21/03/2010,1st,5,Delhi Capitals,Barabati Stadium,c A B de Villiers b D P Nannes,45,30,150.00,,844,642,31.26,131.46
34,33,26/03/2010,1st,5,Rajasthan Royals,Narendra Modi Stadium,c M J Lumb b S W Tait,49,35,140.00,,893,677,31.89,131.91
35,34,28/03/2010,2nd,5,Mumbai Indians,Dr DY Patil Sports Academy,b Z Khan,45,28,160.71,,938,705,32.34,133.05
36,35,01/04/2010,2nd,5,Kolkata Knight Riders,Eden Gardens,b M Kartik,2,6,33.33,,940,711,31.33,132.21
