,Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
0,1,1,22/09/2020,2nd,5,Rajasthan Royals,Sharjah Cricket Stadium,st S V Samson b R Tewatia,0,1,0.00,,0,1,0.00,0.00
1,2,2,25/09/2020,2nd,4,Delhi Capitals,Dubai International Cricket Stadium,run out,5,10,50.00,,5,11,2.50,45.45
2,3,3,23/10/2020,1st,1,Mumbai Indians,Sharjah Cricket Stadium,lbw b T A Boult,0,5,0.00,,5,16,1.67,31.25
3,4,4,25/10/2020,2nd,1,Royal Challengers Bengaluru,Dubai International Cricket Stadium,not out,65*,51,127.45,,70,67,23.33,104.48
4,5,5,29/10/2020,2nd,2,Kolkata Knight Riders,Dubai International Cricket Stadium,b P J Cummins,72,53,135.85,,142,120,35.50,118.33
5,6,6,01/11/2020,2nd,1,Punjab Kings,Sheikh Zayed Stadium,not out,62*,49,126.53,,204,169,51.00,120.71
6,7,7,10/04/2021,1st,1,Delhi Capitals,Wankhede Stadium,c S Dhawan b C R Woakes,5,8,62.50,,209,177,41.80,118.08
7,8,8,16/04/2021,2nd,1,Punjab Kings,Wankhede Stadium,c D J Hooda b Arshdeep Singh,5,16,31.25,,214,193,35.67,110.88
8,9,9,19/04/2021,1st,1,Rajasthan Royals,Wankhede Stadium,c S Dube b Mustafizur Rahman,10,13,76.92,,224,206,32.00,108.74
9,10,10,21/04/2021,1st,1,Kolkata Knight Riders,Wankhede Stadium,c P J Cummins b C V Varun,64,42,152.38,,288,248,36.00,116.13
10,11,11,25/04/2021,1st,1,Royal Challengers Bengaluru,Wankhede Stadium,c K A Jamieson b Y S Chahal,33,25,132.00,,321,273,35.67,117.58
11,12,12,28/04/2021,2nd,1,Sunrisers Hyderabad,Arun Jaitley Stadium,b Rashid Khan,75,44,170.45,,396,317,39.60,124.92
12,13,13,01/05/2021,1st,1,Mumbai Indians,Arun Jaitley Stadium,c H H Pandya b T A Boult,4,4,100.00,,400,321,36.36,124.61
13,14,14,19/09/2021,1st,1,Mumbai Indians,Dubai International Cricket Stadium,not out,88*,58,151.72,,488,379,44.36,128.76
14,15,15,24/09/2021,2nd,1,Royal Challengers Bengaluru,Sharjah Cricket Stadium,c V Kohli b Y S Chahal,38,26,146.15,,526,405,43.83,129.88
15,16,16,26/09/2021,2nd,1,Kolkata Knight Riders,Sheikh Zayed Stadium,c E J G Morgan b A D Russell,40,28,142.86,,566,433,43.54,130.72
16,17,17,30/09/2021,2nd,1,Sunrisers Hyderabad,Sharjah Cricket Stadium,c K S Williamson b J O Holder,45,38,118.42,,611,471,43.64,129.72
17,18,18,02/10/2021,1st,1,Rajasthan Royals,Sheikh Zayed Stadium,not out,101*,60,168.33,,712,531,50.86,134.09
18,19,19,04/10/2021,1st,1,Delhi Capitals,Dubai International Cricket Stadium,c R Ashwin b A Nortje,13,13,100.00,,725,544,48.33,133.27
19,20,20,07/10/2021,1st,1,Punjab Kings,Dubai International Cricket Stadium,c Shahrukh Khan b Arshdeep Singh,12,14,85.71,,737,558,46.06,132.08
20,21,21,10/10/2021,2nd,1,Delhi Capitals,Dubai International Cricket Stadium,c A R Patel b Avesh Khan,70,50,140.00,,807,608,47.47,132.73
21,22,22,15/10/2021,1st,1,Kolkata Knight Riders,Dubai International Cricket Stadium,c Shivam Mavi b S P Narine,32,27,118.52,,839,635,46.61,132.13
22,23,23,26/03/2022,1st,1,Kolkata Knight Riders,Wankhede Stadium,c N Rana b U T Yadav,0,4,0.00,,839,639,44.16,131.30
23,24,24,31/03/2022,1st,2,Lucknow Super Giants,Brabourne Stadium,run out,1,4,25.00,,840,643,42.00,130.64
24,25,25,03/04/2022,2nd,2,Punjab Kings,Brabourne Stadium,c S Dhawan b K Rabada,1,4,25.00,,841,647,40.05,129.98
25,26,26,09/04/2022,1st,2,Sunrisers Hyderabad,Dr DY Patil Sports Academy,b T Natarajan,16,13,123.08,,857,660,38.95,129.85
26,27,27,12/04/2022,1st,1,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,lbw b J R Hazlewood,17,16,106.25,,874,676,38.00,129.29
27,28,28,17/04/2022,1st,1,Gujarat Titans,Maharashtra Cricket Association Stadium,c A Manohar b Y Dayal,73,48,152.08,,947,724,39.46,130.80
28,29,29,21/04/2022,2nd,1,Mumbai Indians,Dr DY Patil Sports Academy,c Tilak Varma b D R Sams,0,1,0.00,,947,725,37.88,130.62
29,30,30,25/04/2022,2nd,1,Punjab Kings,Wankhede Stadium,c M A Agarwal b K Rabada,30,27,111.11,,977,752,37.58,129.92
30,31,31,01/05/2022,1st,1,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,c B Kumar b T Natarajan,99,57,173.68,,1076,809,39.85,133.00
31,32,32,04/05/2022,2nd,1,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,c sub b Shahbaz Ahmed,28,23,121.74,,1104,832,39.43,132.69
32,33,33,08/05/2022,1st,1,Delhi Capitals,Dr DY Patil Sports Academy,c A R Patel b A Nortje,41,33,124.24,,1145,865,39.48,132.37
