Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1  (k),1,23/03/2025,1st,2,Chennai Super Kings,MA Chidambaram Stadium,b K K Ahmed,13,7,185.71,,13,7,13.00,185.71
2  (k),2,29/03/2025,2nd,2,Gujarat Titans,Narendra Modi Stadium,b Mohammed Siraj,6,9,66.67,,19,16,9.50,118.75
3  (k),3,31/03/2025,2nd,2,Kolkata Knight Riders,Wankhede Stadium,not out,62*,41,151.22,,81,57,40.50,142.11
4  (k),4,04/04/2025,2nd,2,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c Ravi Bishnoi b S N Thakur,10,5,200.00,,91,62,30.33,146.77
5  (k),5,07/04/2025,2nd,2,Royal Challengers Bengaluru,Wankhede Stadium,lbw b J R Hazlewood,17,10,170.00,,108,72,27.00,150.00
6  (k),6,13/04/2025,1st,2,Delhi Capitals,Arun Jaitley Stadium,b Kuldeep Yadav,41,25,164.00,,149,97,29.80,153.61
7  (k),7,17/04/2025,2nd,1,Sunrisers Hyderabad,Wankhede Stadium,c T M Head b H V Patel,31,23,134.78,,180,120,30.00,150.00
8  (k),8,20/04/2025,2nd,1,Chennai Super Kings,Wankhede Stadium,c Ayush Mhatre b R A Jadeja,24,19,126.32,,204,139,29.14,146.76
9  (k),9,23/04/2025,2nd,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c & b J D Unadkat,11,8,137.50,,215,147,26.88,146.26
10  (k),10,27/04/2025,1st,1,Lucknow Super Giants,Wankhede Stadium,c A Badoni b Digvesh Rathi,58,32,181.25,,273,179,30.33,152.51
11  (k),11,01/05/2025,1st,1,Rajasthan Royals,Sawai Mansingh Stadium,b M M Theekshana,61,38,160.53,,334,217,33.40,153.92
12  (k),12,06/05/2025,1st,1,Gujarat Titans,Wankhede Stadium,c Sai Sudharsan b Mohammed Siraj,2,2,100.00,,336,219,30.55,153.42
13  (k),13,21/05/2025,1st,1,Delhi Capitals,Wankhede Stadium,c M Tiwari b Kuldeep Yadav,25,18,138.89,,361,237,30.08,152.32
14  (k),14,26/05/2025,1st,1,Punjab Kings,Sawai Mansingh Stadium,c S S Iyer b M Jansen,27,20,135.00,,388,257,29.85,150.97
