Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,27/04/2013,2nd,-,Sunrisers Hyderabad,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
2,,05/05/2013,2nd,-,Pune Warriors,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
3,,07/05/2013,2nd,-,Delhi Capitals,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
4,1,17/05/2013,2nd,7,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lbw b A Mishra,3,7,42.86,,3,7,3.00,42.86
5,2,30/04/2016,2nd,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c S Dhawan b A Nehra,27,16,168.75,,30,23,15.00,130.43
6,3,02/05/2016,1st,6,Kolkata Knight Riders,M Chinnaswamy Stadium,c & b A D Russell,16,8,200.00,,46,31,15.33,148.39
7,,07/05/2016,2nd,-,Rising Pune Supergiant,M Chinnaswamy Stadium,did not bat,-,-,-,,46,31,15.33,148.39
8,4,09/05/2016,1st,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,run out,33,29,113.79,,79,60,19.75,131.67
9,5,11/05/2016,1st,6,Mumbai Indians,M Chinnaswamy Stadium,not out,25*,13,192.31,,104,73,26.00,142.47
10,,14/05/2016,1st,-,Gujarat Lions,M Chinnaswamy Stadium,did not bat,-,-,-,,104,73,26.00,142.47
11,,16/05/2016,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,104,73,26.00,142.47
12,,18/05/2016,1st,-,Punjab Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,104,73,26.00,142.47
13,,22/05/2016,2nd,-,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,did not bat,-,-,-,,104,73,26.00,142.47
14,6,24/05/2016,2nd,6,Gujarat Lions,M Chinnaswamy Stadium,c S B Jakati b D S Kulkarni,0,3,0.00,,104,76,20.80,136.84
15,7,29/05/2016,2nd,6,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,18*,10,180.00,,122,86,24.40,141.86
16,8,05/04/2017,2nd,6,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M C Henriques b Bipul Sharma,1,3,33.33,,123,89,20.50,138.20
17,9,29/04/2017,2nd,5,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c S P D Smith b Washington Sundar,2,4,50.00,,125,93,17.86,134.41
18,10,14/05/2017,1st,6,Delhi Capitals,Arun Jaitley Stadium,c C J Anderson b P J Cummins,12,8,150.00,,137,101,17.13,135.64
19,11,20/09/2021,1st,6,Kolkata Knight Riders,Sheikh Zayed Stadium,c N Rana b C V Varun,7,17,41.18,,144,118,16.00,122.03
