Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,25/03/2019,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
2,1,01/04/2019,1st,2,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,lbw b S Lamichhane,20,10,200.00,,20,10,20.00,200.00
3,2,06/04/2019,2nd,7,Chennai Super Kings,MA Chidambaram Stadium,not out,0*,1,0.00,,20,11,20.00,181.82
4,3,08/04/2019,2nd,6,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,not out,5*,3,166.67,,25,14,25.00,178.57
5,4,10/04/2019,1st,5,Mumbai Indians,Wankhede Stadium,c †Q de Kock b J J Bumrah,8,3,266.67,,33,17,16.50,194.12
6,5,13/04/2019,1st,5,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,lbw b M M Ali,1,3,33.33,,34,20,11.33,170.00
7,6,20/04/2019,1st,6,Delhi Capitals,Arun Jaitley Stadium,c & b S Lamichhane,0,4,0.00,,34,24,8.50,141.67
8,7,03/05/2019,1st,6,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,not out,55*,24,229.17,,89,48,22.25,185.42
9,8,05/05/2019,2nd,6,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,not out,6*,7,85.71,,95,55,23.75,172.73
10,9,19/09/2020,2nd,6,Mumbai Indians,Sheikh Zayed Stadium,c J L Pattinson b J J Bumrah,18,6,300.00,,113,61,22.60,185.25
11,10,22/09/2020,2nd,4,Rajasthan Royals,Sharjah Cricket Stadium,st S V Samson b R Tewatia,17,6,283.33,,130,67,21.67,194.03
12,11,25/09/2020,2nd,8,Delhi Capitals,Dubai International Cricket Stadium,not out,1*,2,50.00,,131,69,21.83,189.86
13,12,02/10/2020,2nd,7,Sunrisers Hyderabad,Dubai International Cricket Stadium,not out,15*,5,300.00,,146,74,24.33,197.30
14,,04/10/2020,2nd,-,Punjab Kings,Dubai International Cricket Stadium,did not bat,-,-,-,,146,74,24.33,197.30
15,13,07/10/2020,2nd,5,Kolkata Knight Riders,Sheikh Zayed Stadium,c E J G Morgan b A D Russell,17,11,154.55,,163,85,23.29,191.76
16,14,10/10/2020,2nd,6,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c †A B de Villiers b C H Morris,0,1,0.00,,163,86,20.38,189.53
