Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1  (k),1,14/04/2013,2nd,6,Punjab Kings,Sawai Mansingh Stadium,not out,27*,23,117.39,,27,23,,117.39
2  (k),2,29/04/2013,2nd,3,Royal Challengers Bengaluru,Sawai Mansingh Stadium,c M Kartik b R Rampaul,63,41,153.66,,90,64,90.00,140.63
3,3,03/05/2013,1st,4,Kolkata Knight Riders,Eden Gardens,c J H Kallis b R Bhatia,40,36,111.11,,130,100,65.00,130.00
4  (k),4,05/05/2013,2nd,6,Pune Warriors,Sawai Mansingh Stadium,c U A  Birla b W D Parnell,10,6,166.67,,140,106,46.67,132.08
5  (k),,07/05/2013,2nd,-,Delhi Capitals,Sawai Mansingh Stadium,did not bat,-,-,-,,140,106,46.67,132.08
6,5,09/05/2013,2nd,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,47*,33,142.42,,187,139,62.33,134.53
7,6,12/05/2013,2nd,4,Chennai Super Kings,Sawai Mansingh Stadium,c †M S Dhoni b M M Sharma,0,5,0.00,,187,144,46.75,129.86
8,7,15/05/2013,2nd,4,Mumbai Indians,Wankhede Stadium,c P P Ojha b M G Johnson,4,4,100.00,,191,148,38.20,129.05
9  (k),8,17/05/2013,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D W Steyn b A Mishra,5,7,71.43,,196,155,32.67,126.45
10,9,22/05/2013,2nd,6,Sunrisers Hyderabad,Arun Jaitley Stadium,lbw b D W Steyn,10,21,47.62,,206,176,29.43,117.05
11,10,24/05/2013,1st,4,Mumbai Indians,Eden Gardens,c Harbhajan Singh b S L Malinga,0,2,0.00,,206,178,25.75,115.73
12  (k),11,18/04/2014,2nd,3,Sunrisers Hyderabad,Sheikh Zayed Stadium,c S Dhawan b B Kumar,3,9,33.33,,209,187,23.22,111.76
13  (k),12,20/04/2014,1st,3,Punjab Kings,Sharjah Cricket Stadium,b P Awana,52,34,152.94,,261,221,26.10,118.10
14  (k),13,23/04/2014,2nd,3,Chennai Super Kings,Dubai International Cricket Stadium,c & b R A Jadeja,16,16,100.00,,277,237,25.18,116.88
15  (k),14,26/04/2014,2nd,3,Royal Challengers Bengaluru,Sheikh Zayed Stadium,run out,2,6,33.33,,279,243,23.25,114.81
16  (k),15,29/04/2014,1st,3,Kolkata Knight Riders,Sheikh Zayed Stadium,b Shakib Al Hasan,20,19,105.26,,299,262,23.00,114.12
17  (k),16,03/05/2014,2nd,3,Delhi Capitals,Arun Jaitley Stadium,st K D Karthik b S Nadeem,34,28,121.43,,333,290,23.79,114.83
18  (k),17,05/05/2014,1st,3,Kolkata Knight Riders,Narendra Modi Stadium,c M K Pandey b S P Narine,37,31,119.35,,370,321,24.67,115.26
19  (k),18,08/05/2014,2nd,3,Sunrisers Hyderabad,Narendra Modi Stadium,b K V Sharma,16,16,100.00,,386,337,24.13,114.54
20  (k),19,11/05/2014,2nd,5,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c & b Yuvraj Singh,13,8,162.50,,399,345,23.47,115.65
21  (k),20,15/05/2014,1st,4,Delhi Capitals,Narendra Modi Stadium,c K M Jadhav b Imran Tahir,40,25,160.00,,439,370,24.39,118.65
22  (k),21,19/05/2014,2nd,4,Mumbai Indians,Narendra Modi Stadium,c A T Rayudu b K Santokie,2,5,40.00,,441,375,23.21,117.60
23  (k),22,23/05/2014,2nd,3,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,st W P Saha b Karanveer Singh,30,29,103.45,,471,404,23.55,116.58
24  (k),23,25/05/2014,1st,2,Mumbai Indians,Wankhede Stadium,c Harbhajan Singh b S Gopal,74,47,157.45,,545,451,25.95,120.84
25  (k),24,10/04/2015,1st,2,Punjab Kings,Maharashtra Cricket Association Stadium,lbw b Sandeep Sharma,5,6,83.33,,550,457,25.00,120.35
26  (k),25,12/04/2015,2nd,2,Delhi Capitals,Arun Jaitley Stadium,c Yuvraj Singh b A D Mathews,11,12,91.67,,561,469,24.39,119.62
