Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,01/05/2015,1st,9,Delhi Capitals,Arun Jaitley Stadium,not out,7*,6,116.67,,7,6,,116.67
2,2,14/04/2017,1st,8,Gujarat Lions,Saurashtra Cricket Association Stadium,b A J Tye,0,1,0.00,,7,7,7.00,100.00
3,3,16/04/2017,1st,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c A B de Villiers b A F Milne,0,1,0.00,,7,8,3.50,87.50
4,,22/04/2017,2nd,-,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,7,8,3.50,87.50
5,,24/04/2017,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,7,8,3.50,87.50
6,,26/04/2017,1st,-,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,7,8,3.50,87.50
7,,01/05/2017,2nd,-,Gujarat Lions,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,7,8,3.50,87.50
8,,03/05/2017,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,7,8,3.50,87.50
9,4,06/05/2017,1st,9,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D A Warner b S Kaul,0,1,0.00,,7,9,2.33,77.78
10,,12/05/2017,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,7,9,2.33,77.78
11,,14/05/2017,2nd,-,Punjab Kings,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,7,9,2.33,77.78
12,,16/05/2017,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,7,9,2.33,77.78
13,,21/05/2017,2nd,-,Mumbai Indians,Rajiv Gandhi International Stadium,did not bat,-,-,-,,7,9,2.33,77.78
14,,10/04/2018,2nd,-,Kolkata Knight Riders,MA Chidambaram Stadium,did not bat,-,-,-,,7,9,2.33,77.78
15,,15/04/2018,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,7,9,2.33,77.78
16,,20/04/2018,1st,-,Rajasthan Royals,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,7,9,2.33,77.78
17,,22/04/2018,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,7,9,2.33,77.78
18,,25/04/2018,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,7,9,2.33,77.78
