Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,23/03/2019,1st,6,Chennai Super Kings,MA Chidambaram Stadium,c S R Watson b Imran Tahir,2,5,40.00,,2,5,2.00,40.00
2,2,28/03/2019,2nd,7,Mumbai Indians,M Chinnaswamy Stadium,not out,9*,5,180.00,,11,10,11.00,110.00
3,3,31/03/2019,2nd,6,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D J Hooda b Mohammad Nabi,5,7,71.43,,16,17,8.00,94.12
4,4,28/04/2019,2nd,4,Delhi Capitals,Arun Jaitley Stadium,c S Dhawan b A Mishra,24,16,150.00,,40,33,13.33,121.21
5,5,21/09/2020,1st,5,Sunrisers Hyderabad,Dubai International Cricket Stadium,run out,7,8,87.50,,47,41,11.75,114.63
6,6,24/09/2020,2nd,7,Punjab Kings,Dubai International Cricket Stadium,b G J Maxwell,12,12,100.00,,59,53,11.80,111.32
7,7,28/09/2020,1st,5,Mumbai Indians,Dubai International Cricket Stadium,not out,27*,10,270.00,,86,63,17.20,136.51
8,,03/10/2020,2nd,-,Rajasthan Royals,Sheikh Zayed Stadium,did not bat,-,-,-,,86,63,17.20,136.51
9,8,05/10/2020,2nd,7,Delhi Capitals,Dubai International Cricket Stadium,b K Rabada,11,12,91.67,,97,75,16.17,129.33
10,9,10/10/2020,1st,6,Chennai Super Kings,Dubai International Cricket Stadium,not out,22*,14,157.14,,119,89,19.83,133.71
11,,12/10/2020,1st,-,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bat,-,-,-,,119,89,19.83,133.71
12,10,15/10/2020,1st,5,Punjab Kings,Sharjah Cricket Stadium,c †K L Rahul b C J Jordan,23,19,121.05,,142,108,20.29,131.48
13,11,28/10/2020,1st,5,Mumbai Indians,Sheikh Zayed Stadium,c S A Yadav b J J Bumrah,2,6,33.33,,144,114,18.00,126.32
14,12,02/11/2020,1st,6,Delhi Capitals,Sheikh Zayed Stadium,c A M Rahane b K Rabada,17,11,154.55,,161,125,17.89,128.80
15,13,06/11/2020,1st,6,Sunrisers Hyderabad,Sheikh Zayed Stadium,c D A Warner b J O Holder,8,13,61.54,,169,138,16.90,122.46
16,14,12/04/2021,2nd,5,Punjab Kings,Wankhede Stadium,c D J Hooda b Arshdeep Singh,23,15,153.33,,192,153,17.45,125.49
17,15,15/04/2021,2nd,4,Delhi Capitals,Wankhede Stadium,c S Dhawan b Avesh Khan,2,7,28.57,,194,160,16.17,121.25
18,16,19/04/2021,2nd,4,Chennai Super Kings,Wankhede Stadium,lbw b R A Jadeja,17,20,85.00,,211,180,16.23,117.22
19,17,22/04/2021,1st,5,Royal Challengers Bengaluru,Wankhede Stadium,c G J Maxwell b K W Richardson,46,32,143.75,,257,212,18.36,121.23
20,18,24/04/2021,2nd,4,Kolkata Knight Riders,Wankhede Stadium,c M Prasidh Krishna b C V Varun,22,18,122.22,,279,230,18.60,121.30
21,19,29/04/2021,1st,4,Mumbai Indians,Arun Jaitley Stadium,c & b J J Bumrah,35,31,112.90,,314,261,19.63,120.31
22,20,02/10/2021,2nd,4,Chennai Super Kings,Sheikh Zayed Stadium,not out,64*,42,152.38,,378,303,23.63,124.75
23,21,05/10/2021,1st,4,Mumbai Indians,Sharjah Cricket Stadium,b J D S Neesham,3,8,37.50,,381,311,22.41,122.51
24,22,07/10/2021,2nd,4,Kolkata Knight Riders,Sharjah Cricket Stadium,b Shivam Mavi,18,20,90.00,,399,331,22.17,120.54
25,23,26/03/2022,1st,6,Kolkata Knight Riders,Wankhede Stadium,c S P Narine b A D Russell,3,6,50.00,,402,337,21.16,119.29
26,24,31/03/2022,1st,4,Lucknow Super Giants,Brabourne Stadium,c E Lewis b Avesh Khan,49,30,163.33,,451,367,22.55,122.89
27,25,03/04/2022,2nd,6,Punjab Kings,Brabourne Stadium,c Arshdeep Singh b L S Livingstone,57,30,190.00,,508,397,24.19,127.96
28,26,09/04/2022,1st,5,Sunrisers Hyderabad,Dr DY Patil Sports Academy,c Umran Malik b T Natarajan,3,5,60.00,,511,402,23.23,127.11
29,27,12/04/2022,1st,4,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,not out,95*,46,206.52,,606,448,27.55,135.27
30,28,17/04/2022,1st,5,Gujarat Titans,Maharashtra Cricket Association Stadium,run out,19,17,111.76,,625,465,27.17,134.41
31,29,21/04/2022,2nd,5,Mumbai Indians,Dr DY Patil Sports Academy,c †Ishan Kishan b D R Sams,13,14,92.86,,638,479,26.58,133.19
32,30,25/04/2022,2nd,4,Punjab Kings,Wankhede Stadium,b R Dhawan,8,7,114.29,,646,486,25.84,132.92
33,31,08/05/2022,1st,3,Delhi Capitals,Dr DY Patil Sports Academy,c D A Warner b M R Marsh,32,19,168.42,,678,505,26.08,134.26
34,32,12/05/2022,1st,7,Mumbai Indians,Wankhede Stadium,c †Ishan Kishan b R P Meredith,10,9,111.11,,688,514,25.48,133.85
35,33,15/05/2022,1st,5,Gujarat Titans,Wankhede Stadium,c †W P Saha b A S Joseph,0,2,0.00,,688,516,24.57,133.33
36,34,31/03/2023,1st,6,Gujarat Titans,Narendra Modi Stadium,c Rashid Khan b Mohammed Shami,19,18,105.56,,707,534,24.38,132.40
37,35,03/04/2023,1st,3,Lucknow Super Giants,MA Chidambaram Stadium,c M A Wood b Ravi Bishnoi,27,16,168.75,,734,550,24.47,133.45
38,36,08/04/2023,2nd,4,Mumbai Indians,Wankhede Stadium,b Kumar Kartikeya,28,26,107.69,,762,576,24.58,132.29
39,37,12/04/2023,2nd,4,Rajasthan Royals,MA Chidambaram Stadium,lbw b R Ashwin,8,9,88.89,,770,585,24.06,131.62
40,38,17/04/2023,1st,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c Mohammed Siraj b W D Parnell,52,27,192.59,,822,612,24.91,134.31
41,,21/04/2023,2nd,-,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bat,-,-,-,,822,612,24.91,134.31
42,39,23/04/2023,1st,4,Kolkata Knight Riders,Eden Gardens,c J J Roy b K Khejroliya,50,21,238.10,,872,633,25.65,137.76
43,40,27/04/2023,2nd,4,Rajasthan Royals,Sawai Mansingh Stadium,c J C Buttler b K Yadav,52,33,157.58,,924,666,26.40,138.74
44,41,30/04/2023,1st,3,Punjab Kings,MA Chidambaram Stadium,c Shahrukh Khan b Arshdeep Singh,28,17,164.71,,952,683,26.44,139.39
45,,03/05/2023,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,952,683,26.44,139.39
46,42,06/05/2023,2nd,5,Mumbai Indians,MA Chidambaram Stadium,not out,26*,18,144.44,,978,701,27.17,139.51
47,43,10/05/2023,1st,5,Delhi Capitals,MA Chidambaram Stadium,c D A Warner b M R Marsh,25,12,208.33,,1003,713,27.11,140.67
48,44,14/05/2023,1st,5,Kolkata Knight Riders,MA Chidambaram Stadium,not out,48*,34,141.18,,1051,747,28.41,140.70
49,45,20/05/2023,1st,3,Delhi Capitals,Arun Jaitley Stadium,c Lalit Yadav b K K Ahmed,22,9,244.44,,1073,756,28.24,141.93
50,46,23/05/2023,1st,3,Gujarat Titans,MA Chidambaram Stadium,b Noor Ahmad,1,3,33.33,,1074,759,27.54,141.50
51,47,29/05/2023,2nd,3,Gujarat Titans,Narendra Modi Stadium,not out,32*,21,152.38,,1106,780,28.36,141.79
52,48,22/03/2024,2nd,5,Royal Challengers Bengaluru,MA Chidambaram Stadium,not out,34*,28,121.43,,1140,808,29.23,141.09
53,49,26/03/2024,1st,4,Gujarat Titans,MA Chidambaram Stadium,c V Shankar b Rashid Khan,51,23,221.74,,1191,831,29.78,143.32
54,50,31/03/2024,2nd,5,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,c T Stubbs b M Kumar,18,17,105.88,,1209,848,29.49,142.57
55,51,05/04/2024,1st,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c B Kumar b P J Cummins,45,24,187.50,,1254,872,29.86,143.81
56,52,08/04/2024,2nd,4,Kolkata Knight Riders,MA Chidambaram Stadium,b V G Arora,28,18,155.56,,1282,890,29.81,144.04
57,53,14/04/2024,1st,4,Mumbai Indians,Wankhede Stadium,not out,66*,38,173.68,,1348,928,31.35,145.26
58,54,19/04/2024,1st,5,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c †K L Rahul b M P Stoinis,3,8,37.50,,1351,936,30.70,144.34
59,55,23/04/2024,1st,5,Lucknow Super Giants,MA Chidambaram Stadium,run out,66,27,244.44,,1417,963,31.49,147.14
60,56,28/04/2024,1st,4,Sunrisers Hyderabad,MA Chidambaram Stadium,not out,39*,20,195.00,,1456,983,32.36,148.12
61,57,01/05/2024,1st,3,Punjab Kings,MA Chidambaram Stadium,lbw b Harpreet Brar,0,1,0.00,,1456,984,31.65,147.97
