Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,14/04/2018,1st,7,Sunrisers Hyderabad,Eden Gardens,c Shakib Al Hasan b B Kumar,3,9,33.33,,3,9,3.00,33.33
2,2,16/04/2018,1st,7,Delhi Capitals,Eden Gardens,c C H Morris b R Tewatia,6,5,120.00,,9,14,4.50,64.29
3,,18/04/2018,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,9,14,4.50,64.29
4,3,21/04/2018,1st,7,Punjab Kings,Eden Gardens,not out,14*,8,175.00,,23,22,11.50,104.55
5,4,27/04/2018,2nd,6,Delhi Capitals,Arun Jaitley Stadium,run out,37,29,127.59,,60,51,20.00,117.65
6,5,29/04/2018,2nd,7,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,5*,2,250.00,,65,53,21.67,122.64
7,6,03/05/2018,2nd,4,Chennai Super Kings,Eden Gardens,not out,57*,36,158.33,,122,89,40.67,137.08
8,7,06/05/2018,2nd,2,Mumbai Indians,Wankhede Stadium,c K H Pandya b H H Pandya,7,5,140.00,,129,94,32.25,137.23
9,8,12/05/2018,1st,7,Punjab Kings,Holkar Cricket Stadium,not out,16*,8,200.00,,145,102,36.25,142.16
10,,15/05/2018,2nd,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,145,102,36.25,142.16
11,9,19/05/2018,2nd,7,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0*,0,-,,145,102,36.25,142.16
12,10,23/05/2018,1st,6,Rajasthan Royals,Eden Gardens,c †H Klaasen b J C Archer,28,17,164.71,,173,119,34.60,145.38
13,11,25/05/2018,2nd,6,Sunrisers Hyderabad,Eden Gardens,c Rashid Khan b C R Brathwaite,30,20,150.00,,203,139,33.83,146.04
14,12,24/03/2019,2nd,6,Sunrisers Hyderabad,Eden Gardens,not out,18*,10,180.00,,221,149,36.83,148.32
15,,27/03/2019,1st,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,221,149,36.83,148.32
16,13,30/03/2019,1st,6,Delhi Capitals,Arun Jaitley Stadium,run out,4,5,80.00,,225,154,32.14,146.10
17,14,05/04/2019,2nd,7,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,3*,3,100.00,,228,157,32.57,145.22
18,15,07/04/2019,2nd,4,Rajasthan Royals,Sawai Mansingh Stadium,not out,6*,10,60.00,,234,167,33.43,140.12
19,16,09/04/2019,1st,6,Chennai Super Kings,MA Chidambaram Stadium,st M S Dhoni b Imran Tahir,9,12,75.00,,243,179,30.38,135.75
20,17,12/04/2019,1st,2,Delhi Capitals,Eden Gardens,c A R Patel b K M A Paul,65,39,166.67,,308,218,34.22,141.28
21,18,14/04/2019,1st,7,Chennai Super Kings,Eden Gardens,c R A Jadeja b S N Thakur,15,20,75.00,,323,238,32.30,135.71
22,19,19/04/2019,2nd,3,Royal Challengers Bengaluru,Eden Gardens,c V Kohli b D W Steyn,9,11,81.82,,332,249,30.18,133.33
23,20,21/04/2019,1st,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c V Shankar b K K Ahmed,3,4,75.00,,335,253,27.92,132.41
24,21,25/04/2019,1st,2,Rajasthan Royals,Eden Gardens,b V R Aaron,14,14,100.00,,349,267,26.85,130.71
25,22,28/04/2019,1st,1,Mumbai Indians,Eden Gardens,c E Lewis b H H Pandya,76,45,168.89,,425,312,30.36,136.22
26,23,03/05/2019,2nd,1,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,65*,49,132.65,,490,361,35.00,135.73
27,24,05/05/2019,1st,1,Mumbai Indians,Wankhede Stadium,lbw b H H Pandya,9,16,56.25,,499,377,33.27,132.36
28,25,23/09/2020,2nd,1,Mumbai Indians,Sheikh Zayed Stadium,c K A Pollard b T A Boult,7,11,63.64,,506,388,31.63,130.41
29,26,26/09/2020,2nd,1,Sunrisers Hyderabad,Sheikh Zayed Stadium,not out,70*,62,112.90,,576,450,36.00,128.00
30,27,30/09/2020,1st,1,Rajasthan Royals,Dubai International Cricket Stadium,c & b J C Archer,47,34,138.24,,623,484,36.65,128.72
31,28,03/10/2020,2nd,1,Delhi Capitals,Sharjah Cricket Stadium,c †R R Pant b A Mishra,28,22,127.27,,651,506,36.17,128.66
32,29,07/10/2020,1st,2,Chennai Super Kings,Sheikh Zayed Stadium,c †M S Dhoni b S N Thakur,11,12,91.67,,662,518,34.84,127.80
33,30,10/10/2020,1st,2,Punjab Kings,Sheikh Zayed Stadium,run out,57,47,121.28,,719,565,35.95,127.26
34,31,12/10/2020,2nd,2,Royal Challengers Bengaluru,Sharjah Cricket Stadium,run out,34,25,136.00,,753,590,35.86,127.63
35,32,16/10/2020,1st,2,Mumbai Indians,Sheikh Zayed Stadium,c K A Pollard b R D Chahar,21,23,91.30,,774,613,35.18,126.26
36,33,18/10/2020,1st,1,Sunrisers Hyderabad,Sheikh Zayed Stadium,c P K Garg b Rashid Khan,36,37,97.30,,810,650,35.22,124.62
37,34,21/10/2020,1st,1,Royal Challengers Bengaluru,Sheikh Zayed Stadium,c C H Morris b N A Saini,1,6,16.67,,811,656,33.79,123.63
38,35,24/10/2020,1st,1,Delhi Capitals,Sheikh Zayed Stadium,c A R Patel b A Nortje,9,8,112.50,,820,664,32.80,123.49
39,36,26/10/2020,1st,1,Punjab Kings,Sharjah Cricket Stadium,c N Pooran b Mohammed Shami,57,45,126.67,,877,709,33.73,123.70
40,37,29/10/2020,1st,1,Chennai Super Kings,Dubai International Cricket Stadium,b K V Sharma,26,17,152.94,,903,726,33.44,124.38
41,38,01/11/2020,1st,1,Rajasthan Royals,Dubai International Cricket Stadium,c J C Buttler b R Tewatia,36,24,150.00,,939,750,33.54,125.20
42,39,11/04/2021,1st,2,Sunrisers Hyderabad,MA Chidambaram Stadium,b Rashid Khan,15,13,115.38,,954,763,32.90,125.03
43,40,13/04/2021,2nd,2,Mumbai Indians,MA Chidambaram Stadium,c K A Pollard b R D Chahar,33,24,137.50,,987,787,32.90,125.41
44,41,18/04/2021,2nd,2,Royal Challengers Bengaluru,MA Chidambaram Stadium,c sub b K A Jamieson,21,9,233.33,,1008,796,32.52,126.63
