Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,06/04/2023,1st,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,0,0,,-
2,,09/04/2023,2nd,-,Gujarat Titans,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
3,,14/04/2023,2nd,-,Sunrisers Hyderabad,Eden Gardens,did not bat,-,-,-,,0,0,,-
4,,16/04/2023,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
5,,23/04/2023,2nd,-,Chennai Super Kings,Eden Gardens,did not bat,-,-,-,,0,0,,-
6,,26/04/2023,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
7,,29/04/2023,1st,-,Gujarat Titans,Eden Gardens,did not bat,-,-,-,,0,0,,-
8,,08/05/2023,2nd,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,0,0,,-
9,,11/05/2023,1st,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,0,0,,-
10,,14/05/2023,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,0,0,,-
11,,20/05/2023,2nd,-,Lucknow Super Giants,Eden Gardens,did not bat,-,-,-,,0,0,,-
12,,23/03/2024,1st,-,Sunrisers Hyderabad,Eden Gardens,did not bat,-,-,-,,0,0,,-
13,,21/04/2024,1st,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,0,0,,-
14,,22/03/2025,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
15,,28/03/2025,1st,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,0,0,,-
16,,07/04/2025,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
17,,10/04/2025,1st,-,Delhi Capitals,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
18,,13/04/2025,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
19,,18/04/2025,1st,-,Punjab Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
20,,20/04/2025,2nd,-,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,0,0,,-
21,,24/04/2025,1st,-,Rajasthan Royals,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
22,,27/04/2025,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
23,,03/05/2025,1st,-,Chennai Super Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
24,,23/05/2025,2nd,-,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
25,,27/05/2025,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
26,,29/05/2025,2nd,-,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,0,0,,-
