Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,20/04/2016,1st,5,Mumbai Indians,Barabati Stadium,run out,37,24,154.17,,37,24,37.00,154.17
2,2,07/05/2016,2nd,5,Rising Pune Supergiant,M Chinnaswamy Stadium,not out,6*,9,66.67,,43,33,43.00,130.30
3,3,09/05/2016,1st,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c M Vijay b Sandeep Sharma,11,7,157.14,,54,40,27.00,135.00
4,4,05/04/2017,2nd,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Yuvraj Singh b Rashid Khan,30,22,136.36,,84,62,28.00,135.48
5,5,18/04/2017,1st,3,Gujarat Lions,Saurashtra Cricket Association Stadium,not out,30*,16,187.50,,114,78,38.00,146.15
6,6,27/04/2017,1st,4,Gujarat Lions,M Chinnaswamy Stadium,c S K Raina b A J Tye,0,1,0.00,,114,79,28.50,144.30
7,7,29/04/2017,2nd,1,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,b J D Unadkat,2,5,40.00,,116,84,23.20,138.10
8,8,01/05/2017,1st,3,Mumbai Indians,Wankhede Stadium,c H H Pandya b K H Pandya,12,15,80.00,,128,99,21.33,129.29
9,9,07/05/2017,1st,5,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,75*,47,159.57,,203,146,33.83,139.04
10,10,14/05/2017,1st,4,Delhi Capitals,Arun Jaitley Stadium,run out,2,2,100.00,,205,148,29.29,138.51
11,11,27/03/2024,1st,2,Mumbai Indians,Rajiv Gandhi International Stadium,c Naman Dhir b G Coetzee,62,24,258.33,,267,172,33.38,155.23
12,12,31/03/2024,1st,1,Gujarat Titans,Narendra Modi Stadium,b Noor Ahmad,19,14,135.71,,286,186,31.78,153.76
13,13,05/04/2024,2nd,1,Chennai Super Kings,Rajiv Gandhi International Stadium,c R Ravindra b M M Theekshana,31,24,129.17,,317,210,31.70,150.95
14,14,09/04/2024,1st,1,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,c S Dhawan b Arshdeep Singh,21,15,140.00,,338,225,30.73,150.22
15,15,15/04/2024,1st,2,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c F du Plessis b L H Ferguson,102,41,248.78,,440,266,36.67,165.41
16,16,20/04/2024,1st,1,Delhi Capitals,Arun Jaitley Stadium,c T Stubbs b Kuldeep Yadav,89,32,278.13,,529,298,40.69,177.52
17,17,25/04/2024,2nd,2,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,c K V Sharma b W G Jacks,1,3,33.33,,530,301,37.86,176.08
18,18,28/04/2024,2nd,1,Chennai Super Kings,MA Chidambaram Stadium,c D J Mitchell b T U Deshpande,13,7,185.71,,543,308,36.20,176.30
19,19,02/05/2024,1st,1,Rajasthan Royals,Rajiv Gandhi International Stadium,b Avesh Khan,58,44,131.82,,601,352,37.56,170.74
20,20,06/05/2024,1st,1,Mumbai Indians,Wankhede Stadium,c Tilak Varma b P P Chawla,48,30,160.00,,649,382,38.18,169.90
21,21,08/05/2024,2nd,2,Lucknow Super Giants,Rajiv Gandhi International Stadium,not out,89*,30,296.67,,738,412,43.41,179.13
22,22,19/05/2024,2nd,1,Punjab Kings,Rajiv Gandhi International Stadium,b Arshdeep Singh,0,1,0.00,,738,413,41.00,178.69
23,23,21/05/2024,1st,1,Kolkata Knight Riders,Narendra Modi Stadium,b M A Starc,0,2,0.00,,738,415,38.84,177.83
24,24,24/05/2024,1st,1,Rajasthan Royals,MA Chidambaram Stadium,c R Ashwin b Sandeep Sharma,34,28,121.43,,772,443,38.60,174.27
25,25,26/05/2024,1st,2,Kolkata Knight Riders,MA Chidambaram Stadium,c †Rahmanullah Gurbaz b V G Arora,0,1,0.00,,772,444,36.76,173.87
26,26,23/03/2025,1st,2,Rajasthan Royals,Rajiv Gandhi International Stadium,c S O Hetmeyer b T U Deshpande,67,31,216.13,,839,475,38.14,176.63
27,27,27/03/2025,1st,1,Lucknow Super Giants,Rajiv Gandhi International Stadium,b P Yadav,47,28,167.86,,886,503,38.52,176.14
28,28,30/03/2025,1st,2,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,c †K L Rahul b M A Starc,22,12,183.33,,908,515,37.83,176.31
29,29,03/04/2025,2nd,1,Kolkata Knight Riders,Eden Gardens,c H P Rana b V G Arora,4,2,200.00,,912,517,36.48,176.40
30,30,06/04/2025,1st,2,Gujarat Titans,Rajiv Gandhi International Stadium,c Sai Sudharsan b Mohammed Siraj,8,5,160.00,,920,522,35.38,176.25
31,31,12/04/2025,2nd,1,Punjab Kings,Rajiv Gandhi International Stadium,c G J Maxwell b Y S Chahal,66,37,178.38,,986,559,36.52,176.39
32,32,17/04/2025,1st,2,Mumbai Indians,Wankhede Stadium,c M J Santner b W G Jacks,28,29,96.55,,1014,588,36.21,172.45
33,33,23/04/2025,1st,1,Mumbai Indians,Rajiv Gandhi International Stadium,c Naman Dhir b T A Boult,0,4,0.00,,1014,592,34.97,171.28
