Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,03/04/2022,1st,10,Chennai Super Kings,Brabourne Stadium,not out,1*,2,50.00,,1,2,,50.00
2,2,08/04/2022,1st,10,Gujarat Titans,Brabourne Stadium,b Mohammed Shami,2,6,33.33,,3,8,3.00,37.50
3,,13/04/2022,1st,-,Mumbai Indians,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,3,8,3.00,37.50
4,3,17/04/2022,1st,10,Sunrisers Hyderabad,Dr DY Patil Sports Academy,b Umran Malik,0,1,0.00,,3,9,1.50,33.33
5,4,20/04/2022,1st,11,Delhi Capitals,Brabourne Stadium,not out,2*,4,50.00,,5,13,2.50,38.46
6,,26/04/2023,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,5,13,2.50,38.46
7,5,04/05/2023,1st,11,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,2*,1,200.00,,7,14,3.50,50.00
8,,08/05/2023,2nd,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,7,14,3.50,50.00
9,,14/05/2023,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,7,14,3.50,50.00
10,6,20/05/2023,2nd,9,Lucknow Super Giants,Eden Gardens,not out,1*,1,100.00,,8,15,4.00,53.33
11,,03/04/2024,1st,-,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,,8,15,4.00,53.33
12,7,08/04/2024,1st,11,Chennai Super Kings,MA Chidambaram Stadium,not out,1*,1,100.00,,9,16,4.50,56.25
13,,14/04/2024,2nd,-,Lucknow Super Giants,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
14,,16/04/2024,1st,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
15,,29/04/2024,2nd,-,Delhi Capitals,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
16,8,03/05/2024,1st,11,Mumbai Indians,Wankhede Stadium,not out,0*,0,-,,9,16,4.50,56.25
17,,05/05/2024,1st,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,9,16,4.50,56.25
18,,11/05/2024,1st,-,Mumbai Indians,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
19,,21/05/2024,2nd,-,Sunrisers Hyderabad,Narendra Modi Stadium,did not bat,-,-,-,,9,16,4.50,56.25
20,,26/05/2024,2nd,-,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bat,-,-,-,,9,16,4.50,56.25
21,,22/03/2025,1st,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
22,,26/03/2025,2nd,-,Rajasthan Royals,Barsapara Cricket Stadium,did not bat,-,-,-,,9,16,4.50,56.25
23,,03/04/2025,1st,-,Sunrisers Hyderabad,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
24,,08/04/2025,2nd,-,Lucknow Super Giants,Eden Gardens,did not bat,-,-,-,,9,16,4.50,56.25
25,,11/04/2025,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,9,16,4.50,56.25
26,9,15/04/2025,2nd,10,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,c †J P Inglis b Arshdeep Singh,0,7,0.00,,9,23,3.00,39.13
27,,21/04/2025,2nd,-,Gujarat Titans,Eden Gardens,did not bat,-,-,-,,9,23,3.00,39.13
