Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,13/05/2014,2nd,-,Rajasthan Royals,JSCA International Stadium Complex,did not bat,-,-,-,,0,0,,-
2,1,12/04/2017,1st,7,Mumbai Indians,Wankhede Stadium,c N Rana b S L Malinga,1,2,50.00,,1,2,1.00,50.00
3,2,08/05/2017,2nd,5,Mumbai Indians,Rajiv Gandhi International Stadium,not out,15*,12,125.00,,16,14,16.00,114.29
4,3,13/05/2017,2nd,4,Gujarat Lions,Green Park,not out,63*,44,143.18,,79,58,79.00,136.21
5,4,17/05/2017,1st,5,Kolkata Knight Riders,M Chinnaswamy Stadium,c S A Yadav b N M Coulter-Nile,22,17,129.41,,101,75,50.50,134.67
6,5,08/04/2018,1st,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c A R Patel b M M Sharma,13,13,100.00,,114,88,38.00,129.55
7,6,11/04/2018,2nd,5,Rajasthan Royals,Sawai Mansingh Stadium,c B A Stokes b B Laughlin,3,3,100.00,,117,91,29.25,128.57
8,,14/04/2018,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,117,91,29.25,128.57
9,7,16/04/2018,2nd,7,Kolkata Knight Riders,Eden Gardens,lbw b S P Narine,2,4,50.00,,119,95,23.80,125.26
10,,21/04/2018,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,119,95,23.80,125.26
11,8,27/04/2018,1st,6,Kolkata Knight Riders,Arun Jaitley Stadium,not out,0*,0,-,,119,95,23.80,125.26
12,9,30/04/2018,2nd,6,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,54*,31,174.19,,173,126,34.60,137.30
13,10,02/05/2018,1st,6,Rajasthan Royals,Arun Jaitley Stadium,c R A Tripathi b J D Unadkat,17,6,283.33,,190,132,31.67,143.94
14,11,05/05/2018,1st,6,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,23*,13,176.92,,213,145,35.50,146.90
15,12,10/05/2018,1st,7,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,0*,0,-,,213,145,35.50,146.90
16,13,12/05/2018,1st,5,Royal Challengers Bengaluru,Arun Jaitley Stadium,not out,21*,20,105.00,,234,165,39.00,141.82
17,14,18/05/2018,1st,5,Chennai Super Kings,Arun Jaitley Stadium,not out,36*,28,128.57,,270,193,45.00,139.90
