Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,22/04/2017,2nd,-,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,0,0,,-
2,1,24/04/2017,1st,8,Mumbai Indians,Wankhede Stadium,not out,2*,2,100.00,,2,2,,100.00
3,,26/04/2017,1st,-,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
4,,29/04/2017,1st,-,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
5,,01/05/2017,2nd,-,Gujarat Lions,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
6,2,03/05/2017,2nd,8,Kolkata Knight Riders,Eden Gardens,not out,1*,3,33.33,,3,5,,60.00
7,3,06/05/2017,1st,8,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,1*,3,33.33,,4,8,,50.00
8,4,12/05/2017,2nd,8,Delhi Capitals,Arun Jaitley Stadium,not out,5*,3,166.67,,9,11,,81.82
9,,14/05/2017,2nd,-,Punjab Kings,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,9,11,,81.82
10,,16/05/2017,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,9,11,,81.82
11,5,21/05/2017,2nd,7,Mumbai Indians,Rajiv Gandhi International Stadium,not out,0*,1,0.00,,9,12,,75.00
12,6,08/04/2018,1st,8,Kolkata Knight Riders,Eden Gardens,not out,0*,0,-,,9,12,,75.00
13,7,13/04/2018,2nd,8,Punjab Kings,M Chinnaswamy Stadium,not out,9*,4,225.00,,18,16,,112.50
14,8,15/04/2018,2nd,7,Rajasthan Royals,M Chinnaswamy Stadium,b B A Stokes,35,19,184.21,,53,35,53.00,151.43
15,9,17/04/2018,2nd,6,Mumbai Indians,Wankhede Stadium,c S A Yadav b K H Pandya,7,8,87.50,,60,43,30.00,139.53
16,,21/04/2018,2nd,-,Delhi Capitals,M Chinnaswamy Stadium,did not bat,-,-,-,,60,43,30.00,139.53
17,10,25/04/2018,1st,8,Chennai Super Kings,M Chinnaswamy Stadium,not out,13*,4,325.00,,73,47,36.50,155.32
18,11,01/05/2018,1st,7,Mumbai Indians,M Chinnaswamy Stadium,c R G Sharma b H H Pandya,1,3,33.33,,74,50,24.67,148.00
19,,24/04/2019,1st,-,Punjab Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,74,50,24.67,148.00
20,12,28/04/2019,2nd,8,Delhi Capitals,Arun Jaitley Stadium,c S S Iyer b K Rabada,1,2,50.00,,75,52,18.75,144.23
21,13,04/05/2019,2nd,7,Sunrisers Hyderabad,M Chinnaswamy Stadium,c M K Pandey b K K Ahmed,0,1,0.00,,75,53,15.00,141.51
22,,21/09/2020,1st,-,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bat,-,-,-,,75,53,15.00,141.51
23,14,24/09/2020,2nd,6,Punjab Kings,Dubai International Cricket Stadium,c M A Agarwal b Ravi Bishnoi,30,27,111.11,,105,80,17.50,131.25
24,,28/09/2020,1st,-,Mumbai Indians,Dubai International Cricket Stadium,did not bat,-,-,-,,105,80,17.50,131.25
25,,03/10/2020,2nd,-,Rajasthan Royals,Sheikh Zayed Stadium,did not bat,-,-,-,,105,80,17.50,131.25
26,15,05/10/2020,2nd,6,Delhi Capitals,Dubai International Cricket Stadium,c R Ashwin b K Rabada,17,11,154.55,,122,91,17.43,134.07
27,16,10/10/2020,1st,5,Chennai Super Kings,Dubai International Cricket Stadium,c †M S Dhoni b S M Curran,10,10,100.00,,132,101,16.50,130.69
28,,12/10/2020,1st,-,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bat,-,-,-,,132,101,16.50,130.69
29,17,15/10/2020,1st,4,Punjab Kings,Sharjah Cricket Stadium,c C J Jordan b M Ashwin,13,14,92.86,,145,115,16.11,126.09
30,,17/10/2020,2nd,-,Rajasthan Royals,Dubai International Cricket Stadium,did not bat,-,-,-,,145,115,16.11,126.09
31,,21/10/2020,2nd,-,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bat,-,-,-,,145,115,16.11,126.09
32,18,25/10/2020,1st,8,Chennai Super Kings,Dubai International Cricket Stadium,not out,5*,2,250.00,,150,117,16.67,128.21
33,19,28/10/2020,1st,8,Mumbai Indians,Sheikh Zayed Stadium,not out,10*,6,166.67,,160,123,17.78,130.08
34,20,31/10/2020,1st,5,Sunrisers Hyderabad,Sharjah Cricket Stadium,c & b T Natarajan,21,18,116.67,,181,141,18.10,128.37
35,21,02/11/2020,1st,7,Delhi Capitals,Sheikh Zayed Stadium,not out,0*,1,0.00,,181,142,18.10,127.46
36,22,06/11/2020,1st,7,Sunrisers Hyderabad,Sheikh Zayed Stadium,c Abdul Samad b T Natarajan,5,6,83.33,,186,148,16.91,125.68
37,23,09/04/2021,2nd,1,Mumbai Indians,MA Chidambaram Stadium,c C A Lynn b K H Pandya,10,16,62.50,,196,164,16.33,119.51
38,24,14/04/2021,1st,6,Sunrisers Hyderabad,MA Chidambaram Stadium,c M K Pandey b Rashid Khan,8,11,72.73,,204,175,15.69,116.57
39,,18/04/2021,1st,-,Kolkata Knight Riders,MA Chidambaram Stadium,did not bat,-,-,-,,204,175,15.69,116.57
40,,22/04/2021,2nd,-,Rajasthan Royals,Wankhede Stadium,did not bat,-,-,-,,204,175,15.69,116.57
41,25,25/04/2021,2nd,3,Chennai Super Kings,Wankhede Stadium,c R D Gaikwad b R A Jadeja,7,11,63.64,,211,186,15.07,113.44
42,26,27/04/2021,1st,6,Delhi Capitals,Narendra Modi Stadium,c & b K Rabada,6,9,66.67,,217,195,14.47,111.28
43,27,29/03/2022,2nd,8,Rajasthan Royals,Maharashtra Cricket Association Stadium,c S O Hetmeyer b T A Boult,40,14,285.71,,257,209,16.06,122.97
44,28,04/04/2022,2nd,6,Lucknow Super Giants,Dr DY Patil Sports Academy,c K L Rahul b J O Holder,18,14,128.57,,275,223,16.18,123.32
45,,09/04/2022,2nd,-,Chennai Super Kings,Dr DY Patil Sports Academy,did not bat,-,-,-,,275,223,16.18,123.32
46,,11/04/2022,2nd,-,Gujarat Titans,Dr DY Patil Sports Academy,did not bat,-,-,-,,275,223,16.18,123.32
47,29,27/04/2022,1st,6,Gujarat Titans,Wankhede Stadium,run out,3,4,75.00,,278,227,15.44,122.47
48,30,01/05/2022,2nd,7,Chennai Super Kings,Maharashtra Cricket Association Stadium,b Mukesh Choudhary,2,2,100.00,,280,229,14.74,122.27
49,31,14/05/2022,2nd,6,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,c V R Iyer b A D Russell,4,9,44.44,,284,238,14.20,119.33
50,32,17/05/2022,1st,7,Mumbai Indians,Wankhede Stadium,b J J Bumrah,9,7,128.57,,293,245,13.95,119.59
51,33,22/05/2022,1st,6,Punjab Kings,Wankhede Stadium,c S Dhawan b N Ellis,25,19,131.58,,318,264,14.45,120.45
52,34,02/04/2023,2nd,5,Rajasthan Royals,Rajiv Gandhi International Stadium,c S O Hetmeyer b J O Holder,1,5,20.00,,319,269,13.87,118.59
53,35,07/04/2023,1st,6,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c D J Hooda b A Mishra,16,28,57.14,,335,297,13.96,112.79
