Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,11/04/2024,1st,3,Mumbai Indians,Wankhede Stadium,c T H David b A Madhwal,8,6,133.33,,8,6,8.00,133.33
2,2,15/04/2024,2nd,3,Sunrisers Hyderabad,M Chinnaswamy Stadium,run out,7,4,175.00,,15,10,7.50,150.00
3,3,21/04/2024,2nd,3,Kolkata Knight Riders,Eden Gardens,c Angkrish Raghuvanshi b A D Russell,55,32,171.88,,70,42,23.33,166.67
4,4,25/04/2024,1st,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b M Markande,6,9,66.67,,76,51,19.00,149.02
5,5,28/04/2024,2nd,3,Gujarat Titans,Narendra Modi Stadium,not out,100*,41,243.90,,176,92,44.00,191.30
6,6,04/05/2024,2nd,3,Gujarat Titans,M Chinnaswamy Stadium,c Shahrukh Khan b Noor Ahmad,1,3,33.33,,177,95,35.40,186.32
7,7,09/05/2024,1st,3,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c H V Patel b V Kaverappa,12,7,171.43,,189,102,31.50,185.29
8,8,12/05/2024,1st,3,Delhi Capitals,M Chinnaswamy Stadium,c A R Patel b Kuldeep Yadav,41,29,141.38,,230,131,32.86,175.57
9,9,23/03/2025,1st,3,Chennai Super Kings,MA Chidambaram Stadium,c S Dube b R Ashwin,11,7,157.14,,241,138,30.13,174.64
10,10,31/03/2025,2nd,3,Kolkata Knight Riders,Wankhede Stadium,c A M Rahane b A D Russell,16,17,94.12,,257,155,28.56,165.81
11,11,04/04/2025,2nd,1,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c Ravi Bishnoi b Akash Deep,5,7,71.43,,262,162,26.20,161.73
12,12,07/04/2025,2nd,3,Royal Challengers Bengaluru,Wankhede Stadium,c V Kohli b K H Pandya,22,18,122.22,,284,180,25.82,157.78
13,13,13/04/2025,1st,7,Delhi Capitals,Arun Jaitley Stadium,not out,1*,1,100.00,,285,181,25.91,157.46
14,14,17/04/2025,2nd,3,Sunrisers Hyderabad,Wankhede Stadium,c Z Ansari b P J Cummins,36,26,138.46,,321,207,26.75,155.07
15,,20/04/2025,2nd,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,-,,321,207,26.75,155.07
16,15,23/04/2025,2nd,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c A Manohar b Z Ansari,22,19,115.79,,343,226,26.38,151.77
17,16,27/04/2025,1st,3,Lucknow Super Giants,Wankhede Stadium,b P Yadav,29,21,138.10,,372,247,26.57,150.61
18,,01/05/2025,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,372,247,26.57,150.61
19,17,06/05/2025,1st,3,Gujarat Titans,Wankhede Stadium,c Sai Sudharsan b Rashid Khan,53,35,151.43,,425,282,28.33,150.71
20,18,21/05/2025,1st,3,Delhi Capitals,Wankhede Stadium,c V Nigam b M Kumar,21,13,161.54,,446,295,27.88,151.19
21,19,26/05/2025,1st,5,Punjab Kings,Sawai Mansingh Stadium,c M Jansen b Vijaykumar Vyshak,17,8,212.50,,463,303,27.24,152.81
