Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,03/04/2023,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,0,0,,-
2,,07/04/2023,2nd,-,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
3,,28/04/2023,1st,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,0,0,,-
4,,01/05/2023,2nd,-,Royal Challengers Bengaluru,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
5,,07/05/2023,2nd,-,Gujarat Titans,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
6,,13/05/2023,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,0,0,,-
7,,16/05/2023,1st,-,Mumbai Indians,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
8,,20/05/2023,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
9,,24/05/2023,2nd,-,Mumbai Indians,MA Chidambaram Stadium,did not bat,-,-,-,,0,0,,-
10,,24/03/2024,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
11,,02/04/2024,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
12,,07/04/2024,1st,-,Gujarat Titans,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
13,,12/04/2024,1st,-,Delhi Capitals,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
14,,14/04/2024,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
15,,19/04/2024,2nd,-,Chennai Super Kings,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
16,,23/04/2024,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,0,0,,-
17,,27/04/2024,1st,-,Rajasthan Royals,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
18,,05/05/2024,2nd,-,Kolkata Knight Riders,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
19,,08/05/2024,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,0,0,,-
20,,08/04/2025,1st,-,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,0,0,,-
21,,12/04/2025,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,0,0,,-
