Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,24/04/2013,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
2,,17/04/2014,2nd,-,Delhi Capitals,Sharjah Cricket Stadium,did not bat,-,-,-,,0,0,,-
3,,19/04/2014,2nd,-,Mumbai Indians,Dubai International Cricket Stadium,did not bat,-,-,-,,0,0,,-
4,,24/04/2014,2nd,-,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bat,-,-,-,,0,0,,-
5,1,26/04/2014,1st,11,Rajasthan Royals,Sheikh Zayed Stadium,not out,0*,0,-,,0,0,,-
6,,28/04/2014,1st,-,Punjab Kings,Dubai International Cricket Stadium,did not bat,-,-,-,,0,0,,-
7,,04/05/2014,2nd,-,Sunrisers Hyderabad,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
8,,06/05/2014,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
9,2,09/05/2014,2nd,11,Punjab Kings,M Chinnaswamy Stadium,not out,1*,1,100.00,,1,1,,100.00
10,,11/05/2014,1st,-,Rajasthan Royals,M Chinnaswamy Stadium,did not bat,-,-,-,,1,1,,100.00
11,,13/05/2014,1st,-,Delhi Capitals,M Chinnaswamy Stadium,did not bat,-,-,-,,1,1,,100.00
12,,18/05/2014,2nd,-,Chennai Super Kings,JSCA International Stadium Complex,did not bat,-,-,-,,1,1,,100.00
13,,20/05/2014,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,1,1,,100.00
14,,22/05/2014,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,1,1,,100.00
15,,24/05/2014,1st,-,Chennai Super Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,1,1,,100.00
16,,11/04/2015,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,1,1,,100.00
17,3,13/04/2015,1st,11,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,1*,1,100.00,,2,2,,100.00
18,,19/04/2015,2nd,-,Mumbai Indians,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
19,,22/04/2015,2nd,-,Chennai Super Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
20,,24/04/2015,2nd,-,Rajasthan Royals,Narendra Modi Stadium,did not bat,-,-,-,,2,2,,100.00
21,,29/04/2015,1st,-,Rajasthan Royals,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
22,,02/05/2015,2nd,-,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
23,4,04/05/2015,2nd,11,Chennai Super Kings,MA Chidambaram Stadium,not out,0*,0,-,,2,2,,100.00
24,,06/05/2015,1st,-,Punjab Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
25,,10/05/2015,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,2,2,,100.00
26,,13/05/2015,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,2,2,,100.00
27,,15/05/2015,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,2,2,,100.00
28,,17/05/2015,2nd,-,Delhi Capitals,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
29,,20/05/2015,1st,-,Rajasthan Royals,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
30,,22/05/2015,1st,-,Chennai Super Kings,JSCA International Stadium Complex,did not bat,-,-,-,,2,2,,100.00
31,,12/04/2016,1st,-,Sunrisers Hyderabad,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
32,,17/04/2016,1st,-,Delhi Capitals,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
33,,24/04/2016,1st,-,Gujarat Lions,Saurashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
34,,02/05/2016,1st,-,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
35,,07/05/2016,2nd,-,Rising Pune Supergiant,M Chinnaswamy Stadium,did not bat,-,-,-,,2,2,,100.00
