Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,07/05/2016,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,K L Rahul (c G J Bailey),4.0,2/35,,12.00,8.75,1,17.50
,,,,,A B de Villiers (c N L T C Perera),,,,,,2,
2,10/05/2016,1st,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yuvraj Singh (c S S Tiwary),4.0,6/19,,6.00,6.75,3,6.75
,,,,,K S Williamson (c R Bhatia),,,,,,4,
,,,,,M C Henriques (c R Bhatia),,,,,,5,
,,,,,D J Hooda (st M S Dhoni),,,,,,6,
,,,,,N V Ojha (b),,,,,,7,
,,,,,B Kumar (c S S Tiwary),,,,,,8,
3,14/05/2016,2nd,Kolkata Knight Riders,Eden Gardens,,1.0,0/8,,6.75,6.89,8,7.75
4,17/05/2016,1st,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,S V Samson (st M S Dhoni),4.0,3/21,,7.09,6.38,9,7.55
,,,,,R R Pant (c N L T C Perera),,,,,,10,
,,,,,K K Nair (lbw),,,,,,11,
5,21/05/2016,1st,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,W P Saha (c R Ashwin),4.0,1/32,,8.50,6.76,12,9.58
6,06/04/2017,1st,Mumbai Indians,Maharashtra Cricket Association Stadium,N Rana (c R Bhatia),3.0,1/26,,9.23,7.05,13,10.85
7,11/04/2017,1st,Delhi Capitals,Maharashtra Cricket Association Stadium,S V Samson (b),4.0,1/45,,10.29,7.75,14,13.29
8,12/05/2017,1st,Delhi Capitals,Arun Jaitley Stadium,R R Pant (c D T Christian),4.0,1/29,,11.20,7.68,15,14.33
9,14/05/2017,1st,Punjab Kings,Maharashtra Cricket Association Stadium,I Sharma (c S P D Smith),3.5,2/22,,11.24,7.45,16,13.94
,,,,,M M Sharma (c D T Christian),,,,,,17,
10,16/05/2017,2nd,Mumbai Indians,Wankhede Stadium,,1.0,0/9,,11.59,7.49,17,14.47
11,21/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,R G Sharma (c S N Thakur),4.0,2/32,,11.63,7.55,18,14.63
,,,,,K A Pollard (c M K Tiwary),,,,,,19,
12,28/09/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,H H Pandya (c sub),4.0,1/53,,12.25,8.11,20,16.55
13,03/10/2020,1st,Rajasthan Royals,Sheikh Zayed Stadium,,3.0,0/27,,13.15,8.17,20,17.90
14,06/11/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,M K Pandey (c †A B de Villiers),4.0,1/12,,13.67,7.74,21,17.62
15,12/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,M M Ali (c Sandeep Sharma),4.0,1/43,,14.14,7.97,22,18.77
16,16/04/2023,1st,Gujarat Titans,Narendra Modi Stadium,A Manohar (c D Padikkal),4.0,1/32,,14.57,7.97,23,19.35
17,27/04/2023,2nd,Chennai Super Kings,Sawai Mansingh Stadium,D P Conway (c Sandeep Sharma),3.0,3/22,,13.58,7.94,24,17.96
,,,,,R D Gaikwad (c D Padikkal),,,,,,25,
,,,,,M M Ali (c †S V Samson),,,,,,26,
18,05/05/2023,2nd,Gujarat Titans,Sawai Mansingh Stadium,,3.0,0/40,,14.27,8.20,26,19.50
19,14/05/2023,1st,Royal Challengers Bengaluru,Sawai Mansingh Stadium,M K Lomror (c D C Jurel),4.0,2/25,,14.11,8.08,27,19.00
,,,,,K D Karthik (lbw),,,,,,28,
20,19/05/2023,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,S Dhawan (lbw),4.0,1/26,,14.45,7.99,29,19.24
21,23/03/2025,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,D C Jurel (c Ishan Kishan),4.0,1/48,,14.77,8.21,30,20.20
22,27/03/2025,2nd,Lucknow Super Giants,Rajiv Gandhi International Stadium,A Badoni (c H V Patel),4.0,1/46,,15.06,8.38,31,21.03
