Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,21/09/2021,1st,Rajasthan Royals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
2,25/09/2021,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,did not bowl,,,,,,0,
3,28/09/2021,2nd,Mumbai Indians,Sheikh Zayed Stadium,,3.0,0/18,,,6.00,0,
4,01/10/2021,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,did not bowl,,,,,6.00,0,
5,03/10/2021,1st,Royal Challengers Bengaluru,Sharjah Cricket Stadium,,1.0,0/5,,,5.75,0,
6,07/10/2021,1st,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,5.75,0,
7,29/03/2022,1st,Rajasthan Royals,Maharashtra Cricket Association Stadium,did not bowl,,,,,5.75,0,
8,04/04/2022,1st,Lucknow Super Giants,Dr DY Patil Sports Academy,did not bowl,,,,,5.75,0,
9,09/04/2022,1st,Chennai Super Kings,Dr DY Patil Sports Academy,Moeen Ali (c R A Tripathi),1.0,1/8,,30.00,6.20,1,31.00
10,11/04/2022,1st,Gujarat Titans,Dr DY Patil Sports Academy,,1.0,0/9,,36.00,6.67,1,40.00
11,15/04/2022,1st,Kolkata Knight Riders,Brabourne Stadium,did not bowl,,,,36.00,6.67,1,40.00
12,17/04/2022,1st,Punjab Kings,Dr DY Patil Sports Academy,did not bowl,,,,36.00,6.67,1,40.00
13,23/04/2022,1st,Royal Challengers Bengaluru,Brabourne Stadium,did not bowl,,,,36.00,6.67,1,40.00
14,27/04/2022,2nd,Gujarat Titans,Wankhede Stadium,did not bowl,,,,36.00,6.67,1,40.00
15,01/05/2022,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,,3.0,0/36,,54.00,8.44,1,76.00
16,05/05/2022,1st,Delhi Capitals,Brabourne Stadium,,1.0,0/11,,60.00,8.70,1,87.00
17,08/05/2022,1st,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,60.00,8.70,1,87.00
18,14/05/2022,1st,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,did not bowl,,,,60.00,8.70,1,87.00
19,17/05/2022,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,60.00,8.70,1,87.00
20,22/05/2022,2nd,Punjab Kings,Wankhede Stadium,did not bowl,,,,60.00,8.70,1,87.00
21  (c),07/04/2023,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,2.0,0/14,,72.00,8.42,1,101.00
22  (c),09/04/2023,1st,Punjab Kings,Rajiv Gandhi International Stadium,did not bowl,,,,72.00,8.42,1,101.00
23  (c),14/04/2023,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,72.00,8.42,1,101.00
24  (c),18/04/2023,1st,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,72.00,8.42,1,101.00
25  (c),21/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,,1.0,0/11,,78.00,8.62,1,112.00
26  (c),24/04/2023,1st,Delhi Capitals,Rajiv Gandhi International Stadium,,1.0,0/7,,84.00,8.50,1,119.00
27  (c),29/04/2023,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,84.00,8.50,1,119.00
28  (c),04/05/2023,1st,Kolkata Knight Riders,Rajiv Gandhi International Stadium,N Rana (c & b),3.0,1/24,,51.00,8.41,2,71.50
29  (c),07/05/2023,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,51.00,8.41,2,71.50
30  (c),13/05/2023,2nd,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bowl,,,,51.00,8.41,2,71.50
31  (c),15/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,,1.0,0/13,,54.00,8.67,2,78.00
32  (c),18/05/2023,2nd,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bowl,,,,54.00,8.67,2,78.00
33  (c),21/05/2023,2nd,Mumbai Indians,Wankhede Stadium,,0.1,0/1,,54.50,8.64,2,78.50
34,23/03/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,54.50,8.64,2,78.50
35,27/03/2024,2nd,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,54.50,8.64,2,78.50
36,31/03/2024,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,54.50,8.64,2,78.50
37,05/04/2024,1st,Chennai Super Kings,Rajiv Gandhi International Stadium,did not bowl,,,,54.50,8.64,2,78.50
38,09/04/2024,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,54.50,8.64,2,78.50
39,15/04/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,54.50,8.64,2,78.50
40,20/04/2024,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,54.50,8.64,2,78.50
41,25/04/2024,1st,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bowl,,,,54.50,8.64,2,78.50
42,28/04/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,54.50,8.64,2,78.50
