Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,27/04/2008,2nd,Deccan Chargers,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
2,29/04/2008,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
3,01/05/2009,2nd,Kolkata Knight Riders,Buffalo Park,did not bowl,,,,,,0,
4,03/05/2009,2nd,Royal Challengers Bengaluru,Wanderers Stadium,did not bowl,,,,,,0,
5,08/05/2009,2nd,Delhi Capitals,Buffalo Park,did not bowl,,,,,,0,
6,10/05/2009,2nd,Royal Challengers Bengaluru,St George's Park,did not bowl,,,,,,0,
7,12/05/2009,1st,Punjab Kings,SuperSport Park,L A Pommersbach (b),1.0,1/5,,6.00,5.00,1,5.00
8,14/05/2009,1st,Rajasthan Royals,Kingsmead,did not bowl,,,,6.00,5.00,1,5.00
9,16/05/2009,2nd,Chennai Super Kings,St George's Park,did not bowl,,,,6.00,5.00,1,5.00
10,21/05/2009,2nd,Delhi Capitals,SuperSport Park,did not bowl,,,,6.00,5.00,1,5.00
11,12/04/2011,1st,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
12,17/04/2011,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,6.00,5.00,1,5.00
13,24/04/2011,1st,Kochi Tuskers Kerala,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
14,29/04/2011,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
15,01/05/2011,1st,Pune Warriors,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
16,04/05/2011,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,6.00,5.00,1,5.00
17,09/05/2011,1st,Chennai Super Kings,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
18,11/05/2011,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
19,15/05/2011,2nd,Kochi Tuskers Kerala,Holkar Cricket Stadium,did not bowl,,,,6.00,5.00,1,5.00
20,20/05/2011,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,6.00,5.00,1,5.00
21,06/04/2012,2nd,Punjab Kings,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
22,08/04/2012,2nd,Kolkata Knight Riders,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
23,11/04/2012,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,6.00,5.00,1,5.00
24,13/04/2012,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,6.00,5.00,1,5.00
25,15/04/2012,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,6.00,5.00,1,5.00
26,17/04/2012,1st,Deccan Chargers,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
27,21/04/2012,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,6.00,5.00,1,5.00
28,23/04/2012,1st,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
29,29/04/2012,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,6.00,5.00,1,5.00
30,01/05/2012,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
31,05/05/2012,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,6.00,5.00,1,5.00
32,08/05/2012,1st,Pune Warriors,Maharashtra Cricket Association Stadium,did not bowl,,,,6.00,5.00,1,5.00
33,10/05/2012,2nd,Chennai Super Kings,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
34,13/05/2012,2nd,Pune Warriors,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
35,18/05/2012,2nd,Deccan Chargers,Rajiv Gandhi International Stadium,did not bowl,,,,6.00,5.00,1,5.00
36,20/05/2012,2nd,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
37,06/04/2013,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,6.00,5.00,1,5.00
38,08/04/2013,2nd,Kolkata Knight Riders,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
39,11/04/2013,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,did not bowl,,,,6.00,5.00,1,5.00
40,14/04/2013,1st,Punjab Kings,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
41,17/04/2013,2nd,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,6.00,5.00,1,5.00
42,20/04/2013,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,6.00,5.00,1,5.00
