Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,27/03/2022,2nd,Punjab Kings,Dr DY Patil Sports Academy,L S Livingstone (c Anuj Rawat),3.0,1/38,,18.00,12.67,1,38.00
2,30/03/2022,1st,Kolkata Knight Riders,Dr DY Patil Sports Academy,V R Iyer (c & b),3.5,3/45,,10.25,12.15,2,20.75
,,,,,N Rana (c D J Willey),,,,,,3,
,,,,,U T Yadav (b),,,,,,4,
3,05/04/2022,1st,Rajasthan Royals,Wankhede Stadium,,4.0,0/44,,16.25,11.72,4,31.75
4,09/04/2022,1st,Mumbai Indians,Maharashtra Cricket Association Stadium,Ishan Kishan (c Mohammed Siraj),4.0,1/20,,17.80,9.91,5,29.40
5,12/04/2022,1st,Chennai Super Kings,Dr DY Patil Sports Academy,,4.0,0/58,,22.60,10.88,5,41.00
6,02/04/2023,1st,Mumbai Indians,M Chinnaswamy Stadium,R G Sharma (c †K D Karthik),3.0,1/29,,21.83,10.72,6,39.00
7,06/04/2023,1st,Kolkata Knight Riders,Eden Gardens,,2.0,0/30,,23.83,11.08,6,44.00
8,11/04/2024,2nd,Mumbai Indians,Wankhede Stadium,Ishan Kishan (c V Kohli),3.3,1/55,,23.43,11.67,7,45.57
9,04/04/2025,2nd,Mumbai Indians,BRSABV Ekana Cricket Stadium,W G Jacks (c Ravi Bishnoi),4.0,1/46,,23.50,11.65,8,45.63
10,08/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,Q de Kock (lbw),4.0,2/55,,21.20,11.89,9,42.00
,,,,,V R Iyer (c A K Markram),,,,,,10,
11,12/04/2025,1st,Gujarat Titans,BRSABV Ekana Cricket Stadium,,3.0,0/33,,23.00,11.82,10,45.30
12,14/04/2025,2nd,Chennai Super Kings,BRSABV Ekana Cricket Stadium,,1.0,0/13,,23.60,11.85,10,46.60
13,19/05/2025,2nd,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,,3.0,0/33,,25.40,11.79,10,49.90
14,22/05/2025,2nd,Gujarat Titans,Narendra Modi Stadium,,4.0,0/49,,27.80,11.83,10,54.80
