Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,02/10/2021,1st,Chennai Super Kings,Sheikh Zayed Stadium,,4.0,0/39,,,9.75,0,
2,12/04/2023,1st,Rajasthan Royals,MA Chidambaram Stadium,R Ashwin (c S S B Magala),4.0,2/40,,24.00,9.88,1,39.50
,,,,,D C Jurel (c S Dube),,,,,,2,
3,17/04/2023,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (b),3.0,1/35,,22.00,10.36,3,38.00
4,21/04/2023,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,H C Brook (c R D Gaikwad),3.0,1/17,,21.00,9.36,4,32.75
5,23/04/2023,2nd,Kolkata Knight Riders,Eden Gardens,S P Narine (b),4.0,1/29,,21.60,8.89,5,32.00
6,27/04/2023,1st,Rajasthan Royals,Sawai Mansingh Stadium,,2.0,0/32,,24.00,9.60,5,38.40
7,30/04/2023,2nd,Punjab Kings,MA Chidambaram Stadium,,3.0,0/35,,27.60,9.87,5,45.40
8,04/05/2025,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,P Arya (c M P Yadav),4.0,2/30,,23.14,9.52,6,36.71
,,,,,J P Inglis (c D A Miller),,,,,,7,
9,22/05/2025,2nd,Gujarat Titans,Narendra Modi Stadium,J C Buttler (b),3.1,1/29,,22.63,9.48,8,35.75
10,27/05/2025,2nd,Royal Challengers Bengaluru,BRSABV Ekana Cricket Stadium,P D Salt (c Digvesh Rathi),4.0,1/40,,22.78,9.54,9,36.22
