Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,10/05/2012,1st,Deccan Chargers,Rajiv Gandhi International Stadium,,4.0,0/39,,,9.75,0,
2,17/05/2012,1st,Royal Challengers Bengaluru,Arun Jaitley Stadium,,4.0,0/41,,,10.00,0,
3,19/05/2012,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,S D  Chitnis (c I K Pathan),4.0,1/51,,72.00,10.92,1,131.00
4,25/05/2012,1st,Chennai Super Kings,MA Chidambaram Stadium,,4.0,0/30,,96.00,10.06,1,161.00
5,03/04/2013,2nd,Kolkata Knight Riders,Eden Gardens,,3.0,0/24,,114.00,9.74,1,185.00
6,06/04/2013,1st,Rajasthan Royals,Arun Jaitley Stadium,,3.0,0/31,,132.00,9.82,1,216.00
7,21/04/2013,1st,Mumbai Indians,Arun Jaitley Stadium,,1.0,0/13,,138.00,9.96,1,229.00
8,02/05/2014,1st,Chennai Super Kings,JSCA International Stadium Complex,B B McCullum (c Y K Pathan),2.0,1/25,,75.00,10.16,2,127.00
9,05/05/2014,1st,Rajasthan Royals,Narendra Modi Stadium,,3.0,0/27,,84.00,10.04,2,140.50
10,08/04/2015,1st,Mumbai Indians,Eden Gardens,,3.0,0/21,,93.00,9.74,2,151.00
11,11/04/2015,2nd,Royal Challengers Bengaluru,Eden Gardens,,2.0,0/16,,99.00,9.64,2,159.00
12,18/04/2015,1st,Punjab Kings,Maharashtra Cricket Association Stadium,V Sehwag (c P P Chawla),4.0,2/39,,55.50,9.65,3,89.25
,,,,,N L T C Perera (c M K Pandey),,,,,,4,
13,20/04/2015,1st,Delhi Capitals,Arun Jaitley Stadium,,3.0,0/21,,60.00,9.45,4,94.50
14,22/04/2015,1st,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,S Dhawan (c J Botha),1.0,1/6,,49.20,9.37,5,76.80
15,28/04/2015,1st,Chennai Super Kings,MA Chidambaram Stadium,S K Raina (c †R V Uthappa),4.0,2/26,,38.57,9.11,6,58.57
,,,,,M S Dhoni (c †R V Uthappa),,,,,,7,
16,30/04/2015,1st,Chennai Super Kings,Eden Gardens,D J J Bravo (b),4.0,2/20,,32.67,8.78,8,47.78
,,,,,M M Sharma (c †R V Uthappa),,,,,,9,
17,02/05/2015,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (c S A Yadav),1.4,1/22,,30.40,8.92,10,45.20
18,04/05/2015,2nd,Sunrisers Hyderabad,Eden Gardens,P Kumar (c U T Yadav),2.0,1/10,,28.73,8.77,11,42.00
19,07/05/2015,2nd,Delhi Capitals,Eden Gardens,A D Mathews (b),4.0,1/24,,28.33,8.58,12,40.50
20,09/05/2015,1st,Punjab Kings,Eden Gardens,Gurkeerat Singh (c & b),4.0,1/50,,28.00,8.84,13,41.23
21,14/05/2015,1st,Mumbai Indians,Wankhede Stadium,,4.0,0/37,,29.85,8.86,13,44.08
22,16/05/2015,1st,Rajasthan Royals,Brabourne Stadium,S P D Smith (c M Morkel),4.0,3/32,,25.75,8.81,14,37.81
,,,,,S V Samson (c G Gambhir),,,,,,15,
,,,,,J P Faulkner (c S A Yadav),,,,,,16,
23,10/04/2016,1st,Delhi Capitals,Eden Gardens,Q de Kock (c Y K Pathan),3.0,3/24,,22.63,8.78,17,33.11
