Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,29/03/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
2,03/04/2024,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
3,08/04/2024,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
4,14/04/2024,1st,Lucknow Super Giants,Eden Gardens,did not bowl,,,,,,0,
5,16/04/2024,2nd,Rajasthan Royals,Eden Gardens,did not bowl,,,,,,0,
6,21/04/2024,2nd,Royal Challengers Bengaluru,Eden Gardens,did not bowl,,,,,,0,
7,26/04/2024,2nd,Punjab Kings,Eden Gardens,did not bowl,,,,,,0,
8,29/04/2024,1st,Delhi Capitals,Eden Gardens,did not bowl,,,,,,0,
9,03/05/2024,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
10,05/05/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
11,22/03/2025,2nd,Royal Challengers Bengaluru,Eden Gardens,did not bowl,,,,,,0,
12,26/03/2025,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,,,0,
13,31/03/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
14,03/04/2025,2nd,Sunrisers Hyderabad,Eden Gardens,did not bowl,,,,,,0,
15,08/04/2025,1st,Lucknow Super Giants,Eden Gardens,did not bowl,,,,,,0,
16,15/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
17,21/04/2025,1st,Gujarat Titans,Eden Gardens,did not bowl,,,,,,0,
