Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,20/09/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,,4.0,0/33,,,8.25,0,
2,25/09/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,M Vijay (c K Rabada),4.0,2/21,,24.00,6.75,1,27.00
,,,,,K M Jadhav (lbw),,,,,,2,
3,29/09/2020,1st,Sunrisers Hyderabad,Sheikh Zayed Stadium,,4.0,0/40,,36.00,7.83,2,47.00
4,03/10/2020,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,S P Narine (b),4.0,3/33,,19.20,7.94,3,25.40
,,,,,P J Cummins (c H V Patel),,,,,,4,
,,,,,E J G Morgan (c S O Hetmeyer),,,,,,5,
5,05/10/2020,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,A B de Villiers (c S Dhawan),4.0,2/22,,17.14,7.45,6,21.29
,,,,,Mohammed Siraj (b),,,,,,7,
6,09/10/2020,2nd,Rajasthan Royals,Sharjah Cricket Stadium,S P D Smith (c S O Hetmeyer),4.0,1/25,,18.00,7.25,8,21.75
7,11/10/2020,2nd,Mumbai Indians,Sheikh Zayed Stadium,,4.0,0/28,,21.00,7.21,8,25.25
8,14/10/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,J C Buttler (b),4.0,2/33,,19.20,7.34,9,23.50
,,,,,R V Uthappa (b),,,,,,10,
9,17/10/2020,1st,Chennai Super Kings,Sharjah Cricket Stadium,S R Watson (b),4.0,2/44,,18.00,7.75,11,23.25
,,,,,M S Dhoni (c †A T Carey),,,,,,12,
10,24/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,Shubman Gill (c A R Patel),4.0,2/27,,17.14,7.65,13,21.86
,,,,,R A Tripathi (b),,,,,,14,
11,27/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,W P Saha (c S S Iyer),4.0,1/37,,17.60,7.80,15,22.87
12,31/10/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,Q de Kock (b),2.2,1/25,,17.38,7.94,16,23.00
13,02/11/2020,1st,Royal Challengers Bengaluru,Sheikh Zayed Stadium,D Padikkal (b),4.0,3/33,,15.89,7.97,17,21.11
,,,,,C H Morris (c †R R Pant),,,,,,18,
,,,,,I Udana (c S S Iyer),,,,,,19,
14,05/11/2020,1st,Mumbai Indians,Dubai International Cricket Stadium,S A Yadav (c D R Sams),4.0,1/50,,16.30,8.30,20,22.55
15,08/11/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,,4.0,0/36,,17.50,8.35,20,24.35
