Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,26/04/2019,2nd,Chennai Super Kings,MA Chidambaram Stadium,D R Shorey (c R D Chahar),2.0,1/11,,12.00,5.50,1,11.00
2,02/05/2022,1st,Rajasthan Royals,Wankhede Stadium,K K Nair (c Rinku Singh),4.0,1/28,,18.00,6.50,2,19.50
3,07/05/2022,1st,Lucknow Super Giants,Maharashtra Cricket Association Stadium,,3.0,0/27,,27.00,7.33,2,33.00
4,01/04/2023,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,27.00,7.33,2,33.00
5,20/04/2023,2nd,Delhi Capitals,Arun Jaitley Stadium,P D Salt (c & b),4.0,2/19,,19.50,6.54,3,21.25
,,,,,M K Pandey (c Rinku Singh),,,,,,4,
6,04/05/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,H C Brook (lbw),3.0,1/26,,19.20,6.94,5,22.20
7,11/05/2023,2nd,Rajasthan Royals,Eden Gardens,,1.0,0/20,,20.40,7.71,5,26.20
8,29/03/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,2.0,0/6,,22.80,7.21,5,27.40
9,08/04/2024,2nd,Chennai Super Kings,MA Chidambaram Stadium,,1.4,0/18,,24.80,7.50,5,31.00
10,26/04/2024,2nd,Punjab Kings,Eden Gardens,,2.0,0/36,,27.20,8.43,5,38.20
11,19/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,27.20,8.43,5,38.20
