Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,04/04/2024,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
2,09/04/2024,1st,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
3,13/04/2024,2nd,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
4,18/04/2024,1st,Mumbai Indians,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
5,21/04/2024,2nd,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
6,26/04/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
7,01/05/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
8,05/05/2024,1st,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
9,09/05/2024,1st,Royal Challengers Bengaluru,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
10,15/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,,,0,
11,19/05/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
12,24/03/2025,1st,Lucknow Super Giants,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
13,05/04/2025,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
14,10/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
15,13/04/2025,1st,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,,,0,
16,16/04/2025,2nd,Rajasthan Royals,Arun Jaitley Stadium,did not bowl,,,,,,0,
17,19/04/2025,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
18,22/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
