Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,24/03/2024,2nd,Mumbai Indians,Narendra Modi Stadium,Ishan Kishan (c †W P Saha),3.0,2/27,,9.00,9.00,1,13.50
,,,,,Naman Dhir (lbw),,,,,,2,
2,26/03/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,,3.0,0/30,,18.00,9.50,2,28.50
3,31/03/2024,1st,Sunrisers Hyderabad,Narendra Modi Stadium,M A Agarwal (c D G Nalkande),3.0,1/24,,18.00,9.00,3,27.00
4,04/04/2024,2nd,Punjab Kings,Narendra Modi Stadium,S M Curran (c K S Williamson),4.0,1/41,,19.50,9.38,4,30.50
5,21/04/2024,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,,2.0,0/13,,22.50,9.00,4,33.75
6,24/04/2024,1st,Delhi Capitals,Arun Jaitley Stadium,,4.0,0/33,,28.50,8.84,4,42.00
7,28/04/2024,2nd,Royal Challengers Bengaluru,Narendra Modi Stadium,,2.0,0/18,,31.50,8.86,4,46.50
8,25/03/2025,2nd,Gujarat Titans,Narendra Modi Stadium,,2.0,0/29,,34.50,9.35,4,53.75
9,26/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,34.50,9.35,4,53.75
10,30/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,D Brevis (b),4.0,1/39,,32.40,9.41,5,50.80
11,04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,R R Pant (c Shashank Singh),4.0,2/33,,26.57,9.26,6,41.00
,,,,,D A Miller (c Shashank Singh),,,,,,7,
12,18/05/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,S V Samson (c M Jansen),4.0,2/44,,23.33,9.46,8,36.78
,,,,,S O Hetmeyer (c X C Bartlett),,,,,,9,
13,24/05/2025,2nd,Delhi Capitals,Sawai Mansingh Stadium,,4.0,0/46,,26.00,9.67,9,41.89
14,29/05/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,,1.0,0/10,,26.67,9.68,9,43.00
15,01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,H H Pandya (c †J P Inglis),4.0,2/43,,24.00,9.77,10,39.09
,,,,,Naman Dhir (c M P Stoinis),,,,,,11,
