Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,08/05/2011,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,S E Marsh (b),3.0,2/14,,9.00,4.67,1,7.00
,,,,,D J Hussey (c †R V Uthappa),,,,,,2,
2,10/05/2011,1st,Deccan Chargers,Rajiv Gandhi International Stadium,,3.0,0/24,,18.00,6.33,2,19.00
3,16/05/2011,2nd,Deccan Chargers,Dr DY Patil Sports Academy,,2.0,0/10,,24.00,6.00,2,24.00
4,19/05/2011,2nd,Kolkata Knight Riders,Dr DY Patil Sports Academy,M K Tiwary (b),3.0,1/19,,22.00,6.09,3,22.33
5,06/04/2012,2nd,Mumbai Indians,Wankhede Stadium,,2.0,0/13,,26.00,6.15,3,26.67
6,17/04/2012,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,4.0,0/27,,34.00,6.29,3,35.67
7,19/04/2012,1st,Chennai Super Kings,MA Chidambaram Stadium,,3.0,0/37,,40.00,7.20,3,48.00
8,26/04/2012,1st,Deccan Chargers,Maharashtra Cricket Association Stadium,P A Patel (c M K Pandey),4.0,1/34,,36.00,7.42,4,44.50
9,01/05/2012,1st,Deccan Chargers,Barabati Stadium,S Dhawan (b),4.0,1/22,,33.60,7.14,5,40.00
10,03/05/2012,1st,Mumbai Indians,Maharashtra Cricket Association Stadium,J E C Franklin (c M  Manhas),3.0,2/9,,26.57,6.74,6,29.86
,,,,,A T Rayudu (b),,,,,,7,
11,05/05/2012,1st,Kolkata Knight Riders,Eden Gardens,Y K Pathan (c S P D Smith),4.0,2/26,,23.33,6.71,8,26.11
,,,,,L R Shukla (c S C Ganguly),,,,,,9,
12,08/05/2012,2nd,Rajasthan Royals,Maharashtra Cricket Association Stadium,A M Rahane (c S P D Smith),3.0,1/17,,22.80,6.63,10,25.20
13,11/05/2012,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,,4.0,0/40,,25.20,6.95,10,29.20
14,13/05/2012,1st,Rajasthan Royals,Sawai Mansingh Stadium,,4.0,0/33,,27.60,7.07,10,32.50
15,19/05/2012,1st,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Shakib Al Hasan (b),4.0,1/23,,27.27,6.96,11,31.64
16,05/04/2013,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,G H Vihari (c A B Dinda),4.0,1/17,,27.00,6.76,12,30.42
17,07/04/2013,2nd,Punjab Kings,Maharashtra Cricket Association Stadium,,2.0,0/16,,28.00,6.80,12,31.75
18,11/04/2013,1st,Rajasthan Royals,Maharashtra Cricket Association Stadium,M D K J Perera (lbw),4.0,1/41,,27.69,7.03,13,32.46
19,13/04/2013,1st,Mumbai Indians,Wankhede Stadium,,2.0,0/16,,28.62,7.06,13,33.69
20,15/04/2013,2nd,Chennai Super Kings,MA Chidambaram Stadium,S  Anirudha (lbw),4.0,2/12,,26.40,6.82,14,30.00
,,,,,S K Raina (c T L  Suman),,,,,,15,
21,17/04/2013,1st,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,P A Patel (b),4.0,3/18,,23.33,6.69,16,26.00
,,,,,C L White (b),,,,,,17,
,,,,,G H Vihari (c A J Finch),,,,,,18,
22,21/04/2013,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,A C Gilchrist (c †R V Uthappa),4.0,1/31,,23.37,6.74,19,26.26
23,23/04/2013,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,4.0,0/23,,24.63,6.69,19,27.47
24,28/04/2013,1st,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,,4.0,0/30,,25.89,6.73,19,29.05
25,30/04/2013,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,,4.0,0/24,,27.16,6.70,19,30.32
26,02/05/2013,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,,3.0,0/20,,28.11,6.70,19,31.37
27,05/05/2013,2nd,Rajasthan Royals,Sawai Mansingh Stadium,A M Rahane (c R Sharma),4.0,1/38,,27.90,6.82,20,31.70
28,09/05/2013,1st,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,M S  Bisla (st M  Rawat),4.0,3/25,,25.30,6.79,21,28.65
,,,,,Y K Pathan (c †M  Rawat),,,,,,22,
,,,,,R N ten Doeschate (c K  Upadhyay),,,,,,23,
29,11/05/2013,2nd,Mumbai Indians,Maharashtra Cricket Association Stadium,,2.0,0/12,,25.83,6.78,23,29.17
30,15/05/2013,2nd,Kolkata Knight Riders,JSCA International Stadium Complex,M K Tiwary (c M K Pandey),4.0,1/22,,25.75,6.73,24,28.88
31,19/05/2013,2nd,Delhi Capitals,Maharashtra Cricket Association Stadium,,4.0,0/26,,26.75,6.72,24,29.96
32,18/04/2014,2nd,Rajasthan Royals,Sheikh Zayed Stadium,S V Samson (c S Dhawan),3.3,1/21,,26.52,6.70,25,29.60
33,22/04/2014,1st,Punjab Kings,Sharjah Cricket Stadium,D A Miller (c D A Warner),4.0,3/19,,24.54,6.63,26,27.11
,,,,,G J Bailey (c D A Warner),,,,,,27,
,,,,,M G Johnson (b),,,,,,28,
34,25/04/2014,2nd,Delhi Capitals,Dubai International Cricket Stadium,,4.0,0/40,,25.39,6.74,28,28.54
35,27/04/2014,2nd,Chennai Super Kings,Sharjah Cricket Stadium,D R Smith (c D A Warner),4.0,2/23,,24.50,6.71,29,27.40
,,,,,F du Plessis (c †K L Rahul),,,,,,30,
36,30/04/2014,2nd,Mumbai Indians,Dubai International Cricket Stadium,R G Sharma (b),4.0,2/17,,23.72,6.63,31,26.22
,,,,,Harbhajan Singh (c S Dhawan),,,,,,32,
37,04/05/2014,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,P A Patel (b),4.0,2/16,,23.03,6.55,33,25.15
,,,,,V Kohli (c †N V Ojha),,,,,,34,
38,08/05/2014,2nd,Rajasthan Royals,Narendra Modi Stadium,A M Rahane (c D A Warner),4.0,4/14,,21.24,6.46,35,22.87
,,,,,J P Faulkner (c A J Finch),,,,,,36,
,,,,,R Bhatia (c D A Warner),,,,,,37,
,,,,,K W Richardson (c & b),,,,,,38,
