Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,12/04/2021,1st,Punjab Kings,Wankhede Stadium,M A Agarwal (c †S V Samson),4.0,3/31,,8.00,7.75,1,10.33
,,,,,K L Rahul (c R Tewatia),,,,,,2,
,,,,,J A Richardson (c C H Morris),,,,,,3,
2,15/04/2021,1st,Delhi Capitals,Wankhede Stadium,,4.0,0/33,,16.00,8.00,3,21.33
3,19/04/2021,1st,Chennai Super Kings,Wankhede Stadium,A T Rayudu (c R Parag),4.0,3/36,,12.00,8.33,4,16.67
,,,,,S K Raina (c C H Morris),,,,,,5,
,,,,,M S Dhoni (c J C Buttler),,,,,,6,
4,22/04/2021,2nd,Royal Challengers Bengaluru,Wankhede Stadium,,4.0,0/35,,16.00,8.44,6,22.50
5,24/04/2021,1st,Kolkata Knight Riders,Wankhede Stadium,N Rana (c †S V Samson),4.0,1/31,,17.14,8.30,7,23.71
6,29/04/2021,2nd,Mumbai Indians,Arun Jaitley Stadium,,3.0,0/18,,19.71,8.00,7,26.29
7,02/05/2021,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,,4.0,0/38,,23.14,8.22,7,31.71
8,21/09/2021,2nd,Punjab Kings,Dubai International Cricket Stadium,K L Rahul (c Kartik Tyagi),3.0,1/31,,22.50,8.43,8,31.63
9,25/09/2021,1st,Delhi Capitals,Sheikh Zayed Stadium,P P Shaw (c L S Livingstone),4.0,2/33,,20.40,8.41,9,28.60
,,,,,A R Patel (c D A Miller),,,,,,10,
10,27/09/2021,2nd,Sunrisers Hyderabad,Dubai International Cricket Stadium,J J Roy (c †S V Samson),4.0,1/32,,20.73,8.37,11,28.91
11,29/09/2021,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,3.0,0/18,,22.36,8.20,11,30.55
12,02/10/2021,1st,Chennai Super Kings,Sheikh Zayed Stadium,A T Rayudu (c G D Phillips),4.0,1/31,,22.50,8.16,12,30.58
13,05/10/2021,2nd,Mumbai Indians,Sharjah Cricket Stadium,R G Sharma (c Y B K Jaiswal),3.0,1/36,,22.15,8.40,13,31.00
14,07/10/2021,1st,Kolkata Knight Riders,Sharjah Cricket Stadium,R A Tripathi (b),4.0,1/23,,22.29,8.19,14,30.43
15,28/04/2022,1st,Kolkata Knight Riders,Wankhede Stadium,A J Finch (b),3.0,1/17,,22.00,8.05,15,29.53
16,01/05/2022,1st,Lucknow Super Giants,Wankhede Stadium,,4.0,0/44,,23.60,8.25,15,32.47
17,11/05/2022,1st,Rajasthan Royals,Dr DY Patil Sports Academy,J C Buttler (c S N Thakur),4.0,2/23,,22.24,8.10,16,30.00
,,,,,R Parag (c R Powell),,,,,,17,
18,01/04/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,K L Rahul (c A R Patel),4.0,2/53,,21.16,8.40,18,29.63
,,,,,A Badoni (c †S N Khan),,,,,,19,
19,20/05/2023,1st,Chennai Super Kings,Arun Jaitley Stadium,R D Gaikwad (c R R Rossouw),4.0,1/36,,21.30,8.44,20,29.95
