Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,10/04/2015,2nd,Punjab Kings,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
2,12/04/2015,1st,Delhi Capitals,Arun Jaitley Stadium,,4.0,0/20,,,5.00,0,
3,14/04/2015,1st,Mumbai Indians,Narendra Modi Stadium,,1.0,0/3,,,4.60,0,
4,16/04/2015,1st,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,,2.0,0/11,,,4.86,0,
5,19/04/2015,1st,Chennai Super Kings,Narendra Modi Stadium,,2.0,0/22,,,6.22,0,
6,21/04/2015,2nd,Punjab Kings,Narendra Modi Stadium,D A Miller (c S T R Binny),3.0,1/35,,72.00,7.58,1,91.00
7,24/04/2015,2nd,Royal Challengers Bengaluru,Narendra Modi Stadium,,0.1,0/4,,73.00,7.81,1,95.00
8,29/04/2015,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,73.00,7.81,1,95.00
9,01/05/2015,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,73.00,7.81,1,95.00
10,03/05/2015,2nd,Delhi Capitals,Brabourne Stadium,did not bowl,,,,73.00,7.81,1,95.00
11,07/05/2015,1st,Sunrisers Hyderabad,Brabourne Stadium,,3.0,0/34,,91.00,8.51,1,129.00
12,10/05/2015,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,91.00,8.51,1,129.00
13,16/05/2015,2nd,Kolkata Knight Riders,Brabourne Stadium,did not bowl,,,,91.00,8.51,1,129.00
14,20/05/2015,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,91.00,8.51,1,129.00
15,12/04/2016,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,91.00,8.51,1,129.00
16,16/04/2016,2nd,Kolkata Knight Riders,Rajiv Gandhi International Stadium,did not bowl,,,,91.00,8.51,1,129.00
17,18/04/2016,1st,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,91.00,8.51,1,129.00
18,21/04/2016,1st,Gujarat Lions,Saurashtra Cricket Association Stadium,K D Karthik (c B Kumar),3.0,1/22,,54.50,8.31,2,75.50
19,23/04/2016,1st,Punjab Kings,Rajiv Gandhi International Stadium,,4.0,0/30,,66.50,8.17,2,90.50
20,26/04/2016,2nd,Rising Pune Supergiant,Rajiv Gandhi International Stadium,did not bowl,,,,66.50,8.17,2,90.50
21,30/04/2016,2nd,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bowl,,,,66.50,8.17,2,90.50
22,06/05/2016,1st,Gujarat Lions,Rajiv Gandhi International Stadium,did not bowl,,,,66.50,8.17,2,90.50
23,08/05/2016,2nd,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,66.50,8.17,2,90.50
24,10/05/2016,2nd,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,66.50,8.17,2,90.50
25,12/05/2016,2nd,Delhi Capitals,Rajiv Gandhi International Stadium,,1.0,0/5,,69.50,8.03,2,93.00
26,15/05/2016,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,69.50,8.03,2,93.00
27,20/05/2016,2nd,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,,2.0,0/16,,75.50,8.03,2,101.00
28,22/05/2016,1st,Kolkata Knight Riders,Eden Gardens,C Munro (c †N V Ojha),2.0,2/16,,40.75,8.02,3,54.50
,,,,,G Gambhir (c M C Henriques),,,,,,4,
29,25/05/2016,2nd,Kolkata Knight Riders,Arun Jaitley Stadium,,1.0,0/8,,42.25,8.02,4,56.50
30,27/05/2016,1st,Gujarat Lions,Arun Jaitley Stadium,did not bowl,,,,42.25,8.02,4,56.50
31,29/05/2016,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,42.25,8.02,4,56.50
32,05/04/2017,2nd,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,C H Gayle (c D A Warner),1.0,1/7,,35.00,7.99,5,46.60
