Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,21/09/2020,2nd,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,,,0,
2,24/09/2020,1st,Punjab Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
3,28/09/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,did not bowl,,,,,,0,
4,03/10/2020,1st,Rajasthan Royals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
5,05/10/2020,1st,Delhi Capitals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
6,10/10/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
7,12/10/2020,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bowl,,,,,,0,
8,15/10/2020,2nd,Punjab Kings,Sharjah Cricket Stadium,did not bowl,,,,,,0,
9,17/10/2020,1st,Rajasthan Royals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
10,21/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,,,0,
11,25/10/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
12,28/10/2020,2nd,Mumbai Indians,Sheikh Zayed Stadium,did not bowl,,,,,,0,
13,31/10/2020,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,did not bowl,,,,,,0,
14,02/11/2020,2nd,Delhi Capitals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
15,06/11/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bowl,,,,,,0,
16,14/04/2021,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,,,0,
17,18/04/2021,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
18,22/04/2021,1st,Rajasthan Royals,Wankhede Stadium,did not bowl,,,,,,0,
19,25/04/2021,1st,Chennai Super Kings,Wankhede Stadium,did not bowl,,,,,,0,
20,27/04/2021,2nd,Delhi Capitals,Narendra Modi Stadium,did not bowl,,,,,,0,
21,30/04/2021,1st,Punjab Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
22,20/09/2021,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,,,0,
23,24/09/2021,2nd,Chennai Super Kings,Sharjah Cricket Stadium,did not bowl,,,,,,0,
24,26/09/2021,2nd,Mumbai Indians,Dubai International Cricket Stadium,did not bowl,,,,,,0,
25,29/09/2021,1st,Rajasthan Royals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
26,03/10/2021,2nd,Punjab Kings,Sharjah Cricket Stadium,did not bowl,,,,,,0,
27,06/10/2021,1st,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bowl,,,,,,0,
28,08/10/2021,1st,Delhi Capitals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
29,11/10/2021,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bowl,,,,,,0,
30,29/03/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
31,02/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
32,05/04/2022,2nd,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,,0,
33,10/04/2022,2nd,Lucknow Super Giants,Wankhede Stadium,did not bowl,,,,,,0,
34,14/04/2022,1st,Gujarat Titans,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
35,18/04/2022,2nd,Kolkata Knight Riders,Brabourne Stadium,did not bowl,,,,,,0,
36,22/04/2022,2nd,Delhi Capitals,Wankhede Stadium,did not bowl,,,,,,0,
37,26/04/2022,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
38,30/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
39,02/05/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
40,07/05/2022,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
41,11/05/2022,2nd,Delhi Capitals,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
42,15/05/2022,2nd,Lucknow Super Giants,Brabourne Stadium,did not bowl,,,,,,0,
43,20/05/2022,1st,Chennai Super Kings,Brabourne Stadium,did not bowl,,,,,,0,
44,24/05/2022,2nd,Gujarat Titans,Eden Gardens,did not bowl,,,,,,0,
45,27/05/2022,1st,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,,0,
46,29/05/2022,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
47,02/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
48,05/04/2023,1st,Punjab Kings,Barsapara Cricket Stadium,did not bowl,,,,,,0,
49,12/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
50,16/04/2023,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
51,19/04/2023,1st,Lucknow Super Giants,Sawai Mansingh Stadium,did not bowl,,,,,,0,
52,23/04/2023,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
53,27/04/2023,2nd,Chennai Super Kings,Sawai Mansingh Stadium,did not bowl,,,,,,0,
54,30/04/2023,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
55,05/05/2023,2nd,Gujarat Titans,Sawai Mansingh Stadium,did not bowl,,,,,,0,
56,14/05/2023,1st,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bowl,,,,,,0,
57,19/05/2023,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
58,24/03/2024,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
59,30/03/2024,2nd,Punjab Kings,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
60,02/04/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
61,07/04/2024,2nd,Gujarat Titans,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
62,12/04/2024,2nd,Delhi Capitals,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
63,23/04/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
64,17/05/2024,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
65,22/03/2025,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
66,28/03/2025,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
67,02/04/2025,2nd,Gujarat Titans,M Chinnaswamy Stadium,did not bowl,,,,,,0,
68,07/04/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
69,10/04/2025,2nd,Delhi Capitals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
70,13/04/2025,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
71,20/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
72,24/04/2025,2nd,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
73,27/04/2025,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
74,03/05/2025,2nd,Chennai Super Kings,M Chinnaswamy Stadium,did not bowl,,,,,,0,
