Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,26/03/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
2,01/05/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
3,04/05/2022,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
4,08/05/2022,2nd,Delhi Capitals,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
5,12/05/2022,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
6,15/05/2022,2nd,Gujarat Titans,Wankhede Stadium,did not bowl,,,,,,0,
7,20/05/2022,2nd,Rajasthan Royals,Brabourne Stadium,did not bowl,,,,,,0,
8,31/03/2023,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
9,03/04/2023,2nd,Lucknow Super Giants,MA Chidambaram Stadium,did not bowl,,,,,,0,
10,08/04/2023,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
11,12/04/2023,1st,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,,0,
12,17/04/2023,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
13,21/04/2023,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,,,0,
14,23/04/2023,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
15,27/04/2023,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
16,30/04/2023,2nd,Punjab Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
17,03/05/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
18,06/05/2023,1st,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,,0,
19,10/05/2023,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
20,14/05/2023,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
21,20/05/2023,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
22,23/05/2023,2nd,Gujarat Titans,MA Chidambaram Stadium,did not bowl,,,,,,0,
23,29/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
24,05/04/2025,1st,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
25,08/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
26,11/04/2025,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
