Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,05/04/2012,1st,Kolkata Knight Riders,Eden Gardens,,1.0,0/12,,,12.00,0,
2,07/04/2012,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,S S Tiwary (lbw),2.0,1/10,,18.00,7.33,1,22.00
3,11/05/2013,1st,Pune Warriors,Maharashtra Cricket Association Stadium,,1.0,0/5,,24.00,6.75,1,27.00
4,15/05/2013,2nd,Rajasthan Royals,Wankhede Stadium,did not bowl,,,,24.00,6.75,1,27.00
5,18/05/2013,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,,1.0,0/18,,30.00,9.00,1,45.00
6,18/04/2014,1st,Chennai Super Kings,Sheikh Zayed Stadium,,2.0,0/23,,42.00,9.71,1,68.00
7,20/04/2014,1st,Rajasthan Royals,Sharjah Cricket Stadium,did not bowl,,,,42.00,9.71,1,68.00
8,22/04/2014,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,,1.0,0/10,,48.00,9.75,1,78.00
9,26/04/2014,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,48.00,9.75,1,78.00
10,28/04/2014,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,3.0,0/39,,66.00,10.64,1,117.00
11,03/05/2014,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,66.00,10.64,1,117.00
12,07/05/2014,2nd,Chennai Super Kings,Barabati Stadium,S K Raina (c D A Miller),2.0,1/21,,39.00,10.62,2,69.00
13,09/05/2014,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,1.0,0/24,,42.00,11.57,2,81.00
14,11/05/2014,2nd,Kolkata Knight Riders,Barabati Stadium,,1.0,0/11,,45.00,11.53,2,86.50
15,14/05/2014,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,45.00,11.53,2,86.50
