Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,20/04/2019,2nd,Delhi Capitals,Arun Jaitley Stadium,,2.0,0/24,,,12.00,0,
2,05/05/2019,1st,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,,3.0,0/24,,,9.60,0,
3,04/10/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,,4.0,0/41,,,9.89,0,
4,30/04/2021,2nd,Royal Challengers Bengaluru,Narendra Modi Stadium,V Kohli (b),4.0,3/19,,26.00,8.31,1,36.00
,,,,,G J Maxwell (b),,,,,,2,
,,,,,A B de Villiers (c K L Rahul),,,,,,3,
5,02/05/2021,2nd,Delhi Capitals,Narendra Modi Stadium,P P Shaw (b),3.0,1/19,,24.00,7.94,4,31.75
6,21/09/2021,1st,Rajasthan Royals,Dubai International Cricket Stadium,Y B K Jaiswal (c M A Agarwal),3.0,1/17,,22.80,7.58,5,28.80
7,25/09/2021,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,,4.0,0/25,,27.60,7.35,5,33.80
8,28/09/2021,2nd,Mumbai Indians,Sheikh Zayed Stadium,,1.0,0/11,,28.80,7.50,5,36.00
9,03/10/2021,1st,Royal Challengers Bengaluru,Sharjah Cricket Stadium,,4.0,0/26,,33.60,7.36,5,41.20
10,07/10/2021,1st,Chennai Super Kings,Dubai International Cricket Stadium,,4.0,0/22,,38.40,7.13,5,45.60
11,27/03/2022,1st,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,,3.0,0/38,,42.00,7.60,5,53.20
12,01/04/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,,2.0,0/20,,44.40,7.73,5,57.20
13,13/05/2022,2nd,Royal Challengers Bengaluru,Brabourne Stadium,G J Maxwell (c Arshdeep Singh),4.0,1/33,,41.00,7.78,6,53.17
14,16/05/2022,1st,Delhi Capitals,Dr DY Patil Sports Academy,,3.0,0/29,,44.00,7.91,6,58.00
15,22/05/2022,1st,Sunrisers Hyderabad,Wankhede Stadium,R A Tripathi (c S Dhawan),4.0,3/26,,32.00,7.79,7,41.56
,,,,,Abhishek Sharma (c L S Livingstone),,,,,,8,
,,,,,A K Markram (st J M Sharma),,,,,,9,
16,01/04/2023,2nd,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,,1.0,0/7,,32.67,7.78,9,42.33
17,05/04/2023,2nd,Rajasthan Royals,Barsapara Cricket Stadium,,2.0,0/15,,34.00,7.76,9,44.00
18,09/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,3.1,0/26,,36.11,7.79,9,46.89
19,13/04/2023,2nd,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,H H Pandya (c S M Curran),4.0,1/20,,34.90,7.60,10,44.20
20,15/04/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,K R Mayers (c Harpreet Singh),2.0,1/10,,32.82,7.51,11,41.09
21,20/04/2023,1st,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,V Kohli (c †J M Sharma),3.0,2/31,,29.15,7.65,12,37.15
,,,,,G J Maxwell (c A Taide),,,,,,13,
22,22/04/2023,2nd,Mumbai Indians,Wankhede Stadium,,2.0,0/15,,30.08,7.64,13,38.31
23,30/04/2023,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,30.08,7.64,13,38.31
24,03/05/2023,2nd,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,,2.0,0/21,,31.00,7.73,13,39.92
25,08/05/2023,2nd,Kolkata Knight Riders,Eden Gardens,J J Roy (c Shahrukh Khan),1.0,1/4,,29.21,7.67,14,37.36
26,13/05/2023,2nd,Delhi Capitals,Arun Jaitley Stadium,P D Salt (b),4.0,4/30,,24.06,7.66,15,30.72
,,,,,R R Rossouw (c Sikandar Raza),,,,,,16,
,,,,,D A Warner (lbw),,,,,,17,
,,,,,M K Pandey (b),,,,,,18,
27,17/05/2023,1st,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,,3.0,0/39,,25.06,7.88,18,32.89
28,19/05/2023,2nd,Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,25.06,7.88,18,32.89
29,23/03/2024,1st,Delhi Capitals,Maharaja Yadavindra Singh International Cricket St,R K Bhui (c †J M Sharma),3.0,1/14,,24.68,7.75,19,31.89
30,25/03/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,R M Patidar (b),4.0,2/13,,23.48,7.53,20,29.48
,,,,,G J Maxwell (b),,,,,,21,
31,30/03/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,2.0,0/14,,24.05,7.52,21,30.14
32,04/04/2024,1st,Gujarat Titans,Narendra Modi Stadium,K S Williamson (c J M Bairstow),4.0,1/33,,24.05,7.55,22,30.27
33,09/04/2024,1st,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,,4.0,0/48,,25.14,7.75,22,32.45
34,13/04/2024,2nd,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,,3.0,0/22,,25.95,7.73,22,33.45
35,18/04/2024,1st,Mumbai Indians,Maharaja Yadavindra Singh International Cricket St,,3.0,0/21,,26.77,7.71,22,34.41
36,21/04/2024,2nd,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,,4.0,0/35,,27.86,7.75,22,36.00
37,26/04/2024,1st,Kolkata Knight Riders,Eden Gardens,,2.0,0/21,,28.41,7.80,22,36.95
38,01/05/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,A M Rahane (c R R Rossouw),4.0,2/17,,27.04,7.67,23,34.58
,,,,,S Dube (lbw),,,,,,24,
39,05/05/2024,1st,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,,1.0,0/19,,27.29,7.78,24,35.38
40,15/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,,1.0,0/10,,27.54,7.80,24,35.79
41,19/05/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,H Klaasen (b),3.0,1/36,,27.16,7.91,25,35.80
42,18/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,B Kumar (c X C Bartlett),2.0,2/25,,25.59,7.99,26,34.07
