Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,07/04/2012,2nd,Delhi Capitals,M Chinnaswamy Stadium,,2.0,0/10,,,5.00,0,
2,10/04/2012,1st,Kolkata Knight Riders,M Chinnaswamy Stadium,L R Shukla (c Z Khan),4.0,1/46,,36.00,9.33,1,56.00
3,17/04/2012,1st,Pune Warriors,M Chinnaswamy Stadium,J D Ryder (c M A Agarwal),4.0,1/29,,30.00,8.50,2,42.50
4,20/04/2012,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,D J Hussey (b),4.0,1/44,,28.00,9.21,3,43.00
5,23/04/2012,2nd,Rajasthan Royals,Sawai Mansingh Stadium,B J Hodge (c M A Agarwal),4.0,2/32,,21.60,8.94,4,32.20
,,,,,G B Hogg (c R Vinay Kumar),,,,,,5,
6,25/04/2012,2nd,Chennai Super Kings,M Chinnaswamy Stadium,did not bowl,,,,21.60,8.94,5,32.20
7,28/04/2012,1st,Kolkata Knight Riders,Eden Gardens,,3.0,0/35,,25.20,9.33,5,39.20
8,09/05/2012,1st,Mumbai Indians,Wankhede Stadium,S R Tendulkar (c & b),4.0,2/24,,21.43,8.80,6,31.43
,,,,,A T Rayudu (c M Muralitharan),,,,,,7,
9,11/05/2012,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,A P  Majumdar (c Z Khan),4.0,1/36,,21.75,8.83,8,32.00
10,14/05/2012,2nd,Mumbai Indians,M Chinnaswamy Stadium,D R Smith (c T M Dilshan),4.0,1/25,,22.00,8.52,9,31.22
11,17/05/2012,2nd,Delhi Capitals,Arun Jaitley Stadium,,4.0,0/33,,24.67,8.49,9,34.89
12,20/05/2012,1st,Deccan Chargers,Rajiv Gandhi International Stadium,,4.0,0/26,,27.33,8.29,9,37.78
13,04/05/2014,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,D J G Sammy (c M A Starc),4.0,1/29,,27.00,8.20,10,36.90
14,06/05/2014,1st,Mumbai Indians,Wankhede Stadium,B R Dunk (c Yuvraj Singh),4.0,1/28,,26.73,8.10,11,36.09
15,09/05/2014,1st,Punjab Kings,M Chinnaswamy Stadium,Mandeep Singh (c J A Morkel),3.0,2/56,,24.00,8.71,12,34.85
,,,,,W P Saha (c A B de Villiers),,,,,,13,
16,11/04/2015,1st,Kolkata Knight Riders,Eden Gardens,S A Yadav (c Mandeep Singh),4.0,1/37,,24.00,8.75,14,35.00
17,13/04/2015,2nd,Sunrisers Hyderabad,M Chinnaswamy Stadium,,2.0,0/23,,24.86,8.84,14,36.64
18,22/04/2015,1st,Chennai Super Kings,M Chinnaswamy Stadium,D R Smith (c †K D Karthik),4.0,1/28,,24.80,8.73,15,36.07
19,24/04/2015,1st,Rajasthan Royals,Narendra Modi Stadium,A M Rahane (lbw),4.0,2/23,,23.29,8.55,16,33.18
,,,,,J P Faulkner (c †K D Karthik),,,,,,17,
20,26/04/2015,1st,Delhi Capitals,Arun Jaitley Stadium,K M Jadhav (c M A Starc),3.0,1/14,,23.00,8.38,18,32.11
21,29/04/2015,2nd,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,23.00,8.38,18,32.11
22,02/05/2015,1st,Kolkata Knight Riders,M Chinnaswamy Stadium,,2.0,0/22,,23.67,8.45,18,33.33
23,04/05/2015,1st,Chennai Super Kings,MA Chidambaram Stadium,F du Plessis (b),4.0,2/19,,22.50,8.25,19,30.95
,,,,,S K Raina (lbw),,,,,,20,
24,06/05/2015,2nd,Punjab Kings,M Chinnaswamy Stadium,M Vijay (b),2.0,1/13,,22.00,8.21,21,30.10
25,10/05/2015,2nd,Mumbai Indians,Wankhede Stadium,R G Sharma (c Mandeep Singh),4.0,2/36,,21.13,8.25,22,29.04
,,,,,A T Rayudu (c A B de Villiers),,,,,,23,
26,13/05/2015,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,M Vohra (c Mandeep Singh),2.0,2/12,,19.92,8.19,24,27.20
,,,,,G J Maxwell (c A B de Villiers),,,,,,25,
27,15/05/2015,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,2.0,0/30,,20.40,8.35,25,28.40
28,17/05/2015,1st,Delhi Capitals,M Chinnaswamy Stadium,S S Iyer (c C H Gayle),4.0,2/30,,19.78,8.31,26,27.41
,,,,,K M Jadhav (c †K D Karthik),,,,,,27,
29,20/05/2015,2nd,Rajasthan Royals,Maharashtra Cricket Association Stadium,S V Samson (c †K D Karthik),3.0,2/15,,19.03,8.21,28,26.03
,,,,,K K Nair (c †K D Karthik),,,,,,29,
30,22/05/2015,2nd,Chennai Super Kings,JSCA International Stadium Complex,M S Dhoni (c †K D Karthik),3.5,1/26,,19.17,8.15,30,26.03
31,12/04/2016,2nd,Sunrisers Hyderabad,M Chinnaswamy Stadium,,4.0,0/33,,19.97,8.15,30,27.13
32,17/04/2016,2nd,Delhi Capitals,M Chinnaswamy Stadium,,3.0,0/32,,20.57,8.23,30,28.20
33,20/04/2016,2nd,Mumbai Indians,Barabati Stadium,,2.0,0/20,,20.97,8.26,30,28.87
34,22/04/2016,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,M S Dhoni (c A B de Villiers),4.0,1/46,,21.06,8.38,31,29.42
35,30/04/2016,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,1.0,0/16,,21.26,8.45,31,29.94
36,14/05/2017,2nd,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (c S R Watson),4.0,3/43,,20.09,8.53,32,28.56
,,,,,M N Samuels (b),,,,,,33,
,,,,,R R Pant (b),,,,,,34,
37,21/04/2018,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (c T A Boult),3.0,1/33,,20.03,8.59,35,28.69
38,10/05/2018,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,A D Hales (lbw),4.0,1/32,,20.14,8.57,36,28.78
39,12/05/2018,2nd,Royal Challengers Bengaluru,Arun Jaitley Stadium,S N Khan (c P P Shaw),4.0,1/51,,20.24,8.71,37,29.38
40,18/05/2018,2nd,Chennai Super Kings,Arun Jaitley Stadium,A T Rayudu (c G J Maxwell),4.0,1/23,,20.34,8.62,38,29.21
41,20/05/2018,2nd,Mumbai Indians,Arun Jaitley Stadium,R G Sharma (c T A Boult),2.3,3/28,,19.22,8.66,39,27.76
,,,,,B C J Cutting (c G J Maxwell),,,,,,40,
,,,,,J J Bumrah (c T A Boult),,,,,,41,
42,30/03/2019,1st,Kolkata Knight Riders,Arun Jaitley Stadium,R V Uthappa (lbw),4.0,2/40,,18.88,8.70,42,27.40
,,,,,N Rana (c K Rabada),,,,,,43,
43,01/04/2019,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,4.0,0/37,,19.44,8.72,43,28.26
44,03/10/2020,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,N Rana (c sub),4.0,2/34,,19.11,8.71,44,27.76
,,,,,K D Karthik (c S Dhawan),,,,,,45,
45,05/10/2020,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,4.0,0/43,,19.64,8.77,45,28.71
46,09/10/2020,2nd,Rajasthan Royals,Sharjah Cricket Stadium,S Gopal (c S O Hetmeyer),4.0,1/29,,19.74,8.73,46,28.72
47,11/10/2020,2nd,Mumbai Indians,Sheikh Zayed Stadium,,2.0,0/20,,20.00,8.75,46,29.15
48,31/10/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,,1.0,0/8,,20.13,8.74,46,29.33
49,09/04/2021,1st,Mumbai Indians,MA Chidambaram Stadium,H H Pandya (lbw),4.0,5/27,,18.63,8.69,47,26.98
,,,,,Ishan Kishan (lbw),,,,,,48,
,,,,,K H Pandya (c D T Christian),,,,,,49,
,,,,,K A Pollard (c Washington Sundar),,,,,,50,
,,,,,M Jansen (b),,,,,,51,
50,14/04/2021,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,V Shankar (c V Kohli),4.0,2/25,,18.38,8.63,52,26.43
,,,,,S Nadeem (c Shahbaz Ahmed),,,,,,53,
51,18/04/2021,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,E J G Morgan (c V Kohli),4.0,2/17,,18.15,8.53,54,25.78
,,,,,A D Russell (b),,,,,,55,
52,22/04/2021,1st,Rajasthan Royals,Wankhede Stadium,R Parag (c Y S Chahal),4.0,3/47,,17.62,8.60,56,25.26
,,,,,C H Morris (c Y S Chahal),,,,,,57,
,,,,,C Sakariya (c †A B de Villiers),,,,,,58,
53,25/04/2021,1st,Chennai Super Kings,Wankhede Stadium,S K Raina (c D Padikkal),4.0,3/51,,17.15,8.70,59,24.85
,,,,,F du Plessis (c D T Christian),,,,,,60,
,,,,,A T Rayudu (c K A Jamieson),,,,,,61,
54,27/04/2021,2nd,Delhi Capitals,Narendra Modi Stadium,P P Shaw (c †A B de Villiers),4.0,2/37,,16.98,8.71,62,24.65
