Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,11/04/2016,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
2,27/04/2016,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
3,29/04/2016,1st,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
4,01/05/2016,1st,Punjab Kings,Saurashtra Cricket Association Stadium,did not bowl,,,,,,0,
5,03/05/2016,2nd,Delhi Capitals,Saurashtra Cricket Association Stadium,did not bowl,,,,,,0,
6,14/04/2017,1st,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,did not bowl,,,,,,0,
7,16/04/2017,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
8,18/04/2017,1st,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,did not bowl,,,,,,0,
9,21/04/2017,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
10,27/04/2017,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
11,29/04/2017,2nd,Mumbai Indians,Saurashtra Cricket Association Stadium,did not bowl,,,,,,0,
12,01/05/2017,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
13,04/05/2017,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
14,07/05/2017,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
15,10/05/2017,2nd,Delhi Capitals,Green Park,did not bowl,,,,,,0,
16,13/05/2017,2nd,Sunrisers Hyderabad,Green Park,did not bowl,,,,,,0,
17  (k),07/04/2018,2nd,Chennai Super Kings,Wankhede Stadium,did not bowl,,,,,,0,
18  (k),12/04/2018,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
19  (k),14/04/2018,2nd,Delhi Capitals,Wankhede Stadium,did not bowl,,,,,,0,
20  (k),17/04/2018,2nd,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,,0,
21  (k),22/04/2018,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
22  (k),24/04/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,did not bowl,,,,,,0,
23  (k),28/04/2018,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
24  (k),01/05/2018,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
25  (k),04/05/2018,1st,Punjab Kings,Holkar Cricket Stadium,did not bowl,,,,,,0,
26  (k),06/05/2018,2nd,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
27  (k),09/05/2018,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
28  (k),13/05/2018,2nd,Rajasthan Royals,Wankhede Stadium,did not bowl,,,,,,0,
29  (k),16/05/2018,2nd,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
30  (k),20/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
31,06/04/2019,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
32,10/04/2019,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
33,13/04/2019,2nd,Rajasthan Royals,Wankhede Stadium,did not bowl,,,,,,0,
34,15/04/2019,1st,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,,0,
35,05/05/2019,1st,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
36,07/05/2019,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
37,12/05/2019,2nd,Chennai Super Kings,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
38,28/09/2020,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,,,0,
39,01/10/2020,2nd,Punjab Kings,Sheikh Zayed Stadium,did not bowl,,,,,,0,
40,04/10/2020,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,did not bowl,,,,,,0,
41,06/10/2020,2nd,Rajasthan Royals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
42,11/10/2020,1st,Delhi Capitals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
43,16/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,,,0,
44,18/10/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
45,23/10/2020,1st,Chennai Super Kings,Sharjah Cricket Stadium,did not bowl,,,,,,0,
46,25/10/2020,2nd,Rajasthan Royals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
47,28/10/2020,1st,Royal Challengers Bengaluru,Sheikh Zayed Stadium,did not bowl,,,,,,0,
48,31/10/2020,1st,Delhi Capitals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
49,03/11/2020,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,did not bowl,,,,,,0,
50,05/11/2020,2nd,Delhi Capitals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
51,10/11/2020,1st,Delhi Capitals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
52  (k),09/04/2021,2nd,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
53,13/04/2021,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
54,17/04/2021,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,,,0,
55,20/04/2021,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
56,23/04/2021,2nd,Punjab Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
57,19/09/2021,1st,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
58,23/09/2021,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,,,0,
59,26/09/2021,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,,,0,
60  (k),05/10/2021,1st,Rajasthan Royals,Sharjah Cricket Stadium,did not bowl,,,,,,0,
61  (k),08/10/2021,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bowl,,,,,,0,
62  (k),27/03/2022,2nd,Delhi Capitals,Brabourne Stadium,did not bowl,,,,,,0,
63  (k),02/04/2022,1st,Rajasthan Royals,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
64  (k),06/04/2022,2nd,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
65  (k),09/04/2022,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
66  (k),13/04/2022,1st,Punjab Kings,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
67  (k),16/04/2022,1st,Lucknow Super Giants,Brabourne Stadium,did not bowl,,,,,,0,
68  (k),21/04/2022,2nd,Chennai Super Kings,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
69  (k),24/04/2022,1st,Lucknow Super Giants,Wankhede Stadium,did not bowl,,,,,,0,
70  (k),30/04/2022,1st,Rajasthan Royals,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
71  (k),06/05/2022,2nd,Gujarat Titans,Brabourne Stadium,did not bowl,,,,,,0,
72  (k),09/05/2022,1st,Kolkata Knight Riders,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
73  (k),12/05/2022,1st,Chennai Super Kings,Wankhede Stadium,did not bowl,,,,,,0,
74  (k),17/05/2022,1st,Sunrisers Hyderabad,Wankhede Stadium,did not bowl,,,,,,0,
75  (k),21/05/2022,1st,Delhi Capitals,Wankhede Stadium,did not bowl,,,,,,0,
76  (k),02/04/2023,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
77  (k),08/04/2023,2nd,Chennai Super Kings,Wankhede Stadium,did not bowl,,,,,,0,
