Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,18/04/2008,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,R Dravid (b),3.0,1/7,,18.00,2.33,1,7.00
2,20/04/2008,1st,Deccan Chargers,Eden Gardens,Y Venugopal Rao (c M Kartik),3.0,1/9,,18.00,2.67,2,8.00
3,26/04/2008,2nd,Chennai Super Kings,MA Chidambaram Stadium,,3.0,0/26,,27.00,4.67,2,21.00
4,29/04/2008,2nd,Mumbai Indians,Eden Gardens,S T Jayasuriya (b),3.4,1/33,,25.33,5.92,3,25.00
5,01/05/2008,1st,Rajasthan Royals,Sawai Mansingh Stadium,G C Smith (b),4.0,1/26,,25.00,6.06,4,25.25
6,03/05/2008,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,4.0,0/41,,31.00,6.87,4,35.50
7,08/05/2008,2nd,Royal Challengers Bengaluru,Eden Gardens,S Chanderpaul (c M Kartik),4.0,1/25,,29.60,6.77,5,33.40
8,11/05/2008,2nd,Deccan Chargers,Rajiv Gandhi International Stadium,,3.0,0/27,,33.20,7.01,5,38.80
9,13/05/2008,2nd,Delhi Capitals,Eden Gardens,,3.0,0/18,,36.80,6.91,5,42.40
10,16/05/2008,2nd,Mumbai Indians,Wankhede Stadium,R V Uthappa (c S C Ganguly),2.3,1/29,,33.17,7.27,6,40.17
11,18/05/2008,2nd,Chennai Super Kings,Eden Gardens,,2.0,0/16,,35.17,7.31,6,42.83
12,20/05/2008,2nd,Rajasthan Royals,Eden Gardens,S A  Asnodkar (c †W P Saha),3.0,1/23,,32.71,7.34,7,40.00
13,25/05/2008,1st,Punjab Kings,Eden Gardens,,4.0,0/49,,36.14,7.80,7,47.00
14,19/04/2009,2nd,Deccan Chargers,Newlands,,3.0,0/13,,38.71,7.57,7,48.86
15,21/04/2009,1st,Punjab Kings,Kingsmead,K  Goel (c C H Gayle),4.0,1/24,,36.88,7.44,8,45.75
16,23/04/2009,1st,Rajasthan Royals,Newlands,R J Quiney (c C H Gayle),4.0,2/36,,31.90,7.56,9,40.20
,,,,,R A Jadeja (c Yashpal Singh),,,,,,10,
17,27/04/2009,1st,Mumbai Indians,St George's Park,S Dhawan (c †B B McCullum),4.0,1/29,,31.18,7.54,11,39.18
18,29/04/2009,2nd,Royal Challengers Bengaluru,Kingsmead,J H Kallis (c †M N van Wyk),4.0,2/15,,28.23,7.29,12,34.31
,,,,,R E van der Merwe (c †M N van Wyk),,,,,,13,
19,01/05/2009,1st,Mumbai Indians,Buffalo Park,A M Rahane (c C H Gayle),4.0,1/24,,27.93,7.21,14,33.57
20,03/05/2009,2nd,Punjab Kings,St George's Park,K C Sangakkara (c †M N van Wyk),4.0,2/27,,25.94,7.19,15,31.06
,,,,,Yuvraj Singh (c B J Hodge),,,,,,16,
21,05/05/2009,2nd,Delhi Capitals,Kingsmead,,4.0,0/43,,27.44,7.38,16,33.75
22,10/05/2009,2nd,Delhi Capitals,Wanderers Stadium,D A Warner (c †M N van Wyk),4.0,2/23,,25.72,7.30,17,31.28
,,,,,T M Dilshan (c M C Henriques),,,,,,18,
23,12/05/2009,2nd,Royal Challengers Bengaluru,SuperSport Park,,4.0,0/40,,27.06,7.43,18,33.50
24,16/05/2009,2nd,Deccan Chargers,Wanderers Stadium,,4.0,0/23,,28.39,7.35,18,34.78
25,12/03/2010,2nd,Deccan Chargers,Dr DY Patil Sports Academy,A Symonds (c S C Ganguly),4.0,1/31,,28.16,7.37,19,34.58
26,14/03/2010,1st,Royal Challengers Bengaluru,Eden Gardens,,4.0,0/27,,29.42,7.34,19,36.00
27,16/03/2010,1st,Chennai Super Kings,Eden Gardens,M L Hayden (b),4.0,1/38,,29.15,7.43,20,36.10
28,20/03/2010,1st,Rajasthan Royals,Narendra Modi Stadium,A A  Jhunjhunwala (c S C Ganguly),4.0,2/33,,27.59,7.46,21,34.32
,,,,,P  Dogra (c †W P Saha),,,,,,22,
29,22/03/2010,2nd,Mumbai Indians,Brabourne Stadium,S S Tiwary (c S C Ganguly),4.0,2/44,,26.29,7.60,23,33.29
,,,,,K A Pollard (lbw),,,,,,24,
30,29/03/2010,1st,Delhi Capitals,Arun Jaitley Stadium,K D Karthik (b),1.0,1/17,,25.48,7.69,25,32.64
