Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,04/04/2013,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (lbw),4.0,3/32,,8.00,8.00,1,10.67
,,,,,M A Agarwal (c S R Tendulkar),,,,,,2,
,,,,,K K Nair (lbw),,,,,,3,
2,21/04/2013,2nd,Delhi Capitals,Arun Jaitley Stadium,,3.0,0/38,,14.00,10.00,3,23.33
3,19/04/2014,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,2.0,0/14,,18.00,9.33,3,28.00
4,03/05/2014,1st,Punjab Kings,Wankhede Stadium,,4.0,0/25,,26.00,8.38,3,36.33
5,06/05/2014,2nd,Royal Challengers Bengaluru,Wankhede Stadium,A B de Villiers (b),4.0,2/22,,20.40,7.71,4,26.20
,,,,,H V Patel (b),,,,,,5,
6,10/05/2014,2nd,Chennai Super Kings,Wankhede Stadium,,4.0,0/33,,25.20,7.81,5,32.80
7,12/05/2014,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,4.0,0/24,,30.00,7.52,5,37.60
8,14/05/2014,2nd,Kolkata Knight Riders,Barabati Stadium,,3.0,0/23,,33.60,7.54,5,42.20
9,19/05/2014,2nd,Rajasthan Royals,Narendra Modi Stadium,,3.0,0/23,,37.20,7.55,5,46.80
10,21/05/2014,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,G J Bailey (c A T Rayudu),4.0,2/31,,30.00,7.57,6,37.86
,,,,,B E Hendricks (b),,,,,,7,
11,23/05/2014,2nd,Delhi Capitals,Wankhede Stadium,,4.0,0/36,,33.43,7.72,7,43.00
12,25/05/2014,1st,Rajasthan Royals,Wankhede Stadium,K K Nair (c L M P Simmons),4.0,1/30,,32.25,7.70,8,41.38
13,28/05/2014,2nd,Chennai Super Kings,Brabourne Stadium,,3.4,0/40,,35.00,7.95,8,46.38
14,08/04/2015,2nd,Kolkata Knight Riders,Eden Gardens,G Gambhir (c A T Rayudu),3.0,1/38,,33.11,8.23,9,45.44
15,19/04/2015,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,A B de Villiers (c K A Pollard),4.0,1/39,,32.20,8.35,10,44.80
16,23/04/2015,1st,Delhi Capitals,Arun Jaitley Stadium,Yuvraj Singh (c K A Pollard),4.0,1/55,,31.45,8.72,11,45.73
17,10/05/2015,1st,Royal Challengers Bengaluru,Wankhede Stadium,,4.0,0/52,,33.64,9.00,11,50.45
18,09/04/2016,2nd,Rising Pune Supergiant,Wankhede Stadium,,3.0,0/30,,35.27,9.05,11,53.18
