Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,04/04/2010,2nd,Punjab Kings,Eden Gardens,,2.2,0/32,,,13.71,0,
2,17/04/2010,1st,Rajasthan Royals,Eden Gardens,N V Ojha (c L R Shukla),4.0,3/26,,12.67,9.16,1,19.33
,,,,,Y K Pathan (c S C Ganguly),,,,,,2,
,,,,,A S  Raut (c C H Gayle),,,,,,3,
3,19/04/2010,1st,Mumbai Indians,Eden Gardens,J-P Duminy (b),4.0,1/27,,15.50,8.23,4,21.25
4,11/04/2011,2nd,Deccan Chargers,Eden Gardens,D B  Ravi Teja (c J H Kallis),4.0,2/36,,14.33,8.44,5,20.17
,,,,,D W Steyn (b),,,,,,6,
5,22/04/2011,2nd,Royal Challengers Bengaluru,Eden Gardens,,3.0,0/24,,17.33,8.37,6,24.17
6,28/04/2011,2nd,Delhi Capitals,Arun Jaitley Stadium,V Sehwag (c L Balaji),4.0,1/24,,18.29,7.92,7,24.14
7,03/05/2011,2nd,Deccan Chargers,Rajiv Gandhi International Stadium,did not bowl,,,,18.29,7.92,7,24.14
8,05/05/2011,1st,Kochi Tuskers Kerala,Nehru Stadium (Kochi),B B McCullum (c J H Kallis),4.0,2/25,,16.89,7.66,8,21.56
,,,,,P A Patel (c R Bhatia),,,,,,9,
9,07/05/2011,1st,Chennai Super Kings,Eden Gardens,,1.0,0/11,,17.56,7.78,9,22.78
10,14/05/2011,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,M Kaif (c R Bhatia),2.0,1/30,,17.00,8.29,10,23.50
11,15/04/2012,1st,Punjab Kings,Eden Gardens,,3.0,0/32,,18.80,8.52,10,26.70
12,04/04/2013,2nd,Mumbai Indians,M Chinnaswamy Stadium,,4.0,0/26,,21.20,8.29,10,29.30
13,07/04/2013,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,K C Sangakkara (c †K B A Arun Karthik),4.0,2/24,,19.67,8.06,11,26.42
,,,,,N L T C Perera (c M C Henriques),,,,,,12,
14,09/04/2013,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,,4.0,0/29,,21.67,7.98,12,28.83
15,11/04/2013,1st,Kolkata Knight Riders,M Chinnaswamy Stadium,,4.0,0/34,,23.67,8.03,12,31.67
16,16/04/2013,1st,Delhi Capitals,M Chinnaswamy Stadium,M C  Juneja (c R Vinay Kumar),4.0,2/24,,22.00,7.87,13,28.86
,,,,,B J Rohrer (c V Kohli),,,,,,14,
17,20/04/2013,1st,Rajasthan Royals,M Chinnaswamy Stadium,A M Rahane (c T M Dilshan),4.0,1/32,,22.13,7.88,15,29.07
18,23/04/2013,2nd,Pune Warriors,M Chinnaswamy Stadium,L J Wright (c A B de Villiers),4.0,2/38,,20.94,7.99,16,27.88
,,,,,Yuvraj Singh (c V Kohli),,,,,,17,
19,27/04/2013,1st,Mumbai Indians,Wankhede Stadium,,4.0,0/32,,22.35,7.99,17,29.76
20,29/04/2013,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,3.0,0/30,,23.41,8.08,17,31.53
21,10/05/2013,2nd,Delhi Capitals,Arun Jaitley Stadium,D P M D Jayawardene (b),4.0,5/25,,19.18,7.98,18,25.50
,,,,,V Sehwag (c C A Pujara),,,,,,19,
,,,,,U B T Chand (c R Vinay Kumar),,,,,,20,
,,,,,K M Jadhav (c R Vinay Kumar),,,,,,21,
,,,,,M Morkel (b),,,,,,22,
22,12/05/2013,2nd,Kolkata Knight Riders,JSCA International Stadium Complex,,4.0,0/27,,20.27,7.91,22,26.73
23,14/05/2013,2nd,Punjab Kings,M Chinnaswamy Stadium,Azhar Mahmood (c A B de Villiers),4.0,1/34,,20.43,7.94,23,27.04
24,18/05/2013,2nd,Chennai Super Kings,M Chinnaswamy Stadium,,2.0,0/16,,20.96,7.94,23,27.74
25,19/04/2014,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,R V Uthappa (c L R P L Taylor),4.0,1/25,,21.08,7.86,24,27.63
26,21/04/2014,1st,Chennai Super Kings,Sheikh Zayed Stadium,B B McCullum (c sub),4.0,3/32,,19.63,7.87,25,25.74
,,,,,M S Dhoni (c M A Agarwal),,,,,,26,
,,,,,R A Jadeja (c †K D Karthik),,,,,,27,
27,25/04/2014,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,,4.0,0/43,,20.52,7.99,27,27.33
28,27/04/2014,1st,Mumbai Indians,Sharjah Cricket Stadium,C J Anderson (c Q de Kock),4.0,2/29,,19.93,7.96,28,26.45
,,,,,M E K Hussey (b),,,,,,29,
29,03/05/2014,2nd,Rajasthan Royals,Arun Jaitley Stadium,,3.3,0/36,,20.66,8.04,29,27.69
30,05/05/2014,2nd,Chennai Super Kings,Arun Jaitley Stadium,,3.4,0/47,,21.41,8.21,29,29.31
31,19/05/2014,2nd,Punjab Kings,Arun Jaitley Stadium,,4.0,0/31,,22.24,8.20,29,30.38
32,23/05/2014,1st,Mumbai Indians,Wankhede Stadium,R G Sharma (b),2.0,2/24,,21.19,8.26,30,29.19
,,,,,K A Pollard (c †K D Karthik),,,,,,31,
33,25/05/2014,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,G J Maxwell (c K P Pietersen),2.0,1/3,,20.91,8.14,32,28.38
34,12/04/2015,2nd,Rajasthan Royals,Arun Jaitley Stadium,,3.0,0/30,,21.47,8.19,32,29.31
35,28/04/2016,2nd,Mumbai Indians,Wankhede Stadium,,3.0,0/49,,22.03,8.40,32,30.84
36,16/04/2017,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,K M Jadhav (b),4.0,2/25,,21.44,8.33,33,29.76
,,,,,S Badree (b),,,,,,34,
37,22/04/2017,1st,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,D A Warner (b),4.0,1/41,,21.51,8.39,35,30.09
38,24/04/2017,2nd,Mumbai Indians,Wankhede Stadium,H H Pandya (c B A Stokes),4.0,2/40,,21.00,8.44,36,29.54
,,,,,R G Sharma (c & b),,,,,,37,
39,26/04/2017,2nd,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,R V Uthappa (c R A Tripathi),3.0,1/26,,20.92,8.45,38,29.45
40,29/04/2017,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,T M Head (b),4.0,1/19,,21.00,8.34,39,29.18
41,01/05/2017,1st,Gujarat Lions,Maharashtra Cricket Association Stadium,J P Faulkner (c M K Tiwary),3.5,3/29,,20.05,8.32,40,27.79
,,,,,P J Sangwan (c R A Tripathi),,,,,,41,
,,,,,Ankit Soni (b),,,,,,42,
42,03/05/2017,1st,Kolkata Knight Riders,Eden Gardens,S P Narine (c & b),4.0,2/28,,19.68,8.28,43,27.16
,,,,,C de Grandhomme (c Washington Sundar),,,,,,44,
43,06/05/2017,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yuvraj Singh (c R A Tripathi),4.0,5/30,,18.16,8.26,45,25.00
,,,,,N V Ojha (c B A Stokes),,,,,,46,
,,,,,Bipul Sharma (c B A Stokes),,,,,,47,
,,,,,Rashid Khan (c & b),,,,,,48,
,,,,,B Kumar (c M K Tiwary),,,,,,49,
44,12/05/2017,1st,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (c †M S Dhoni),4.0,2/29,,17.92,8.23,50,24.59
,,,,,Mohammed Shami (c B A Stokes),,,,,,51,
45,14/05/2017,1st,Punjab Kings,Maharashtra Cricket Association Stadium,M J Guptill (c M K Tiwary),3.0,2/12,,17.58,8.15,52,23.89
,,,,,Swapnil Singh (c †M S Dhoni),,,,,,53,
46,16/05/2017,2nd,Mumbai Indians,Wankhede Stadium,K V Sharma (c †M S Dhoni),4.0,1/24,,17.70,8.10,54,23.89
47,21/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,P A Patel (c S N Thakur),4.0,2/19,,17.50,8.01,55,23.38
,,,,,L M P Simmons (c & b),,,,,,56,
48,09/04/2018,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,W P Saha (c B Laughlin),3.0,1/28,,17.51,8.04,57,23.46
49,11/04/2018,2nd,Delhi Capitals,Sawai Mansingh Stadium,R R Pant (c K Gowtham),2.0,1/24,,17.41,8.09,58,23.47
50,15/04/2018,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,3.0,0/35,,17.72,8.15,58,24.07
51,18/04/2018,2nd,Kolkata Knight Riders,Sawai Mansingh Stadium,,3.0,0/34,,18.03,8.20,58,24.66
52,20/04/2018,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,,4.0,0/39,,18.45,8.24,58,25.33
53,22/04/2018,1st,Mumbai Indians,Sawai Mansingh Stadium,S A Yadav (c †J C Buttler),4.0,1/31,,18.54,8.23,59,25.42
54,29/04/2018,1st,Sunrisers Hyderabad,Sawai Mansingh Stadium,M K Pandey (c A M Rahane),3.0,1/33,,18.53,8.27,60,25.55
55,02/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (c R A Tripathi),4.0,3/46,,18.03,8.34,61,25.06
,,,,,R R Pant (c B A Stokes),,,,,,62,
,,,,,V Shankar (c R A Tripathi),,,,,,63,
56,06/05/2018,2nd,Punjab Kings,Holkar Cricket Stadium,,4.0,0/26,,18.41,8.30,63,25.48
57,08/05/2018,2nd,Punjab Kings,Sawai Mansingh Stadium,M P Stoinis (c K Gowtham),4.0,1/36,,18.50,8.32,64,25.64
58,11/05/2018,1st,Chennai Super Kings,Sawai Mansingh Stadium,,4.0,0/34,,18.88,8.32,64,26.17
59,13/05/2018,1st,Mumbai Indians,Wankhede Stadium,K H Pandya (c K Gowtham),4.0,1/37,,18.95,8.34,65,26.34
60,15/05/2018,2nd,Kolkata Knight Riders,Eden Gardens,,3.0,0/23,,19.23,8.33,65,26.69
61,19/05/2018,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,T G Southee (c K Gowtham),3.2,2/27,,18.96,8.32,66,26.30
,,,,,Mohammed Siraj (c K Gowtham),,,,,,67,
62,23/05/2018,1st,Kolkata Knight Riders,Eden Gardens,,2.0,0/33,,19.13,8.40,67,26.79
63,25/03/2019,1st,Punjab Kings,Sawai Mansingh Stadium,,3.0,0/44,,19.40,8.49,67,27.45
64,29/03/2019,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,K S Williamson (c R A Tripathi),4.0,1/27,,19.47,8.46,68,27.44
65,31/03/2019,1st,Chennai Super Kings,MA Chidambaram Stadium,S K Raina (b),4.0,1/54,,19.54,8.55,69,27.83
66,11/04/2019,2nd,Chennai Super Kings,Sawai Mansingh Stadium,F du Plessis (c R A Tripathi),3.0,1/23,,19.51,8.53,70,27.76
67,13/04/2019,1st,Mumbai Indians,Wankhede Stadium,Ishan Kishan (c J C Buttler),4.0,1/36,,19.58,8.54,71,27.87
68,16/04/2019,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,K L Rahul (c J C Archer),4.0,1/48,,19.64,8.60,72,28.15
69,20/04/2019,1st,Mumbai Indians,Sawai Mansingh Stadium,K A Pollard (b),4.0,1/46,,19.70,8.65,73,28.40
70,22/04/2019,2nd,Delhi Capitals,Sawai Mansingh Stadium,,3.2,0/36,,19.97,8.68,73,28.89
71,25/04/2019,1st,Kolkata Knight Riders,Eden Gardens,C R Brathwaite (c A M Rahane),4.0,1/50,,20.03,8.74,74,29.18
72,27/04/2019,1st,Sunrisers Hyderabad,Sawai Mansingh Stadium,D J Hooda (c & b),4.0,2/26,,19.82,8.71,75,28.75
,,,,,Shakib Al Hasan (c S Gopal),,,,,,76,
73,30/04/2019,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,P A Patel (c O R Thomas),1.0,1/9,,19.64,8.71,77,28.49
74,22/09/2020,2nd,Chennai Super Kings,Sharjah Cricket Stadium,,4.0,0/44,,19.95,8.74,77,29.06
75,27/09/2020,1st,Punjab Kings,Sharjah Cricket Stadium,,3.0,0/30,,20.18,8.76,77,29.45
76,30/09/2020,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,S P Narine (b),2.0,1/14,,20.08,8.74,78,29.26
77,03/10/2020,2nd,Royal Challengers Bengaluru,Sheikh Zayed Stadium,,3.0,0/31,,20.31,8.76,78,29.65
78,11/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,M K Pandey (c R Tewatia),4.0,1/31,,20.35,8.75,79,29.67
