Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,22/04/2018,1st,Mumbai Indians,Sawai Mansingh Stadium,K H Pandya (c H Klaasen),4.0,3/22,,8.00,5.50,1,7.33
,,,,,H H Pandya (b),,,,,,2,
,,,,,M J McClenaghan (b),,,,,,3,
2,29/04/2018,1st,Sunrisers Hyderabad,Sawai Mansingh Stadium,Shakib Al Hasan (b),4.0,3/26,,8.00,6.00,4,8.00
,,,,,Y K Pathan (c D S Kulkarni),,,,,,5,
,,,,,Rashid Khan (c B A Stokes),,,,,,6,
3,02/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,G J Maxwell (lbw),3.1,1/31,,9.57,7.07,7,11.29
4,06/05/2018,2nd,Punjab Kings,Holkar Cricket Stadium,C H Gayle (c S V Samson),3.4,1/43,,11.13,8.22,8,15.25
5,08/05/2018,2nd,Punjab Kings,Sawai Mansingh Stadium,K K Nair (c J D Unadkat),4.0,1/32,,12.56,8.18,9,17.11
6,11/05/2018,1st,Chennai Super Kings,Sawai Mansingh Stadium,A T Rayudu (b),4.0,2/42,,12.45,8.58,10,17.82
,,,,,S R Watson (c †J C Buttler),,,,,,11,
7,13/05/2018,1st,Mumbai Indians,Wankhede Stadium,S A Yadav (c J D Unadkat),4.0,2/16,,12.38,7.90,12,16.31
,,,,,R G Sharma (c J D Unadkat),,,,,,13,
8,15/05/2018,2nd,Kolkata Knight Riders,Eden Gardens,,4.0,0/43,,14.23,8.27,13,19.62
9,19/05/2018,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,,4.0,0/37,,16.08,8.38,13,22.46
10,23/05/2018,1st,Kolkata Knight Riders,Eden Gardens,N Rana (c J D Unadkat),4.0,2/33,,15.53,8.37,14,21.67
,,,,,Shubman Gill (c †H Klaasen),,,,,,15,
11,25/03/2019,1st,Punjab Kings,Sawai Mansingh Stadium,,4.0,0/17,,17.13,7.98,15,22.80
12,29/03/2019,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,4.0,0/42,,18.73,8.20,15,25.60
