Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1  (k),15/04/2025,2nd,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
2  (k),18/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
3  (k),20/04/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
4  (k),26/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
5  (k),30/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
6  (k),04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
7  (k),24/05/2025,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
8  (k),26/05/2025,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,,,0,
9  (k),29/05/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
10  (k),01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,,0,
