Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,22/04/2017,1st,Mumbai Indians,Wankhede Stadium,P A Patel (b),4.0,1/30,,24.00,7.50,1,30.00
2,28/04/2017,2nd,Kolkata Knight Riders,Eden Gardens,S P Narine (b),3.2,2/20,,14.67,6.82,2,16.67
,,,,,M K Pandey (b),,,,,,3,
3,30/04/2017,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,2.0,0/18,,18.67,7.29,3,22.67
4,02/05/2017,1st,Sunrisers Hyderabad,Arun Jaitley Stadium,,4.0,0/59,,26.67,9.53,3,42.33
5,04/05/2017,1st,Gujarat Lions,Arun Jaitley Stadium,B B McCullum (c †R R Pant),4.0,2/28,,20.80,8.94,4,31.00
,,,,,A J Finch (c †R R Pant),,,,,,5,
6,06/05/2017,1st,Mumbai Indians,Barabati Stadium,R G Sharma (c A Mishra),4.0,1/33,,21.33,8.81,6,31.33
7,24/03/2019,2nd,Mumbai Indians,Wankhede Stadium,B C J Cutting (c †R R Pant),4.0,2/23,,19.00,8.33,7,26.38
,,,,,Yuvraj Singh (c R Tewatia),,,,,,8,
8,26/03/2019,2nd,Chennai Super Kings,Arun Jaitley Stadium,K M Jadhav (c †R R Pant),3.4,1/26,,19.33,8.17,9,26.33
9,30/03/2019,1st,Kolkata Knight Riders,Arun Jaitley Stadium,C A Lynn (c †R R Pant),4.0,1/41,,19.80,8.42,10,27.80
10,01/04/2019,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,G C Viljoen (c C H Morris),4.0,2/32,,18.50,8.38,11,25.83
,,,,,M Ashwin (c Avesh Khan),,,,,,12,
11,04/04/2019,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,D A Warner (c C H Morris),3.3,1/32,,18.69,8.44,13,26.31
12,07/04/2019,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,A B de Villiers (c C A Ingram),4.0,4/21,,15.71,8.16,14,21.35
,,,,,V Kohli (c S S Iyer),,,,,,15,
,,,,,A D Nath (c †R R Pant),,,,,,16,
,,,,,P Negi (c †R R Pant),,,,,,17,
13,12/04/2019,1st,Kolkata Knight Riders,Eden Gardens,R V Uthappa (c †R R Pant),4.0,2/42,,15.32,8.35,18,21.32
,,,,,K D Karthik (c S Dhawan),,,,,,19,
14,14/04/2019,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,D A Warner (c S S Iyer),3.5,4/22,,13.65,8.16,20,18.57
,,,,,V Shankar (c †R R Pant),,,,,,21,
,,,,,B Kumar (c & b),,,,,,22,
,,,,,K K Ahmed (b),,,,,,23,
15,18/04/2019,1st,Mumbai Indians,Arun Jaitley Stadium,S A Yadav (c †R R Pant),4.0,2/38,,13.52,8.25,24,18.60
,,,,,H H Pandya (c †R R Pant),,,,,,25,
16,20/04/2019,1st,Punjab Kings,Arun Jaitley Stadium,M A Agarwal (c S E Rutherford),4.0,2/23,,13.41,8.09,26,18.07
,,,,,R Ashwin (c S S Iyer),,,,,,27,
17,22/04/2019,1st,Rajasthan Royals,Sawai Mansingh Stadium,R Parag (b),4.0,2/37,,13.31,8.16,28,18.10
,,,,,S T R Binny (b),,,,,,29,
18,28/04/2019,2nd,Royal Challengers Bengaluru,Arun Jaitley Stadium,P A Patel (c A R Patel),4.0,2/31,,13.23,8.14,30,17.94
,,,,,Washington Sundar (c S S Iyer),,,,,,31,
19,20/09/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,G J Maxwell (c S S Iyer),4.0,2/28,,13.15,8.07,32,17.70
,,,,,K Gowtham (c †R R Pant),,,,,,33,
20,25/09/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,F du Plessis (c †R R Pant),4.0,3/26,,12.72,7.99,34,16.94
,,,,,M S Dhoni (c †R R Pant),,,,,,35,
,,,,,R A Jadeja (c A Mishra),,,,,,36,
