Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,22/04/2009,1st,Deccan Chargers,Newlands,did not bowl,,,,,,0,
2,14/04/2013,1st,Kolkata Knight Riders,Eden Gardens,M S  Bisla (c G H Vihari),2.0,1/13,,12.00,6.50,1,13.00
3,17/04/2013,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,T L  Suman (lbw),3.0,1/13,,15.00,5.20,2,13.00
4,19/04/2013,1st,Punjab Kings,Rajiv Gandhi International Stadium,A C Gilchrist (c I Sharma),3.0,2/19,,12.00,5.63,3,11.25
,,,,,P C  Valthaty (c N L T C Perera),,,,,,4,
5,25/04/2013,2nd,Chennai Super Kings,MA Chidambaram Stadium,,4.0,0/8,,18.00,4.42,4,13.25
6,27/04/2013,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,1.5,0/24,,20.75,5.57,4,19.25
7,01/05/2013,1st,Mumbai Indians,Rajiv Gandhi International Stadium,,4.0,0/25,,26.75,5.72,4,25.50
8,04/05/2013,1st,Delhi Capitals,Rajiv Gandhi International Stadium,K M Jadhav (c & b),2.0,1/9,,23.80,5.60,5,22.20
9,08/05/2013,1st,Chennai Super Kings,Rajiv Gandhi International Stadium,,2.0,0/19,,26.20,5.95,5,26.00
10,11/05/2013,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,1.0,0/6,,27.40,5.96,5,27.20
11,13/05/2013,2nd,Mumbai Indians,Wankhede Stadium,K D Karthik (c C L White),3.0,2/22,,22.14,6.12,6,22.57
,,,,,A T Rayudu (st P A Patel),,,,,,7,
12,17/05/2013,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,A M Rahane (c S Dhawan),4.0,2/33,,19.89,6.40,8,21.22
,,,,,J P Faulkner (c N L T C Perera),,,,,,9,
13,19/05/2013,1st,Kolkata Knight Riders,Rajiv Gandhi International Stadium,E J G Morgan (lbw),3.0,1/15,,19.70,6.27,10,20.60
14,22/05/2013,2nd,Rajasthan Royals,Arun Jaitley Stadium,S R Watson (c D J G Sammy),2.0,1/24,,19.00,6.60,11,20.91
15,18/04/2014,2nd,Rajasthan Royals,Sheikh Zayed Stadium,,2.0,0/8,,20.09,6.46,11,21.64
16,22/04/2014,1st,Punjab Kings,Sharjah Cricket Stadium,,4.0,0/37,,22.27,6.73,11,25.00
17,25/04/2014,2nd,Delhi Capitals,Dubai International Cricket Stadium,Q de Kock (c A J Finch),4.0,1/23,,22.42,6.65,12,24.83
18,27/04/2014,2nd,Chennai Super Kings,Sharjah Cricket Stadium,B B McCullum (b),4.0,1/35,,22.54,6.82,13,25.62
19,30/04/2014,2nd,Mumbai Indians,Dubai International Cricket Stadium,,4.0,0/33,,24.38,6.93,13,28.15
20,04/05/2014,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,C H Gayle (c D J G Sammy),4.0,3/17,,21.31,6.74,14,23.94
,,,,,R R Rossouw (lbw),,,,,,15,
,,,,,Yuvraj Singh (c sub),,,,,,16,
21,08/05/2014,2nd,Rajasthan Royals,Narendra Modi Stadium,S V Samson (b),4.0,1/20,,21.47,6.62,17,23.71
22,10/05/2014,1st,Delhi Capitals,Arun Jaitley Stadium,,3.0,0/29,,22.53,6.77,17,25.41
