Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,16/04/2016,2nd,Gujarat Lions,Wankhede Stadium,K D Karthik (c Harbhajan Singh),4.0,1/20,,24.00,5.00,1,20.00
2,18/04/2016,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,5.00,1,20.00
3,20/04/2016,1st,Royal Challengers Bengaluru,Barabati Stadium,V Kohli (c T G Southee),4.0,2/27,,16.00,5.88,2,15.67
,,,,,A B de Villiers (st P A Patel),,,,,,3,
4,23/04/2016,1st,Delhi Capitals,Arun Jaitley Stadium,,4.0,0/25,,24.00,6.00,3,24.00
5,25/04/2016,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,2.0,0/20,,28.00,6.57,3,30.67
6,28/04/2016,1st,Kolkata Knight Riders,Wankhede Stadium,,2.0,0/21,,32.00,7.06,3,37.67
7,01/05/2016,1st,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,,2.0,0/28,,36.00,7.83,3,47.00
8,08/05/2016,1st,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,,1.0,0/5,,38.00,7.68,3,48.67
9,11/05/2016,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,A B de Villiers (c A T Rayudu),4.0,1/15,,34.50,7.00,4,40.25
10,13/05/2016,2nd,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,,4.0,0/32,,40.50,7.15,4,48.25
11,15/05/2016,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,Q de Kock (c †J C Buttler),2.1,2/15,,29.17,7.13,5,34.67
,,,,,Z Khan (b),,,,,,6,
12,21/05/2016,2nd,Gujarat Lions,Green Park,,2.0,0/28,,31.17,7.57,6,39.33
13,06/04/2017,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,,2.0,0/21,,33.17,7.75,6,42.83
14,09/04/2017,1st,Kolkata Knight Riders,Wankhede Stadium,G Gambhir (c M J McClenaghan),4.0,3/24,,24.78,7.56,7,31.22
,,,,,R V Uthappa (c H H Pandya),,,,,,8,
,,,,,Y K Pathan (c H H Pandya),,,,,,9,
15,12/04/2017,1st,Sunrisers Hyderabad,Wankhede Stadium,,1.0,0/12,,25.44,7.68,9,32.56
16,14/04/2017,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,A B de Villiers (c R G Sharma),4.0,1/21,,25.30,7.45,10,31.40
17,16/04/2017,1st,Gujarat Lions,Wankhede Stadium,,3.0,0/18,,27.10,7.35,10,33.20
18,20/04/2017,1st,Punjab Kings,Holkar Cricket Stadium,W P Saha (b),4.0,1/29,,26.82,7.34,11,32.82
19,22/04/2017,2nd,Delhi Capitals,Wankhede Stadium,,1.0,0/8,,27.36,7.36,11,33.55
20,29/04/2017,1st,Gujarat Lions,Saurashtra Cricket Association Stadium,K D Karthik (st P A Patel),4.0,3/14,,23.21,7.07,12,27.36
,,,,,R A Jadeja (c & b),,,,,,13,
,,,,,I K Pathan (c H H Pandya),,,,,,14,
21,01/05/2017,1st,Royal Challengers Bengaluru,Wankhede Stadium,T M Head (c H H Pandya),4.0,2/34,,21.81,7.17,15,26.06
,,,,,A B de Villiers (c J J Bumrah),,,,,,16,
