Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,10/04/2022,2nd,Lucknow Super Giants,Wankhede Stadium,D J Hooda (b),4.0,1/35,,24.00,8.75,1,35.00
2,14/04/2022,1st,Gujarat Titans,Dr DY Patil Sports Academy,V Shankar (c †S V Samson),4.0,1/51,,24.00,10.75,2,43.00
3,26/04/2022,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,F du Plessis (c J C Buttler),3.3,4/20,,11.50,9.22,3,17.67
,,,,,G J Maxwell (c D Padikkal),,,,,,4,
,,,,,P W H de Silva (c & b),,,,,,5,
,,,,,H V Patel (c R Parag),,,,,,6,
4,30/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,K A Pollard (c D J Mitchell),3.2,1/29,,12.71,9.10,7,19.29
5,02/05/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,A J Finch (b),3.1,1/28,,13.50,9.06,8,20.38
6,07/05/2022,1st,Punjab Kings,Wankhede Stadium,,4.0,0/42,,16.50,9.32,8,25.63
7,11/05/2022,2nd,Delhi Capitals,Dr DY Patil Sports Academy,,3.1,0/32,,18.88,9.42,8,29.63
8,12/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,,2.0,0/8,,20.38,9.02,8,30.63
9,30/04/2023,2nd,Mumbai Indians,Wankhede Stadium,,1.0,0/20,,21.13,9.41,8,33.13
10,10/04/2024,2nd,Gujarat Titans,Sawai Mansingh Stadium,Sai Sudharsan (lbw),4.0,3/41,,17.55,9.51,9,27.82
,,,,,M S Wade (b),,,,,,10,
,,,,,A Manohar (b),,,,,,11,
11,13/04/2024,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,Shashank Singh (c D C Jurel),4.0,1/35,,18.08,9.43,12,28.42
12,16/04/2024,1st,Kolkata Knight Riders,Eden Gardens,Angkrish Raghuvanshi (c R Ashwin),4.0,2/46,,17.21,9.63,13,27.64
,,,,,V R Iyer (c D C Jurel),,,,,,14,
