Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,30/04/2022,1st,Rajasthan Royals,Dr DY Patil Sports Academy,S V Samson (c T H David),4.0,1/19,,24.00,4.75,1,19.00
2,06/05/2022,2nd,Gujarat Titans,Brabourne Stadium,,3.0,0/29,,42.00,6.86,1,48.00
3,09/05/2022,1st,Kolkata Knight Riders,Dr DY Patil Sports Academy,V R Iyer (c D R Sams),3.0,2/32,,20.00,8.00,2,26.67
,,,,,A M Rahane (b),,,,,,3,
4,12/05/2022,1st,Chennai Super Kings,Wankhede Stadium,D J J Bravo (c Tilak Varma),3.0,2/22,,15.60,7.85,4,20.40
,,,,,Simarjeet Singh (lbw),,,,,,5,
5,08/04/2023,2nd,Chennai Super Kings,Wankhede Stadium,S Dube (b),4.0,1/24,,17.00,7.41,6,21.00
6,25/04/2023,1st,Gujarat Titans,Narendra Modi Stadium,Shubman Gill (c S A Yadav),4.0,1/39,,18.00,7.86,7,23.57
7,30/04/2023,1st,Rajasthan Royals,Wankhede Stadium,,2.0,0/14,,19.71,7.78,7,25.57
8,03/05/2023,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,3.0,0/24,,22.29,7.81,7,29.00
9,09/05/2023,1st,Royal Challengers Bengaluru,Wankhede Stadium,M K Lomror (b),4.0,1/35,,22.50,7.93,8,29.75
10,12/05/2023,2nd,Gujarat Titans,Wankhede Stadium,A Manohar (b),3.0,2/37,,19.80,8.33,9,27.50
,,,,,Noor Ahmad (b),,,,,,10,
11,21/05/2023,1st,Sunrisers Hyderabad,Wankhede Stadium,,4.0,0/39,,22.20,8.49,10,31.40
12,26/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,,2.0,0/15,,23.40,8.44,10,32.90
13,30/03/2025,2nd,Chennai Super Kings,Barsapara Cricket Stadium,,1.0,0/10,,24.00,8.48,10,33.90
14,05/04/2025,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,Prabhsimran Singh (c P W H de Silva),2.0,1/21,,22.91,8.57,11,32.73
15,13/04/2025,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,P D Salt (c Y B K Jaiswal),3.0,1/25,,22.50,8.56,12,32.08
