Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,14/04/2017,2nd,Gujarat Lions,Saurashtra Cricket Association Stadium,,4.0,0/44,,,11.00,0,
2,29/04/2017,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,A B de Villiers (c M K Tiwary),4.0,2/7,,24.00,6.38,1,25.50
,,,,,S T R Binny (c Washington Sundar),,,,,,2,
3,16/05/2017,2nd,Mumbai Indians,Wankhede Stadium,H H Pandya (c D T Christian),3.0,1/21,,22.00,6.55,3,24.00
4,21/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,,2.0,0/21,,26.00,7.15,3,31.00
5,24/03/2019,1st,Sunrisers Hyderabad,Eden Gardens,,4.0,0/34,,34.00,7.47,3,42.33
6,27/03/2019,2nd,Punjab Kings,Eden Gardens,K L Rahul (c Kuldeep Yadav),4.0,1/42,,31.50,8.05,4,42.25
7,30/03/2019,2nd,Delhi Capitals,Arun Jaitley Stadium,P P Shaw (c †K D Karthik),4.0,1/38,,30.00,8.28,5,41.40
8,05/04/2019,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,2.0,0/32,,32.40,8.85,5,47.80
9,12/04/2019,2nd,Delhi Capitals,Eden Gardens,,3.0,0/37,,36.00,9.20,5,55.20
10,18/10/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,K S Williamson (c N Rana),4.0,3/15,,25.50,8.56,6,36.38
,,,,,P K Garg (b),,,,,,7,
,,,,,M K Pandey (b),,,,,,8,
11,21/10/2020,2nd,Royal Challengers Bengaluru,Sheikh Zayed Stadium,A J Finch (c †K D Karthik),4.0,1/17,,25.33,8.11,9,34.22
12,24/10/2020,2nd,Delhi Capitals,Sheikh Zayed Stadium,T U Deshpande (c E J G Morgan),4.0,1/30,,25.20,8.05,10,33.80
13,26/10/2020,2nd,Punjab Kings,Sharjah Cricket Stadium,C H Gayle (c M Prasidh Krishna),3.5,1/32,,25.00,8.07,11,33.64
14,29/10/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,,4.0,0/54,,27.18,8.51,11,38.55
15,20/09/2021,1st,Royal Challengers Bengaluru,Sheikh Zayed Stadium,D Padikkal (c †K D Karthik),4.0,2/24,,24.85,8.32,12,34.46
,,,,,H V Patel (b),,,,,,13,
16,23/09/2021,1st,Mumbai Indians,Sheikh Zayed Stadium,Ishan Kishan (c A D Russell),4.0,2/27,,23.13,8.21,14,31.67
,,,,,K H Pandya (c V R Iyer),,,,,,15,
17,26/09/2021,2nd,Chennai Super Kings,Sheikh Zayed Stadium,Moeen Ali (c V R Iyer),4.0,1/33,,23.19,8.22,16,31.75
18,28/09/2021,1st,Delhi Capitals,Sharjah Cricket Stadium,S Dhawan (c V R Iyer),2.0,2/10,,21.28,8.11,17,28.78
,,,,,S P D Smith (b),,,,,,18,
19,07/10/2021,2nd,Rajasthan Royals,Sharjah Cricket Stadium,L S Livingstone (c R A Tripathi),4.0,3/18,,19.38,7.90,19,25.52
,,,,,Anuj Rawat (lbw),,,,,,20,
,,,,,J D Unadkat (c Shakib Al Hasan),,,,,,21,
20,11/10/2021,1st,Royal Challengers Bengaluru,Sharjah Cricket Stadium,D Padikkal (b),4.0,2/30,,18.74,7.88,22,24.61
,,,,,Shahbaz Ahmed (c Shivam Mavi),,,,,,23,
21,13/10/2021,1st,Delhi Capitals,Sharjah Cricket Stadium,R R Pant (c R A Tripathi),4.0,1/26,,18.96,7.81,24,24.67
22,15/10/2021,1st,Chennai Super Kings,Dubai International Cricket Stadium,,4.0,0/56,,19.96,8.12,24,27.00
23,28/03/2022,1st,Lucknow Super Giants,Wankhede Stadium,,4.0,0/24,,20.96,8.02,24,28.00
