Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,30/04/2018,2nd,Delhi Capitals,Maharashtra Cricket Association Stadium,R R Pant (c R A Jadeja),4.0,1/26,,24.00,6.50,1,26.00
2,03/05/2018,2nd,Kolkata Knight Riders,Eden Gardens,C A Lynn (c S R Watson),3.0,1/36,,21.00,8.86,2,31.00
3,05/05/2018,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,B B McCullum (c S N Thakur),4.0,1/24,,22.00,7.82,3,28.67
4,18/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (b),3.0,2/14,,16.80,7.14,4,20.00
,,,,,R R Pant (c D J J Bravo),,,,,,5,
5,20/05/2018,1st,Punjab Kings,Maharashtra Cricket Association Stadium,C H Gayle (c †M S Dhoni),4.0,4/10,,12.00,6.11,6,12.22
,,,,,K L Rahul (b),,,,,,7,
,,,,,R Ashwin (c †M S Dhoni),,,,,,8,
,,,,,A J Tye (c S K Raina),,,,,,9,
6,22/05/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,S P Goswami (c & b),4.0,1/20,,13.20,5.91,10,13.00
7,27/05/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,D J Hooda (c sub),4.0,1/26,,14.18,6.00,11,14.18
8,19/09/2020,1st,Mumbai Indians,Sheikh Zayed Stadium,K H Pandya (c †M S Dhoni),4.0,3/38,,12.86,6.47,12,13.86
,,,,,K A Pollard (c †M S Dhoni),,,,,,13,
,,,,,J L Pattinson (c F du Plessis),,,,,,14,
9,22/09/2020,1st,Rajasthan Royals,Sharjah Cricket Stadium,S V Samson (c D L Chahar),4.0,1/56,,13.60,7.35,15,16.67
10,29/10/2020,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,N Rana (c S M Curran),4.0,2/34,,13.41,7.47,16,16.71
,,,,,E J G Morgan (c R D Gaikwad),,,,,,17,
11,01/11/2020,1st,Punjab Kings,Sheikh Zayed Stadium,M A Agarwal (b),4.0,3/39,,12.60,7.69,18,16.15
,,,,,K L Rahul (b),,,,,,19,
,,,,,J D S Neesham (c R D Gaikwad),,,,,,20,
12,21/04/2021,2nd,Kolkata Knight Riders,Wankhede Stadium,R A Tripathi (c †M S Dhoni),4.0,3/28,,12.00,7.63,21,15.26
,,,,,K D Karthik (lbw),,,,,,22,
,,,,,K L Nagarkoti (c F du Plessis),,,,,,23,
13,28/04/2021,1st,Sunrisers Hyderabad,Arun Jaitley Stadium,D A Warner (c R A Jadeja),4.0,2/35,,12.00,7.72,24,15.44
,,,,,M K Pandey (c F du Plessis),,,,,,25,
14,01/05/2021,2nd,Mumbai Indians,Arun Jaitley Stadium,,4.0,0/62,,12.96,8.30,25,17.92
15,03/05/2025,2nd,Chennai Super Kings,M Chinnaswamy Stadium,S M Curran (c †J M Sharma),4.0,3/30,,12.43,8.24,26,17.07
,,,,,Ayush Mhatre (c K H Pandya),,,,,,27,
,,,,,D Brevis (lbw),,,,,,28,
16,23/05/2025,1st,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,Abhishek Sharma (c P D Salt),4.0,1/51,,12.83,8.53,29,18.24
