Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,29/04/2008,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
2,26/05/2008,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
3,28/05/2008,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
4,29/04/2009,1st,Kolkata Knight Riders,Kingsmead,did not bowl,,,,,,0,
5,19/05/2009,1st,Delhi Capitals,Wanderers Stadium,did not bowl,,,,,,0,
6,21/05/2009,2nd,Deccan Chargers,SuperSport Park,did not bowl,,,,,,0,
7,23/05/2009,1st,Chennai Super Kings,Wanderers Stadium,did not bowl,,,,,,0,
8,24/05/2009,1st,Deccan Chargers,Wanderers Stadium,did not bowl,,,,,,0,
9,14/03/2010,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
10,16/03/2010,1st,Punjab Kings,M Chinnaswamy Stadium,did not bowl,,,,,,0,
11,18/03/2010,1st,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
12,20/03/2010,1st,Mumbai Indians,Barabati Stadium,did not bowl,,,,,,0,
13,23/03/2010,2nd,Chennai Super Kings,M Chinnaswamy Stadium,did not bowl,,,,,,0,
14,25/03/2010,1st,Delhi Capitals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
15,31/03/2010,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
16,02/04/2010,1st,Punjab Kings,Barabati Stadium,did not bowl,,,,,,0,
17,08/04/2010,2nd,Deccan Chargers,M Chinnaswamy Stadium,did not bowl,,,,,,0,
18,12/04/2010,1st,Deccan Chargers,Vidarbha Cricket Association Stadium,did not bowl,,,,,,0,
19,14/04/2010,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
20,17/04/2010,1st,Mumbai Indians,M Chinnaswamy Stadium,did not bowl,,,,,,0,
21,21/04/2010,1st,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
22,25/04/2011,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
23,27/04/2011,2nd,Chennai Super Kings,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
24,29/04/2011,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
25,01/05/2011,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
26,04/05/2011,1st,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
27,08/05/2011,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
28,10/05/2011,1st,Deccan Chargers,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
29,16/05/2011,2nd,Deccan Chargers,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
