Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,11/04/2016,2nd,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,S K Raina (c M G Johnson),2.0,1/27,,12.00,13.50,1,27.00
2,01/05/2016,2nd,Gujarat Lions,Saurashtra Cricket Association Stadium,,4.0,0/23,,36.00,8.33,1,50.00
3,04/05/2016,1st,Kolkata Knight Riders,Eden Gardens,,3.0,0/26,,54.00,8.44,1,76.00
4,07/05/2016,2nd,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Q de Kock (c A R Patel),4.0,3/40,,19.50,8.92,2,29.00
,,,,,S V Samson (c G J Maxwell),,,,,,3,
,,,,,S W Billings (c †W P Saha),,,,,,4,
5,09/05/2016,1st,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,,3.0,0/35,,24.00,9.44,4,37.75
6,13/05/2016,1st,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,N Rana (c †W P Saha),4.0,4/15,,15.00,8.30,5,20.75
,,,,,J C Buttler (c Gurkeerat Singh),,,,,,6,
,,,,,K H Pandya (c A R Patel),,,,,,7,
,,,,,K A Pollard (b),,,,,,8,
7,15/05/2016,2nd,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,,3.0,0/28,,17.25,8.43,8,24.25
8,08/04/2017,1st,Rising Pune Supergiant,Holkar Cricket Stadium,S P D Smith (c M Vohra),3.0,1/28,,17.33,8.54,9,24.67
9,10/04/2017,1st,Royal Challengers Bengaluru,Holkar Cricket Stadium,,3.0,0/28,,19.33,8.62,9,27.78
10,13/04/2017,2nd,Kolkata Knight Riders,Eden Gardens,,1.3,0/14,,20.33,8.66,9,29.33
11,20/04/2017,2nd,Mumbai Indians,Holkar Cricket Stadium,P A Patel (c G J Maxwell),2.0,1/28,,19.50,8.98,10,29.20
12,23/04/2017,2nd,Gujarat Lions,Saurashtra Cricket Association Stadium,,1.0,0/12,,20.10,9.07,10,30.40
13,08/04/2018,1st,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,,1.0,0/7,,20.70,9.01,10,31.10
14,13/04/2018,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,20.70,9.01,10,31.10
15,04/05/2018,2nd,Mumbai Indians,Holkar Cricket Stadium,S A Yadav (c †K L Rahul),3.0,1/37,,20.45,9.28,11,31.64
16,06/05/2018,1st,Rajasthan Royals,Holkar Cricket Stadium,,1.0,0/6,,21.00,9.19,11,32.18
17,08/05/2018,1st,Rajasthan Royals,Sawai Mansingh Stadium,K Gowtham (c M K Tiwary),2.0,1/15,,20.25,9.11,12,30.75
18,14/05/2018,2nd,Royal Challengers Bengaluru,Holkar Cricket Stadium,,1.0,0/12,,20.75,9.18,12,31.75
19,16/05/2018,1st,Mumbai Indians,Wankhede Stadium,K H Pandya (c A S Rajpoot),3.0,1/43,,20.54,9.53,13,32.62
20,02/04/2019,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,3.0,0/28,,21.92,9.52,13,34.77
21,05/04/2019,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,,1.4,0/28,,22.69,9.76,13,36.92
22,07/04/2019,2nd,Delhi Capitals,M Chinnaswamy Stadium,did not bowl,,,,22.69,9.76,13,36.92
23,13/04/2019,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,22.69,9.76,13,36.92
24,15/04/2019,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,22.69,9.76,13,36.92
25,19/04/2019,2nd,Kolkata Knight Riders,Eden Gardens,R V Uthappa (c P Negi),4.0,1/32,,22.79,9.63,14,36.57
26,21/04/2019,2nd,Chennai Super Kings,M Chinnaswamy Stadium,,3.0,0/20,,24.07,9.47,14,38.00
27,24/04/2019,2nd,Punjab Kings,M Chinnaswamy Stadium,M A Agarwal (c Y S Chahal),2.0,1/13,,23.27,9.37,15,36.33
28,28/04/2019,1st,Delhi Capitals,Arun Jaitley Stadium,,3.0,0/24,,24.47,9.30,15,37.93
29,30/04/2019,2nd,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,24.47,9.30,15,37.93
30,20/09/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,M A Agarwal (c S O Hetmeyer),3.0,2/29,,22.65,9.32,16,35.18
,,,,,C J Jordan (c K Rabada),,,,,,17,
31,25/09/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,22.65,9.32,17,35.18
32,29/09/2020,1st,Sunrisers Hyderabad,Sheikh Zayed Stadium,,3.0,0/22,,23.71,9.23,17,36.47
33,03/10/2020,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,R A Tripathi (b),4.0,1/46,,23.72,9.36,18,37.00
34,05/10/2020,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,23.72,9.36,18,37.00
35,09/10/2020,2nd,Rajasthan Royals,Sharjah Cricket Stadium,S V Samson (c S O Hetmeyer),2.0,2/17,,21.95,9.33,19,34.15
,,,,,Y B K Jaiswal (b),,,,,,20,
36,11/10/2020,2nd,Mumbai Indians,Sheikh Zayed Stadium,H H Pandya (c †A T Carey),2.4,1/31,,21.67,9.42,21,34.00
37,14/10/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,did not bowl,,,,21.67,9.42,21,34.00
38,17/10/2020,1st,Chennai Super Kings,Sharjah Cricket Stadium,,1.0,0/10,,21.95,9.42,21,34.48
39,20/10/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,,1.0,0/14,,22.24,9.48,21,35.14
40,24/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,N Rana (c T U Deshpande),4.0,2/41,,21.35,9.52,22,33.87
,,,,,E J G Morgan (c K Rabada),,,,,,23,
41,27/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2.0,0/15,,21.87,9.47,23,34.52
42,31/10/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,,1.0,0/4,,22.13,9.41,23,34.70
43,02/11/2020,1st,Royal Challengers Bengaluru,Sheikh Zayed Stadium,did not bowl,,,,22.13,9.41,23,34.70
44,05/11/2020,1st,Mumbai Indians,Dubai International Cricket Stadium,K H Pandya (c D R Sams),1.0,1/5,,21.46,9.36,24,33.46
45,08/11/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,P K Garg (b),3.0,3/26,,19.74,9.33,25,30.70
,,,,,M K Pandey (c A Nortje),,,,,,26,
,,,,,K S Williamson (c K Rabada),,,,,,27,
46,10/11/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,Q de Kock (c †R R Pant),2.0,1/23,,19.46,9.38,28,30.43
47,10/04/2021,1st,Chennai Super Kings,Wankhede Stadium,,2.0,0/26,,19.89,9.46,28,31.36
48,15/04/2021,2nd,Rajasthan Royals,Wankhede Stadium,,1.0,0/15,,20.11,9.52,28,31.89
49,18/04/2021,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,20.11,9.52,28,31.89
50,20/04/2021,1st,Mumbai Indians,MA Chidambaram Stadium,Q de Kock (c †R R Pant),3.0,1/20,,20.03,9.43,29,31.48
