Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,07/04/2018,2nd,Chennai Super Kings,Wankhede Stadium,A T Rayudu (lbw),4.0,3/23,,8.00,5.75,1,7.67
,,,,,M S Dhoni (lbw),,,,,,2,
,,,,,D L Chahar (st Ishan Kishan),,,,,,3,
2,12/04/2018,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,W P Saha (lbw),4.0,4/23,,6.86,5.75,4,6.57
,,,,,S Dhawan (c J J Bumrah),,,,,,5,
,,,,,M K Pandey (c R G Sharma),,,,,,6,
,,,,,Shakib Al Hasan (b),,,,,,7,
3,14/04/2018,2nd,Delhi Capitals,Wankhede Stadium,,3.0,0/42,,9.43,8.00,7,12.57
4,17/04/2018,2nd,Royal Challengers Bengaluru,Wankhede Stadium,S N Khan (st sub),4.0,1/25,,11.25,7.53,8,14.13
5,22/04/2018,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,2.0,0/15,,12.75,7.53,8,16.00
6,24/04/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,Mohammad Nabi (b),3.0,2/15,,12.00,7.15,9,14.30
,,,,,Basil Thampi (b),,,,,,10,
7,28/04/2018,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,,3.0,0/30,,13.80,7.52,10,17.30
8,01/05/2018,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,M Vohra (lbw),3.0,1/28,,14.18,7.73,11,18.27
9,04/05/2018,1st,Punjab Kings,Holkar Cricket Stadium,K L Rahul (c J-P Duminy),3.0,1/29,,14.50,7.93,12,19.17
10,06/05/2018,2nd,Kolkata Knight Riders,Wankhede Stadium,R V Uthappa (c B C J Cutting),3.0,1/25,,14.77,7.97,13,19.62
11,09/05/2018,2nd,Kolkata Knight Riders,Eden Gardens,R V Uthappa (c S A Yadav),4.0,1/26,,15.43,7.81,14,20.07
12,13/05/2018,2nd,Rajasthan Royals,Wankhede Stadium,,3.0,0/32,,16.71,8.03,14,22.36
13,16/05/2018,2nd,Punjab Kings,Wankhede Stadium,,3.0,0/34,,18.00,8.26,14,24.79
14,20/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (c K H Pandya),2.0,1/21,,17.60,8.36,15,24.53
15,28/03/2019,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,P A Patel (b),3.0,1/23,,17.63,8.32,16,24.44
16,30/03/2019,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,1.0,0/12,,18.00,8.40,16,25.19
17,20/04/2019,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,2.0,0/24,,18.75,8.54,16,26.69
18,02/10/2021,1st,Chennai Super Kings,Sheikh Zayed Stadium,,3.0,0/26,,19.88,8.55,16,28.31
19,17/05/2022,1st,Sunrisers Hyderabad,Wankhede Stadium,,3.0,0/31,,21.00,8.64,16,30.25
20,21/05/2022,1st,Delhi Capitals,Wankhede Stadium,S N Khan (c †Ishan Kishan),4.0,1/26,,21.18,8.50,17,30.00
21,09/04/2023,1st,Punjab Kings,Rajiv Gandhi International Stadium,S M Curran (c B Kumar),4.0,4/15,,18.29,8.20,18,25.00
,,,,,Shahrukh Khan (lbw),,,,,,19,
,,,,,R D Chahar (lbw),,,,,,20,
,,,,,N Ellis (b),,,,,,21,
22,14/04/2023,2nd,Kolkata Knight Riders,Eden Gardens,N Jagadeesan (c sub),4.0,2/27,,17.74,8.12,22,24.00
,,,,,A D Russell (c M Jansen),,,,,,23,
23,18/04/2023,1st,Mumbai Indians,Rajiv Gandhi International Stadium,,4.0,0/35,,18.78,8.15,23,25.52
24,21/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,A M Rahane (c A K Markram),4.0,2/23,,18.24,8.03,24,24.40
,,,,,A T Rayudu (b),,,,,,25,
25,24/04/2023,1st,Delhi Capitals,Rajiv Gandhi International Stadium,,4.0,0/34,,19.20,8.05,25,25.76
