Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,31/03/2019,2nd,Rajasthan Royals,MA Chidambaram Stadium,,2.0,0/26,,,13.00,0,
2,11/04/2019,1st,Rajasthan Royals,Sawai Mansingh Stadium,S V Samson (c sub),4.0,1/25,,36.00,8.50,1,51.00
3,14/04/2019,1st,Kolkata Knight Riders,Eden Gardens,S P Narine (c F du Plessis),4.0,1/30,,30.00,8.10,2,40.50
4,26/04/2019,1st,Mumbai Indians,MA Chidambaram Stadium,E Lewis (c D J J Bravo),4.0,2/13,,21.00,6.71,3,23.50
,,,,,R G Sharma (c M Vijay),,,,,,4,
5,25/10/2020,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,D Padikkal (c R D Gaikwad),4.0,1/23,,21.60,6.50,5,23.40
6,29/10/2020,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,S P Narine (c R A Jadeja),3.0,1/30,,21.00,7.00,6,24.50
7,26/03/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,A M Rahane (c R A Jadeja),4.0,1/31,,21.43,7.12,7,25.43
8,21/04/2022,1st,Mumbai Indians,Dr DY Patil Sports Academy,S A Yadav (c Mukesh Choudhary),3.0,1/16,,21.00,6.93,8,24.25
9,25/04/2022,1st,Punjab Kings,Wankhede Stadium,,2.0,0/8,,22.50,6.73,8,25.25
10,01/05/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,A K Markram (c R A Jadeja),3.0,1/36,,22.00,7.21,9,26.44
11,15/05/2022,2nd,Gujarat Titans,Wankhede Stadium,,4.0,0/24,,24.67,7.08,9,29.11
12,20/05/2022,2nd,Rajasthan Royals,Brabourne Stadium,S V Samson (c & b),3.0,1/15,,24.00,6.93,10,27.70
13,31/03/2023,2nd,Gujarat Titans,Narendra Modi Stadium,,4.0,0/32,,26.40,7.02,10,30.90
14,03/04/2023,2nd,Lucknow Super Giants,MA Chidambaram Stadium,D J Hooda (c B A Stokes),4.0,1/21,,26.18,6.88,11,30.00
15,08/04/2023,1st,Mumbai Indians,Wankhede Stadium,S A Yadav (c †M S Dhoni),4.0,2/28,,24.00,6.88,12,27.54
,,,,,Arshad Khan (lbw),,,,,,13,
16,05/05/2024,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Shashank Singh (c Simarjeet Singh),3.0,1/10,,23.57,6.69,14,26.29
17,10/05/2024,1st,Gujarat Titans,Narendra Modi Stadium,,2.0,0/31,,24.43,7.00,14,28.50
18,18/05/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (c D J Mitchell),4.0,1/23,,24.40,6.92,15,28.13
19,23/03/2025,2nd,Chennai Super Kings,MA Chidambaram Stadium,,2.1,0/24,,25.27,7.06,15,29.73
20,29/03/2025,1st,Gujarat Titans,Narendra Modi Stadium,,3.0,0/25,,26.47,7.12,15,31.40
21,31/03/2025,1st,Kolkata Knight Riders,Wankhede Stadium,Ramandeep Singh (c H H Pandya),3.2,1/17,,26.06,7.02,16,30.50
22,04/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,4.0,0/46,,27.56,7.27,16,33.38
23,07/04/2025,1st,Royal Challengers Bengaluru,Wankhede Stadium,,4.0,0/40,,29.06,7.41,16,35.88
24,13/04/2025,2nd,Delhi Capitals,Arun Jaitley Stadium,K K Nair (b),4.0,2/43,,27.17,7.57,17,34.28
,,,,,V Nigam (st R D Rickelton),,,,,,18,
25,17/04/2025,1st,Sunrisers Hyderabad,Wankhede Stadium,,1.0,0/8,,27.50,7.58,18,34.72
26,20/04/2025,1st,Chennai Super Kings,Wankhede Stadium,Shaik Rasheed (st R D Rickelton),3.0,1/14,,27.00,7.47,19,33.63
27,23/04/2025,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,4.0,0/19,,28.26,7.35,19,34.63
28,21/05/2025,2nd,Delhi Capitals,Wankhede Stadium,V Nigam (c & b),4.0,3/11,,25.50,7.16,20,30.41
,,,,,S Rizvi (b),,,,,,21,
,,,,,Ashutosh Sharma (st R D Rickelton),,,,,,22,
29,26/05/2025,2nd,Punjab Kings,Sawai Mansingh Stadium,P Arya (c S A Yadav),4.0,2/41,,24.38,7.28,23,29.58
,,,,,J P Inglis (lbw),,,,,,24,
30,30/05/2025,2nd,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,B K G Mendis (hit wicket),1.0,1/10,,23.64,7.31,25,28.80
