Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,19/04/2017,2nd,Delhi Capitals,Rajiv Gandhi International Stadium,S W Billings (c D J Hooda),4.0,2/39,,12.00,9.75,1,19.50
,,,,,S V Samson (c M C Henriques),,,,,,2,
2,22/04/2017,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,,4.0,0/42,,24.00,10.13,2,40.50
3,30/04/2017,2nd,Kolkata Knight Riders,Rajiv Gandhi International Stadium,S P Narine (c D A Warner),4.0,2/26,,18.00,8.92,3,26.75
,,,,,R V Uthappa (c D A Warner),,,,,,4,
4,02/05/2017,2nd,Delhi Capitals,Arun Jaitley Stadium,S V Samson (c S Dhawan),4.0,2/41,,16.00,9.25,5,24.67
,,,,,R R Pant (b),,,,,,6,
5,08/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,,3.0,0/32,,19.00,9.47,6,30.00
6,13/05/2017,1st,Gujarat Lions,Green Park,Ishan Kishan (c †N V Ojha),4.0,4/32,,13.80,9.22,7,21.20
,,,,,S K Raina (c S Dhawan),,,,,,8,
,,,,,J P Faulkner (b),,,,,,9,
,,,,,P J Sangwan (b),,,,,,10,
7,17/04/2018,1st,Mumbai Indians,Wankhede Stadium,,4.0,0/34,,16.20,9.11,10,24.60
8,21/04/2018,1st,Delhi Capitals,M Chinnaswamy Stadium,,4.0,0/35,,18.60,9.06,10,28.10
9,25/04/2018,2nd,Chennai Super Kings,M Chinnaswamy Stadium,,4.0,0/48,,21.00,9.40,10,32.90
10,29/04/2018,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,A D Russell (c †Q de Kock),4.0,2/40,,19.50,9.46,11,30.75
,,,,,K D Karthik (c V Kohli),,,,,,12,
11,01/05/2018,2nd,Mumbai Indians,M Chinnaswamy Stadium,K A Pollard (c †Q de Kock),4.0,2/28,,18.43,9.23,13,28.36
,,,,,K H Pandya (c Mandeep Singh),,,,,,14,
12,05/05/2018,2nd,Chennai Super Kings,Maharashtra Cricket Association Stadium,,2.0,0/18,,19.29,9.22,14,29.64
13,07/05/2018,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,S Dhawan (c T G Southee),4.0,3/25,,17.29,8.98,15,25.88
,,,,,Y K Pathan (b),,,,,,16,
,,,,,W P Saha (b),,,,,,17,
14,12/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (c V Kohli),4.0,1/46,,17.67,9.17,18,27.00
15,14/05/2018,1st,Punjab Kings,Holkar Cricket Stadium,K K Nair (c V Kohli),3.0,1/17,,17.68,8.98,19,26.47
16,17/05/2018,2nd,Sunrisers Hyderabad,M Chinnaswamy Stadium,K S Williamson (c C de Grandhomme),4.0,1/43,,18.00,9.10,20,27.30
17,19/05/2018,1st,Rajasthan Royals,Sawai Mansingh Stadium,H Klaasen (c Moeen Ali),4.0,1/33,,18.29,9.05,21,27.57
18,23/03/2019,2nd,Chennai Super Kings,MA Chidambaram Stadium,A T Rayudu (b),2.0,1/5,,18.00,8.85,22,26.55
