Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,02/04/2023,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,F du Plessis (c T H David),2.2,1/28,,14.00,12.00,1,28.00
2,08/04/2023,2nd,Chennai Super Kings,Wankhede Stadium,,2.1,0/35,,27.00,14.00,1,63.00
3,11/04/2023,1st,Delhi Capitals,Arun Jaitley Stadium,,1.0,0/12,,33.00,13.64,1,75.00
4,30/04/2023,1st,Rajasthan Royals,Wankhede Stadium,S V Samson (c Tilak Varma),3.0,3/39,,12.75,13.41,2,28.50
,,,,,S O Hetmeyer (c S A Yadav),,,,,,3,
,,,,,Y B K Jaiswal (c & b),,,,,,4,
5,03/05/2023,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Prabhsimran Singh (c †Ishan Kishan),4.0,1/48,,15.00,12.96,5,32.40
6,06/05/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,,1.4,0/28,,17.00,13.41,5,38.00
7,12/04/2024,2nd,Delhi Capitals,BRSABV Ekana Cricket Stadium,,3.1,0/34,,20.80,12.92,5,44.80
8,14/04/2024,2nd,Kolkata Knight Riders,Eden Gardens,,2.0,0/24,,23.20,12.83,5,49.60
9,14/05/2024,1st,Delhi Capitals,Arun Jaitley Stadium,J Fraser-McGurk (c Naveen-ul-Haq),3.0,1/45,,22.33,13.12,6,48.83
10,17/05/2024,2nd,Mumbai Indians,Wankhede Stadium,,2.0,0/11,,24.33,12.49,6,50.67
11,25/03/2025,1st,Punjab Kings,Narendra Modi Stadium,,1.0,0/21,,25.33,12.83,6,54.17
12,02/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (c M Prasidh Krishna),2.0,1/17,,23.43,12.51,7,48.86
13,09/04/2025,2nd,Rajasthan Royals,Narendra Modi Stadium,Y B K Jaiswal (c Rashid Khan),2.0,1/19,,22.00,12.31,8,45.13
14,12/04/2025,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,2.0,0/11,,23.50,11.87,8,46.50
15,19/04/2025,1st,Delhi Capitals,Narendra Modi Stadium,A Porel (c Mohammed Siraj),4.0,1/46,,23.56,11.83,9,46.44
16,06/05/2025,1st,Mumbai Indians,Wankhede Stadium,R G Sharma (c M Prasidh Krishna),3.0,1/18,,23.00,11.37,10,43.60
17,18/05/2025,1st,Delhi Capitals,Arun Jaitley Stadium,F du Plessis (c Mohammed Siraj),2.0,1/7,,22.00,10.98,11,40.27
18,22/05/2025,1st,Lucknow Super Giants,Narendra Modi Stadium,M R Marsh (c S E Rutherford),3.0,1/36,,21.67,11.05,12,39.92
19,25/05/2025,1st,Chennai Super Kings,Narendra Modi Stadium,,2.0,0/42,,22.67,11.49,12,43.42
