Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,13/04/2013,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,,2.0,0/13,,,6.50,0,
2,18/04/2013,2nd,Delhi Capitals,Arun Jaitley Stadium,D A Warner (b),3.0,3/10,,10.00,4.60,1,7.67
,,,,,M C  Juneja (lbw),,,,,,2,
,,,,,V Sehwag (c M E K Hussey),,,,,,3,
3,20/04/2013,1st,Kolkata Knight Riders,Eden Gardens,,3.0,0/13,,16.00,4.50,3,12.00
4,22/04/2013,1st,Rajasthan Royals,MA Chidambaram Stadium,,2.0,0/19,,20.00,5.50,3,18.33
5,25/04/2013,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,Q de Kock (c M Vijay),4.0,2/33,,16.80,6.29,4,17.60
,,,,,C L White (c †M S Dhoni),,,,,,5,
6,28/04/2013,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,B B McCullum (b),4.0,1/23,,18.00,6.17,6,18.50
7,30/04/2013,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,A J Finch (c †M S Dhoni),4.0,3/21,,14.67,6.00,7,14.67
,,,,,T L  Suman (lbw),,,,,,8,
,,,,,Yuvraj Singh (c †M S Dhoni),,,,,,9,
8,02/05/2013,2nd,Punjab Kings,MA Chidambaram Stadium,L A Pommersbach (b),4.0,2/31,,14.18,6.27,10,14.82
,,,,,Mandeep Singh (c S K Raina),,,,,,11,
9,05/05/2013,1st,Mumbai Indians,Wankhede Stadium,,4.0,0/20,,16.36,6.10,11,16.64
10,08/05/2013,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,D J G Sammy (c C H Morris),4.0,2/28,,15.69,6.21,12,16.23
,,,,,P A Patel (c M Vijay),,,,,,13,
11,12/05/2013,2nd,Rajasthan Royals,Sawai Mansingh Stadium,S V Samson (c †M S Dhoni),4.0,1/21,,16.29,6.11,14,16.57
12,14/05/2013,2nd,Delhi Capitals,MA Chidambaram Stadium,V Sehwag (c †M S Dhoni),4.0,2/22,,15.75,6.05,15,15.88
,,,,,U B T Chand (c J O Holder),,,,,,16,
13,18/05/2013,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,A B de Villiers (c R A Jadeja),1.0,1/14,,15.18,6.23,17,15.76
14,21/05/2013,2nd,Mumbai Indians,Arun Jaitley Stadium,A T Rayudu (c C H Morris),3.4,2/32,,14.74,6.43,18,15.79
,,,,,P P Ojha (c D J J Bravo),,,,,,19,
15,26/05/2013,1st,Mumbai Indians,Eden Gardens,D R Smith (lbw),4.0,1/26,,15.20,6.43,20,16.30
16,18/04/2014,2nd,Punjab Kings,Sheikh Zayed Stadium,,2.5,0/35,,16.05,6.75,20,18.05
17,21/04/2014,2nd,Delhi Capitals,Sheikh Zayed Stadium,M Vijay (c F du Plessis),3.0,1/17,,16.14,6.69,21,18.00
18,23/04/2014,2nd,Rajasthan Royals,Dubai International Cricket Stadium,S T R Binny (c F du Plessis),2.0,1/13,,15.95,6.68,22,17.77
19,25/04/2014,1st,Mumbai Indians,Dubai International Cricket Stadium,A P Tare (c S K Raina),4.0,4/14,,14.42,6.48,23,15.58
,,,,,A T Rayudu (c S K Raina),,,,,,24,
,,,,,K A Pollard (b),,,,,,25,
