Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1  (c)(k),19/04/2008,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
2  (c)(k),23/04/2008,2nd,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,,0,
3  (c)(k),26/04/2008,1st,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
4  (c)(k),28/04/2008,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
5  (c)(k),02/05/2008,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
6  (c)(k),04/05/2008,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
7  (c)(k),06/05/2008,2nd,Deccan Chargers,MA Chidambaram Stadium,did not bowl,,,,,,0,
8  (c)(k),08/05/2008,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
9  (c)(k),10/05/2008,2nd,Punjab Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
10  (c)(k),14/05/2008,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
11  (c)(k),18/05/2008,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
12  (c),21/05/2008,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
13  (c),24/05/2008,1st,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,,0,
14  (c),27/05/2008,1st,Deccan Chargers,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
15  (c),31/05/2008,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
16  (c),01/06/2008,2nd,Rajasthan Royals,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
17  (c),18/04/2009,1st,Mumbai Indians,Newlands,did not bowl,,,,,,0,
18  (c)(k),20/04/2009,2nd,Royal Challengers Bengaluru,St George's Park,did not bowl,,,,,,0,
19  (c)(k),23/04/2009,1st,Delhi Capitals,Kingsmead,did not bowl,,,,,,0,
20  (c)(k),27/04/2009,2nd,Deccan Chargers,Kingsmead,did not bowl,,,,,,0,
21  (c)(k),30/04/2009,2nd,Rajasthan Royals,Buffalo Park,did not bowl,,,,,,0,
22  (c)(k),02/05/2009,2nd,Delhi Capitals,Wanderers Stadium,did not bowl,,,,,,0,
23  (c)(k),04/05/2009,2nd,Deccan Chargers,Buffalo Park,did not bowl,,,,,,0,
24  (c)(k),07/05/2009,2nd,Punjab Kings,SuperSport Park,did not bowl,,,,,,0,
25  (c)(k),09/05/2009,1st,Rajasthan Royals,Diamond Oval,did not bowl,,,,,,0,
26  (c)(k),14/05/2009,2nd,Royal Challengers Bengaluru,Kingsmead,did not bowl,,,,,,0,
27  (c)(k),16/05/2009,1st,Mumbai Indians,St George's Park,did not bowl,,,,,,0,
28  (c)(k),18/05/2009,2nd,Kolkata Knight Riders,SuperSport Park,did not bowl,,,,,,0,
29  (c)(k),20/05/2009,2nd,Punjab Kings,Kingsmead,did not bowl,,,,,,0,
30  (c)(k),23/05/2009,2nd,Royal Challengers Bengaluru,Wanderers Stadium,did not bowl,,,,,,0,
31  (c)(k),14/03/2010,1st,Deccan Chargers,MA Chidambaram Stadium,did not bowl,,,,,,0,
32  (c)(k),16/03/2010,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
33  (c)(k),25/03/2010,2nd,Mumbai Indians,Brabourne Stadium,did not bowl,,,,,,0,
34  (c)(k),28/03/2010,1st,Rajasthan Royals,Narendra Modi Stadium,did not bowl,,,,,,0,
35  (c)(k),31/03/2010,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
36  (c)(k),03/04/2010,2nd,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,,0,
37  (c)(k),06/04/2010,2nd,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,,0,
38  (c)(k),10/04/2010,2nd,Deccan Chargers,Vidarbha Cricket Association Stadium,did not bowl,,,,,,0,
39  (c)(k),13/04/2010,1st,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
40  (c)(k),15/04/2010,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
41  (c)(k),18/04/2010,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
42  (c)(k),22/04/2010,2nd,Deccan Chargers,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
43  (c)(k),25/04/2010,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
44  (c)(k),08/04/2011,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
45  (c)(k),13/04/2011,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
46  (c)(k),16/04/2011,2nd,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
47  (c)(k),18/04/2011,2nd,Kochi Tuskers Kerala,Nehru Stadium (Kochi),did not bowl,,,,,,0,
48  (c)(k),22/04/2011,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
49  (c)(k),25/04/2011,2nd,Pune Warriors,MA Chidambaram Stadium,did not bowl,,,,,,0,
50  (c)(k),27/04/2011,1st,Pune Warriors,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
51  (c)(k),01/05/2011,2nd,Deccan Chargers,MA Chidambaram Stadium,did not bowl,,,,,,0,
52  (c)(k),04/05/2011,1st,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,,0,
53  (c)(k),07/05/2011,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
54  (c)(k),09/05/2011,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
55  (c)(k),12/05/2011,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
56  (c)(k),18/05/2011,2nd,Kochi Tuskers Kerala,MA Chidambaram Stadium,did not bowl,,,,,,0,
57  (c)(k),22/05/2011,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
58  (c)(k),24/05/2011,1st,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,,0,
59  (c)(k),28/05/2011,2nd,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
60  (c)(k),04/04/2012,2nd,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,,0,
61  (c)(k),07/04/2012,2nd,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
62  (c)(k),10/04/2012,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
63  (c)(k),12/04/2012,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
64  (c)(k),14/04/2012,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
65  (c)(k),19/04/2012,2nd,Pune Warriors,MA Chidambaram Stadium,did not bowl,,,,,,0,
66  (c)(k),21/04/2012,1st,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,,0,
67  (c)(k),25/04/2012,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
68  (c)(k),28/04/2012,1st,Punjab Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
69  (c)(k),30/04/2012,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
70  (c)(k),04/05/2012,2nd,Deccan Chargers,MA Chidambaram Stadium,did not bowl,,,,,,0,
71  (c)(k),06/05/2012,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
72  (c)(k),10/05/2012,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
73  (c)(k),12/05/2012,1st,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
74  (c)(k),14/05/2012,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
75  (c)(k),17/05/2012,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
76  (c)(k),23/05/2012,2nd,Mumbai Indians,M Chinnaswamy Stadium,did not bowl,,,,,,0,
77  (c)(k),25/05/2012,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
78  (c)(k),27/05/2012,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
79  (c)(k),06/04/2013,1st,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,,0,
80  (c)(k),10/04/2013,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
81  (c)(k),13/04/2013,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
82  (c)(k),15/04/2013,1st,Pune Warriors,MA Chidambaram Stadium,did not bowl,,,,,,0,
83  (c)(k),18/04/2013,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
84  (c)(k),20/04/2013,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
85  (c)(k),22/04/2013,1st,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,,0,
86  (c)(k),25/04/2013,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,,,0,
87  (c)(k),28/04/2013,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,,0,
88  (c)(k),30/04/2013,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
89  (c)(k),02/05/2013,2nd,Punjab Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
90  (c)(k),05/05/2013,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
91  (c)(k),08/05/2013,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
92  (c)(k),12/05/2013,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
93  (c)(k),14/05/2013,2nd,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,,0,
94  (c)(k),18/05/2013,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
95  (c)(k),21/05/2013,2nd,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,,,0,
96  (c)(k),26/05/2013,1st,Mumbai Indians,Eden Gardens,did not bowl,,,,,,0,
97  (c)(k),18/04/2014,2nd,Punjab Kings,Sheikh Zayed Stadium,did not bowl,,,,,,0,
98  (c)(k),21/04/2014,2nd,Delhi Capitals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
99  (c)(k),23/04/2014,2nd,Rajasthan Royals,Dubai International Cricket Stadium,did not bowl,,,,,,0,
100  (c)(k),25/04/2014,1st,Mumbai Indians,Dubai International Cricket Stadium,did not bowl,,,,,,0,
101  (c)(k),27/04/2014,1st,Sunrisers Hyderabad,Sharjah Cricket Stadium,did not bowl,,,,,,0,
102  (c)(k),02/05/2014,2nd,Kolkata Knight Riders,JSCA International Stadium Complex,did not bowl,,,,,,0,
103  (c)(k),05/05/2014,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
104  (c)(k),07/05/2014,1st,Punjab Kings,Barabati Stadium,did not bowl,,,,,,0,
105  (c)(k),10/05/2014,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
106  (c)(k),13/05/2014,1st,Rajasthan Royals,JSCA International Stadium Complex,did not bowl,,,,,,0,
107  (c)(k),18/05/2014,2nd,Royal Challengers Bengaluru,JSCA International Stadium Complex,did not bowl,,,,,,0,
108  (c)(k),20/05/2014,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
109  (c)(k),22/05/2014,2nd,Sunrisers Hyderabad,JSCA International Stadium Complex,did not bowl,,,,,,0,
110  (c)(k),24/05/2014,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
111  (c)(k),28/05/2014,1st,Mumbai Indians,Brabourne Stadium,did not bowl,,,,,,0,
112  (c)(k),30/05/2014,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
