Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,08/04/2018,1st,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,C Munro (lbw),4.0,2/28,,12.00,7.00,1,14.00
,,,,,R R Pant (c A J Tye),,,,,,2,
2,13/04/2018,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (b),4.0,1/29,,16.00,7.13,3,19.00
3,15/04/2018,2nd,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,,3.0,0/18,,22.00,6.82,3,25.00
4,19/04/2018,2nd,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,,4.0,0/27,,30.00,6.80,3,34.00
5,21/04/2018,1st,Kolkata Knight Riders,Eden Gardens,S P Narine (c K K Nair),4.0,1/32,,28.50,7.05,4,33.50
6,23/04/2018,2nd,Delhi Capitals,Arun Jaitley Stadium,R R Pant (b),4.0,2/25,,23.00,6.91,5,26.50
,,,,,S S Iyer (c A J Finch),,,,,,6,
7,26/04/2018,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Shakib Al Hasan (c M A Agarwal),4.0,1/17,,23.14,6.52,7,25.14
8,04/05/2018,2nd,Mumbai Indians,Holkar Cricket Stadium,E Lewis (c †K L Rahul),4.0,2/37,,20.67,6.87,8,23.67
,,,,,Ishan Kishan (b),,,,,,9,
9,06/05/2018,1st,Rajasthan Royals,Holkar Cricket Stadium,B A Stokes (c M K Tiwary),4.0,3/27,,17.50,6.86,10,20.00
,,,,,J C Buttler (c †K L Rahul),,,,,,11,
,,,,,J C Archer (b),,,,,,12,
10,08/05/2018,1st,Rajasthan Royals,Sawai Mansingh Stadium,S V Samson (c M K Tiwary),4.0,2/21,,16.71,6.69,13,18.64
,,,,,J C Buttler (st K L Rahul),,,,,,14,
11,12/05/2018,1st,Kolkata Knight Riders,Holkar Cricket Stadium,,2.2,0/28,,17.71,6.99,14,20.64
12,25/03/2019,2nd,Rajasthan Royals,Sawai Mansingh Stadium,B A Stokes (c sub),4.0,2/31,,17.00,7.06,15,20.00
,,,,,R A Tripathi (c K L Rahul),,,,,,16,
13,01/04/2019,2nd,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,,4.0,0/36,,18.50,7.22,16,22.25
14,08/04/2019,1st,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,J M Bairstow (c R Ashwin),4.0,1/34,,18.82,7.31,17,22.94
15,16/04/2019,2nd,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,,3.0,0/24,,19.88,7.35,17,24.35
16,29/04/2019,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,4.0,0/66,,21.29,7.96,17,28.24
17,08/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,,4.0,0/39,,22.71,8.07,17,30.53
18,10/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,,4.0,0/44,,24.12,8.24,17,33.12
19,17/04/2021,1st,Mumbai Indians,MA Chidambaram Stadium,Q de Kock (c sub),4.0,2/29,,22.84,8.18,18,31.16
,,,,,Ishan Kishan (c †J M Bairstow),,,,,,19,
20,29/03/2025,1st,Gujarat Titans,Narendra Modi Stadium,J C Buttler (c †R D Rickelton),2.0,1/28,,22.30,8.34,20,31.00
