Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,02/04/2023,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
2,11/04/2023,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
3,16/04/2023,1st,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
4,18/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
5,22/04/2023,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
6,25/04/2023,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
7,03/05/2023,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
8,06/05/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
9,09/05/2023,1st,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,,0,
10,12/05/2023,2nd,Gujarat Titans,Wankhede Stadium,did not bowl,,,,,,0,
11,16/05/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
12,21/05/2023,1st,Sunrisers Hyderabad,Wankhede Stadium,did not bowl,,,,,,0,
13,24/05/2023,2nd,Lucknow Super Giants,MA Chidambaram Stadium,did not bowl,,,,,,0,
14,26/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
15,22/04/2024,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
16,27/04/2024,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
17,30/04/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
18,03/05/2024,1st,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
19,11/05/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
20,17/05/2024,1st,Lucknow Super Giants,Wankhede Stadium,,2.0,0/13,,,6.50,0,
21,01/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,6.50,0,
22,05/04/2025,1st,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,6.50,0,
23,08/04/2025,2nd,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,6.50,0,
24,12/04/2025,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,6.50,0,
25,15/04/2025,2nd,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,6.50,0,
26,18/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,6.50,0,
27,20/04/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,,0.5,0/9,,,7.76,0,
28,26/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,7.76,0,
29,30/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,7.76,0,
30,04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,7.76,0,
31,18/05/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,7.76,0,
32,24/05/2025,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,7.76,0,
33,26/05/2025,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,,7.76,0,
34,29/05/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,7.76,0,
35,01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,7.76,0,
